,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.111491690497572,0.625895473626475,0.139682345037136,0.00463127719774373,0.0972173028178585,0.0116821572389935,0,0,0,0,0
XRP,0,0,0.0482213194079971,0.13542952567562,0.143352636751249,0.415953187096452,0.0891249881286379,-0.074654455564885,-0.160944480878132,0,0,0,0.0481723428451771
LTC,0.472161039083051,0.293737128998121,0,0,0,0,0.243910160162715,0.0956704930205092,0,0,0,0,-0.0158464869127426
DOGE,0.402589654380727,0,0.0802046195694976,0,0.039731233989256,0.0629660425497148,0.0338406265239232,0.0343785111520705,0,0,0,0,0
DASH,0.716834540368037,0,0,0,0,0.0102267284635216,0,0.13320471465169,0,0.177575050777471,0,0,0
XLM,0.740354390212792,0.529896370560235,-0.00000000000000000173472347597681,-0.338441659964066,0.0763330057488983,0,-0.182809660408927,0.00597622591536493,-1.44959711809781,-0.277993783923318,0,0,0.0591509718160921
XMR,0.9833565232068,0,0.0250367543856755,0,-0.00000000000000000693889390390723,-0.293525690844439,0,0.0464700542304398,0,0,0,0,0
DGB,0,0,0,0.708845222940615,0.0905827388747997,0.218397751842952,0.0661200570205212,0,0,0.163844737325104,0,0,0
BV010082.INDEX,0,0,0,0,0,0.0024575877721786,0,-0.0313981449147684,0,-0.0218639045693801,0,0,-0.0369602572488093
CVIX.INDEX,0,0,0.0561744566749328,-0.0960978353374522,0.0890737346330984,-0.0219114424189479,0,0.0237460774305871,-0.319790452139568,0,1.04851521994177,0,0.053892561937134
DXY.INDEX,0.0118557247423818,-0.0396542276639559,0.0149834777890544,0.0214999633610369,-0.0166206396800816,0,0.0176521362535927,-0.00764040391881216,0,0.00696596898835166,0,0,0.00623142450540573
SPX.INDEX,0.00207630509236182,0.0156000450534548,0.000583185250353972,0,0.0169473707798203,0.00207848598121156,-0.0173588365161605,-0.00845864628799345,0,0,0,0,-0.0915647696838749
VIX.INDEX,0,0,0.0243595314269748,0.222593311617853,0.0536300270896355,0,-0.280382132217003,0,-0.211807754682408,0.124853303419277,0,-5.94457245738671,0
