,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.587274124627994,0.0196809085389991,0.0693803630979973,0.263970568958288,0.0484819804842776,-0.046860098598694,0.00666442629581289,0,0,0,0,0
XRP,0.167495872520213,0,0.40628692418057,0.125467396709838,0,0,-0.210049536103508,0,-0.0491132962410564,0,0,0,0,-0.170750518716555
LTC,0.846272499970108,0,0,-0.0934354818190014,0.128599381085996,0,0,0.000188640997027003,0.0254535580586859,0,0,0,0,0.0956869899518661
DASH,0,0.32727004391315,0,0,-0.120004178341355,1.18274359479847,-0.136459626664951,-0.00588022523256557,-0.117958339043621,0.449193311130095,0.234830879429691,0,0,0.148371606051655
XLM,0,0,0.623746139491571,0,0,0,0.00657304759913504,-0.0933679271673449,0,0,0,0,0,0
DOGE,0,0.317827743472858,0.344911794749194,0.101777130562855,0,0,0.0483253231668164,0.0246101531785775,0,0,0.103918295948806,0.394815745481929,0,-0.0419058306758406
XMR,1.04168641149801,-0.247500050084353,0,-0.067112429289438,0.173955899414405,0.688218122602979,0,0,0.0777161928712621,0.992924929409325,-0.46407488532455,0,0,-0.437031031243637
XEM,-1.10875961048499,-1.28024243315669,1.47750523807702,0.235938756890809,0.135004062653324,1.53453474278809,-0.413610305476802,0,0.16027528267717,0.944459615198419,0,-2.62232009151702,0,-0.634686881760882
DGB,0.908359653425687,0.177738117825926,0.448499939044461,0.111331959515453,-0.40157437390144,-0.530820087824489,0.148758253750188,0,0,0.941087854726765,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0184861175984513,-0.0425573440172299,0,0,0,0,0,0.0314320573727831
CVIX.INDEX,0.430453673654041,0.0591253663583772,-0.443332049349371,-0.0105457253677995,0.0161455776062386,0,-0.0340095695644361,0,0.0606775498198812,0.112822683245755,0,0.922612202914095,0,0.138856100278025
DXY.INDEX,0.0177994744529454,-0.0399108554807711,0,-0.0211861101802589,0.0371816639416847,0,0.00293307751609844,-0.0278301520854078,0,0.228484614923294,0.122843581633089,0,0,-0.0203142005666732
SPX.INDEX,0,0,0,-0.00892075180078162,0.0121254705462608,-0.0252401824916984,0,0,0.0056306571993586,0,-0.00581045288053157,0,0,-0.101221238950064
VIX.INDEX,0,0,0,-0.0393017653330354,0,0,-0.128865014633145,0,0.0369255967792237,0,0.0903585871736288,0,-5.47141501064213,0
