,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0318840048271631,0.13607750979867,0.103888385483492,-0.00822436926561944,0.111221893561372,0.0623239145124233,0,0,0,0,0,0,-0.026373489101383
XRP,0.536514717640496,0,0.107970587594121,0.196037333871662,0.169035321335122,0.131834247653748,0.0504664419329078,-0.13584095455818,-0.228620159930192,0,0.309737715625731,0,0,0
LTC,0.991923270744289,0.150464390827133,0,0.144610126001235,-0.0950874864014706,-0.0910457604651787,0.0749492820259933,0.00000000000000000346944695195361,0,-0.116145878745508,0,-0.406449280392336,0,0.0620290871963769
DOGE,0,0.063561037994843,0.324645388531592,0,0.272571349267501,0.0432834325552161,0.144540592273161,0.275751566831734,0,0.91757828061245,0.602270882244717,0,1.52527302326202,0.23350999872998
XLM,1.16337578573917,0.439494768548781,0.154526296075523,0.0302772428523897,0,-0.16071226649588,-0.344786099381815,0.109628103593175,-0.169725665919327,0,0,0,0,-0.2181875191065
DASH,0.489758639905396,0,0.298958759863764,-0.110319984947607,0.127880626184239,0,-0.108379549815391,-0.0522858626948354,0,2.14896067790748,0,0,2.67197230279825,0.152355585819506
XMR,0,0.127595680629159,0.195472860298105,0.109358048001285,0,-0.295846951530102,0,0,-0.0369650230161619,0,0,0,0,-0.365646657539227
XEM,0,0,0.313613010615698,0.171224791403083,0.0383926377747321,0,0,0,0,0,0,0,0,-0.220391619548226
DGB,0,0,0.123292303329957,0.16669784938849,0,0,0.30451943007229,0,0,0,0,0,0,0.119655074266844
BV010082.INDEX,0,-0.0228900563116993,0,-0.0751881325856453,0.0282754199510165,0.0457212270595137,0.0454704274149517,0.0267127504601181,0,0,0.145103251831562,0,0,0.0472999855086076
CVIX.INDEX,0,-0.0464693212949703,-0.0217053431817271,0,0.116910181719599,0,-0.0306028971200505,-0.0164141067489611,0,0.631656772708485,0,0,0,0.112772760223027
DXY.INDEX,-0.0858447286521157,-0.0153143909145599,0,0.0581788672054142,0.0323703665759064,0.0194627606941139,0,-0.0123478541669547,-0.041237845704014,0.127495124131918,0.0807922395906311,0,0,0.019161454464985
SPX.INDEX,0,0,-0.00829411184503514,0.0184193008553512,0,0.00372514448525854,0,0.00527390726307987,0,0,0,0,0,-0.0866749172246999
VIX.INDEX,0,0,-0.116121021712595,0.161185949545276,0,0.054999585056911,-0.263003086514653,0,0.265099976881292,0,-0.170282743506802,0,-8.69538263580987,0
