,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00510435667875388,0.0463884134313948,0.120059708021367,0.0856272321940712,0,0.0268055475494918,0,0.150813284853963,0,0,0,0,0
XRP,-0.154256495102443,0,-0.0345562677295761,-0.0132650021394985,0.0605484506973884,0.505354250322084,-0.0238384346425732,0.136767892551213,0,0,0,0,0,-0.0470860339461902
LTC,1.6034448777674,0.300279011896067,0,-1.90196790961196,0.218815105982672,0,0.202021408837812,0.0000000000000000138777878078145,0.883382224405734,0,0.888310207263603,0,0,0
DASH,0.373256408786368,0.333583986533611,0.14912448243908,0,-0.0906616630817976,-0.0316053013995021,0.149714787496141,-0.0896694990438362,0,0,0,0,0,0.113574442617257
DOGE,0,0,0.0919009593535695,0,0,0.49359027501112,0,0,0.297178988988106,0,0,0,0,-0.115008083786994
XLM,0.51814084536458,0.399207802094942,0.0250201608130734,0.127863015337069,0.302238537305868,0,0.0820409132502286,-0.0925060423774632,0,0.18548581043023,0,0,0,-0.0498427837737019
XMR,0.282496097626103,0,0.0340055437390202,0.316702009591818,-0.00611988416681417,-0.251974294635961,0,0.177857805497157,-0.0351278464899667,0,-0.157413153184599,0,0,-0.0936655755170269
XEM,0,0,-0.0243837176519876,0.30328449080889,0.162346291835318,0.191780545429383,0,0,0,0,0,0,0,-0.257052700597563
DGB,0,0.310975358497204,0.0355091496066221,-0.321260697332626,0.175749336070816,0.164289328727162,0.595621746425553,0.0948532607391322,0,0,0.257249291410411,0,0,0.0243879308187756
BV010082.INDEX,0,0,-0.0118479822994428,0,0.00908548254845019,0.00900236256704026,0.0411509895795254,-0.0460305150983536,0,0,0.182041982276726,0,0,-0.103888041711783
CVIX.INDEX,0,0.00778439638010031,0.0494595692831167,-0.078970963098513,0.0982367714704154,-0.00889279068482447,0.0124752637199936,-0.115815180623494,0,0.949671454456948,0,0,0,0.0988983718909848
DXY.INDEX,-0.0282072637393739,0,-0.0207766660509654,0,0.0611781933872654,0,0.0563880564793836,-0.0133484539727447,-0.00592622258490969,0,0.0935661846912044,0,0,-0.00173720170444364
SPX.INDEX,0,0,-0.00204302754278789,0,0.0178729980394827,-0.000000000000000000433680868994202,0,-0.00310793899053501,0.00284039356966471,0,0,0,0,-0.0735651254645597
VIX.INDEX,0,0,-0.0616304930767219,0,0.126413117326718,0,-0.269519760978331,-0.0361602357715593,0.501845141281356,-0.634474837687824,0.430874918256615,0,-4.80084321748653,0
