,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0323994173465533,0.725761223142438,0.057511701840243,0.0980064093972083,0.0381746970333086,0,0.254084971180186,0.00273878761572228,0.00852295072325595,0,0,0,0,0.0250567631969341
XRP,0,0,0,0,0.0457511866635822,0.0746059053086644,0.448109924554397,-0.239069298916294,0.0668829090027416,-0.100252619068262,0,0,0,0,0.0554878610465763
LTC,0.722861505692596,-0.0108414577150732,0,0,0,0.0476742229194366,0,0,0.0262567889154584,-0.0381830054458656,0,0,0,0,-0.021815824446069
ETH,0,-0.0724484726916237,-0.135328503331916,0,0.141561183904568,0,0,0,0.0295967026244932,0.0866758001202998,0,0,0,0,0.156447634492646
DASH,0.115303248810089,0,0.283071722000103,0,0,0,-0.0506225226805563,-0.579594093421513,-0.0598414228860306,0.0447746159014511,0,0,0,0,-0.0740123630310763
DOGE,0.548103826698216,0,0.103696077692788,0,0,0,0,0,0.0900935277628124,0,0,0,0,0,0
XLM,0,0,0.269582324802416,-0.237561689060462,-0.10273131970218,0,0,-0.0869353923190373,0.151590159093169,0.244962355947415,-0.788954461856059,0.940788349818136,0,0,-0.179754264230711
XMR,0.466970056845757,0,0,0,-0.155150667508175,0,0.181373070013682,0,-0.0785232949102841,0.0998654778657511,0,0,0,0,-0.125223484796164
XEM,-1.22614939343304,0,1.59524927456244,0.813611129692077,-0.0450941598349661,0,0.239783159239599,0,0,0.0857322063832142,0.170134140643114,-3.02874504138394,0,0,0.102999519705043
DGB,0.115216099783809,-0.118494347531686,0,0,0.168383086715158,0,0.319045996360271,0.180593474653982,0.193132190186573,0,0,0,0,0,0.201653165916492
BV010082.INDEX,0,0.0634847175353092,0.0831877349918498,0,-0.0195181325419443,0,0,-0.0464816267766279,0.0100793274873302,0,0,0,0,0,-0.0841829198028403
CVIX.INDEX,0,-0.0852702678800999,0,-0.0821659577819982,0,0,0,0.0280961806507464,-0.0317699800988587,0,0,0,0,0,0.120596952997956
DXY.INDEX,0,0,0,0,0,-0.01287664346489,-0.0325635988013574,0.0269624801352133,0.00206386975502868,0,0,0.0611634708675265,0,0,-0.0259091499480543
SPX.INDEX,0,0.029061427625877,0,-0.0196702773181333,0,0,-0.0148978424958577,0,0,0.00949827409582801,0.104477724851868,0,0,0,-0.108772337310146
VIX.INDEX,0,0.243381820036163,-0.0388273558464613,-0.0525361287637839,0.0707575316540596,-0.237752677341456,0.102359573963843,-0.143962608685607,-0.05347921470776,0.220242070678567,0,0,0,-6.37297777804125,0
