,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0277051114179442,0,0.684882580935321,0,0.0635662621448895,0,0,0.0644581818087891,0.0432122307154456,0,0,0,0,0
ETH,0,0,0,0,-0.143136055853861,0,0,0,-0.031511902158208,0.0905962712584672,0,0,0,0,0.0923804368120205
XRP,0,0.0454578460766306,0,0,0,0,0.51528308805338,-0.30809216013751,0.0343628688696853,0.0684002637461066,0,0,0,0,0
LTC,0.673429516148097,0,0,0,0.0148841166685814,0,0.14245821378215,0,0,0,0,0,0,0,0
DOGE,0,0.0292634355628908,0,1.57091160205808,0,-0.115469080626239,0.989227135822237,0,-0.117486961506887,-0.188070051258585,0,0,-1.79903012092219,0,0.231599248968271
DASH,0.568401781730768,-0.0951381157616196,0.129024106272974,0,0,0,-0.218529679071993,-0.528974990601739,-0.0372894643718376,0.0569252368034433,0,0,0,0,-0.0205480057009166
XLM,0.0857551165592452,-0.0885772424895238,0.515658671726374,0.141118512867786,0.241821290736162,-0.166800188805929,0,0.0536893342033506,0.0263779234027263,0,0,0,0,0,-0.0796423353842104
XMR,0.395139015636475,0,-0.241946321974979,0,0.0823317170000148,-0.0956371141106496,0,0,0,0.054143518038926,0,0,0,0,0
XEM,0,0.0826361172861962,0.565164722180701,0.223373815326504,-0.00000000000000000693889390390723,-0.156964522845232,0,0,0,0,0,-3.11404988038637,0,0,0
DGB,0.611949689199903,0,0.541637373229909,1.05986194026326,-0.147738168682818,0,-0.503570484134541,0.100761612992873,0.168749401535645,0,-1.38321127486395,-0.126408080451665,0,0,0
BV010082.INDEX,0,-0.0205426770222637,-0.00251481624655349,0.0216403796099316,0.0249927831581525,0,0,0,0.0248784438268493,0.00119576818685644,0,-0.224880970014239,0,0,-0.0550016148759451
CVIX.INDEX,0.0148843430829296,-0.0174809189318221,0,0,-0.00853782454124149,-0.0580409603605086,0,0.0521980945987641,-0.0400751771146098,0,0,0,0,0,0.0962272731452929
DXY.INDEX,-0.0405530166860318,0,-0.0269263125620936,0,-0.0103648883966395,0.0262050685035919,0.0516030864426189,0.0270972641899112,-0.00787241104367764,-0.0210530815559664,0,0,0,0,-0.0148075887285116
SPX.INDEX,0,0,0,0,0.00180058059050619,0,0,0,0,0,0,0,0,0,-0.128416917194042
VIX.INDEX,0,0,0.102485506974931,0,0,0.0593445923252567,0,-0.136011861192479,-0.149787150485063,0.180877989942356,0,0,0,-4.71158356554711,0
