,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0585677321011871,0.23303848634918,0.0992252071087496,0,0.0829197164295341,-0.0188742637901198,0,0,0,-0.192763678548159,0,0,0,0
ETH,-2.01900273975855,0,0.505176774694747,0.553572078355275,0.18880285919705,-1.03456830235109,-0.14401006570353,-0.117400751751903,0,0.250587558704158,0,-0.0192315272946056,0,0,-0.0712630789629854
LTC,0.561939609635664,-0.1067045920635,0,0,-0.0504934980273988,0,0,0,0,0,0,0,0,0,0
XRP,-0.0619448877391972,0.12313087053334,0.210585525481153,0,0.0893887338478291,0.0774849227268422,0,0.128736135714441,0.193395411798932,-0.246144021775483,-0.51208382835541,0,0,0,0.0273758737924693
DASH,0.422275690695548,0.0866769577609665,0.000527267647067259,-0.273982941749301,0,0,0.14656543149258,0.148534478565882,0.291113510459019,0.013378722803967,-0.144689934413796,-0.366367131096613,0,0,0.0798926868859708
DOGE,0.00000000000000000693889390390723,-0.0428640435168988,0.236076449243417,0.0617730465287802,0,0,-0.0355940591064343,-0.104830873032898,0.0486962581123308,0.102890993063539,0.139265021045452,-0.217229128049239,0,0,0.0844714739750904
XEM,0,0.0592418047401495,0,0,0.464259122084969,0,0,0,0,0.129647662409827,0,0,0,0,0.144032146278354
XMR,0,0.554485383185633,0.103262608312793,0,0,0.237517989216314,-0.142735412244465,0,0.515714529806528,-0.173551487222613,0,0,0,0,-0.628798712185822
XLM,0,0.0402013487156943,0.0856155099926509,0.384347834908756,0.156784133726154,0.359204198111531,-0.0547863766448645,0.146107176605313,0,0.0732737125950565,0,0.26276845516148,0,0,-0.0899443602340683
DGB,-0.699056952382004,0.452303585656724,-0.437620859050918,-1.27208562154966,0,0.740658599895555,0.368170679897212,0,0.352841652040315,0,0.0859544754394568,0,3.24613814961027,-2.09962202084147,-0.322467965563573
BV010082.INDEX,0,0.101485841232804,-0.0404822482005914,0,-0.283105547378926,0,-0.024081093538465,0,0.106745236598347,-0.0448619009226453,0,0,0,0,-0.0934239445018664
CVIX.INDEX,0,0.103143792197381,-0.196480157521344,0.0657975824195397,-0.156009545169626,0,0,-0.0410589072402418,0.322239789654975,0.0137549229982141,-0.0657026873253957,0,0,0,0.0507865396809262
DXY.INDEX,0,0,0.0373989038549709,0,-0.0365542348394374,0,-0.00872290593545251,0.000414348919100758,0.0248253627403839,0.0245605015189674,0.0229492142424688,0,0,0,-0.0108311186663372
SPX.INDEX,0,-0.0090171590359063,-0.0308538649276799,0,0,0,0.0182609609823423,-0.0117208966582404,0.0174550203592198,0.00456211462514715,0,-0.0185316369599708,0,0,-0.0944896320863833
VIX.INDEX,0,0.179019258948394,0,0,0.237771342653766,0.254512386545769,0,-0.339988793805769,0.238479357309989,-0.145016955380592,-0.459011954768008,0,0,-3.52806952188445,0
