,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.517263824612944,0,0.0248455745187476,0.0690268170807332,0.157070014100284,0.0119791137716847,0,0.0542801236649341,0,0,0,0,0
ETH,0,0,0.138276838473124,0,-0.222668092969914,0.272508178499656,0.0661575449733064,0.0555043068819892,0.0910663217358766,0,0.221678239793128,0,-0.692447530854125,0,0,0
XRP,0,0,0,0.111047195046074,-0.00236164683783664,0.028835599527944,0.0259745785724598,0.0623007798144088,0,0,0,-0.0000747488181739985,0.279137871877843,0,0,-0.0869550679259392
LTC,0.996667846132134,0,0,0,0.000683137693885731,0,-0.0289841035857666,0,0.00809359485799389,0,0,0,0,0,0,0
ETC,0,-0.764911358879673,0,0,0,0.480189910582743,0.0688887554150254,0,-0.87100556506059,0.113636418584148,0.0478590639119785,0,0,0,0,-0.501606128265583
DASH,0.0868856889000368,0.111988913351354,0,0.0456184754285911,0.0397333233082534,0,0,0,0,0.221970159422219,-0.0662050249601131,-0.573583537089253,0.244095251495917,0,0,-0.12074838664407
XEM,0.896137613943398,0,0.38845640260128,0.285037019559029,0.050702036026924,0.394143548807702,0,0.069731122066716,0,0.500188550032109,0.172872627886852,1.12048113837092,0.0414731342677426,0,-4.46119400020161,0
XMR,0.793188628079786,0,0,0,-0.0306843569202583,0,-0.0182004219824552,0,0,0,0.105415064883019,0,0.27588125085364,0,0,0
DOGE,0,0,0,0.441425872157387,0,0.157627623096985,-0.0450412279181868,0.0579541194705023,0,0.131919172040017,0,0,0,0,0,0
XLM,0.147742979192034,0.299025221114998,0,0,-0.0136283352870998,0,0.140256659731404,0,0,0,-0.389778390871018,0,-0.316796332029476,0,0,0.123857268926017
DGB,0,0.684153208517469,0,0,0.113985687816856,0,0,0,0,0.313037118631577,0,0,0.578592976528106,0,0,0
BV010082.INDEX,-0.0831095103037406,0.0208077745846759,-0.217082711136494,0,0.000000000000000000867361737988404,0.032851104878235,0.037247407970305,-0.0401792711599443,-0.102142567661829,0,0.053958128751576,0,0.145446315602376,0,0.985605426244596,-0.0283002817382679
CVIX.INDEX,-0.165396881537479,-0.266213178578155,0.0372881160973426,-0.149764464538735,0,0.192469664070261,-0.0139086756441202,0.187891710306551,0,0.162320679539654,0.0414348226886787,0,0,0,0,0.15168852700143
DXY.INDEX,-0.00307815649181183,0,0.0481281131686795,0,0.00183857027977041,0.03682874892542,-0.00960288480065716,0,0,0.00202288989793812,-0.0238791876774328,0.117894639516837,0.0140630745962439,0,0,0.00378897298719856
SPX.INDEX,0,0,0,0,0,0,-0.00478751218215037,0,0,0.00962016206786967,0,0,0,0,0,-0.0842787503374493
VIX.INDEX,0,0.19467769435698,-0.533388191926308,-0.185303902654031,0,0.196592898607673,-0.121077432177029,0,-0.543525769941318,0.478144778463167,0,0,1.05642867925519,0,0,0
