,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0273893671117614,0.0024941870348985,0.253770628338306,0.0211522419649025,0.0344919390977915,-0.0892970374533811,-0.0113221878132656,0,0,0.015943472527125,0.00274919065719622,0,0,0,0,0,0
ETH,0,0,0,0,0.150733950338359,0.127843914403117,0,-0.0807430676895368,0,0.151229150722409,0.00746407647465431,-0.0572180682363694,0,0.652788350745036,0,0,0,0.116614637651963
XRP,0,-0.28283071398341,0,0,0,0,0,0.0370226541367154,0,0.401290447434395,-0.11577307318344,-0.0489560200781772,0,0,0,0,0,0.020088738686036
LTC,0.598212133985735,0,0,0,0.0670998662815216,-0.0397623285167166,0,-0.000000000000000000216840434497101,0,0,0.0170489947880766,-0.000834437207990112,0.0390581483880977,0,0.0360673781787436,0,0,0.0049276157075614
ETC,0,0,0.0746817084624182,0,0,0,0,0,0,0,-0.0637316007532367,0.0188260806351694,0,0,0,0,0,0
XMR,0,0.840815672697265,-0.115632609975477,0.267755476570874,0.244056375187954,0,0.0452180960654778,0,-0.22286300401153,0.180284752882433,-0.175043875296393,-0.0693223552844857,0,0,0,0,0,-0.13962436257646
DASH,0,0,0,0,0,0,0,0,0,0,-0.0841855395546635,-0.0600291525523665,0,0,0,0,0,0
XEM,0,0.159024558162221,0.21208589829202,0.101479663573672,0.0276938064621925,0.258425929679848,-0.425911579755645,0,0.0492146177524767,0,0,-0.0413214882826076,-0.0695050061343532,0,-0.829537283022225,0,0,0
DOGE,0,0.14064762791277,0.0606155712527926,0,0.0511297426122628,-0.179152014995402,0,0.015524200539016,0,0,0.0209957490150889,-0.0126115705794519,0,-0.306871469475805,-0.0768251333647579,0,0,0.0228044413090451
XLM,0,-0.0262655276643663,0.549537546782477,0,0.277814916871788,0,0,-0.221626278932104,0,0,0.0340325693015603,-0.0487283223835428,0.248760408481472,0.0429648773383691,0.235026222814841,0,0,0.0965477138036607
NEO,0,0.856191015595759,0,0,0,-0.889310565274493,0,0,1.64439811155084,0,0,0,0,0,0,0,0,-0.139196148469541
ZEC,0,0,0.107053736979741,0,0,0.0715215552360977,-6.22194986135309,0,0,0.262203574507613,-0.489449486805403,0,-0.165361504297495,0,0,0,0,-0.902131885481233
DGB,0,-0.368281107958819,0.195484917037021,-0.624335480177031,-0.101338179594994,-0.17771850863779,0.559057330937108,0.126179762106547,-0.224780516180105,0.151649113372114,0,-0.00926854648345332,0,0,0.881553619759107,0,0,0.0115848802351071
BV010082.INDEX,-0.0883168812055633,0.0566017803506399,-0.0771605487095418,0,-0.145205219352056,0,0.0175069564291348,0,-0.0881988298759489,0.0696957191361108,0,0.00228314247289731,0,0,0,0,0,0
CVIX.INDEX,0,0.077483608626841,0,0,-0.146909610726188,0.0235824522144645,0.0903851575075396,-0.136913003012738,0,0.0295497034225956,0,0.0189318300372923,0.0350121838381938,0,0,0,0,0.0907499361019754
DXY.INDEX,0,-0.00768461628586665,0.018068597974519,0.0295659717853282,0,0.0193165538718337,0.00109038573612545,-0.01240979458521,0,0.00000000000000000010842021724855,0.00712551260595048,0.00174030027154938,0,0.168059901964312,0,0,0,-0.0047397183644954
SPX.INDEX,0,0,0.0129098717383176,0,0,-0.0178559018324809,0,0.0075697615118449,0,-0.0112690439520686,-0.00809537059819941,-0.00404320789513031,0,0,0,0,0,-0.07252397534415
VIX.INDEX,0,0.126120410874965,0.037435408053036,0,-0.398611506837359,-0.171016298341665,-0.167393185385257,0.11045355836144,0.183373330773781,-0.0703503251976365,-0.0295253283792255,-0.0640046962152171,0.0426954083780528,0,0.623136871466079,0,-6.26147684549543,0
