,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0744641202855568,0.344903653327466,0.169783393815188,0,0.25207771962689,0.0485077483759059,0,0,0,0.0301428388137889,0.0755410288198234,0,0,0,0,0
ETH,0,0,0,0,0.138871828008092,-0.102098749467942,0.241763142482833,0.0766293414568383,0,0,0.029555991800724,0.222726534726121,0,0,0,0,0,0
XRP,0.170600070239276,0.00452827671317161,0,0,0,0,0.0566000373878783,0.0596310498744173,0,0,0.0493816030426825,0,0,0,0,0,0,0.0155694081915705
LTC,0.513670307466754,0,0,0,0.00000000000000000693889390390723,0.00163792627637065,0,0.120897693027271,0.150410607208034,0,0.10828640754146,0.0555882748202502,0.0635242041228506,0,0,0,0,0.0585069740891837
XMR,0.405930413252496,0.202540376026162,-0.223190342644363,0.234167909035915,0,0,0,0,0.0864748953038099,0,-0.0615156092322099,0.0149337084326785,-0.137436104592372,0,0,0,0,0
ETC,0,0,0,0.0208402107364025,0.261350890840401,0,0.402342262564618,0,0.0674909126514906,0,0,0.207402586020149,0.093213555635237,0,0,0,0,0.00600277083968739
DASH,0.519795075540308,0,0,0,0.191287990835495,0.322800358019265,0,0.100266755046565,0,0,0.121340500119631,-0.0117551854518056,-0.06804948237568,0,0,0,0,0.0160108541838875
XEM,-0.272179045477564,0,0.0952147573989487,0.200043892681588,-0.0987040561741027,0.0989780627351353,0.347177632202562,0,0.11617120575202,0,0.00283379678555723,-0.0124458234470229,-0.0108127621182437,0,0,0,0,0
ZEC,0,0.239166903139514,0,0.368871220668981,0,0,0.113888549031735,0,0,0,0.016038619229439,0.182838579056536,0.311849268164113,0,0,0,0,0
DOGE,0.343730696632436,0,0,0,-0.0315650203935986,0.0466650782272729,0,0,0,0,0.00199848868526022,0.110212369542051,0,0,0,0,0,-0.0782495010455643
XLM,-0.148793668242499,0.201959290567695,0,0,0.0509935582855927,0,0.150991073033255,0.108914038894382,0.152806203016334,0,0,0.115102681161952,0.123305066535775,-0.481649418893119,0,0,0,0
NEO,0.378423974413309,-0.0000000000000000138777878078145,0.731571160342872,-0.292974565884774,0.202168672737794,-0.0227190488699274,-0.0665060859804026,0.19010088782904,-0.10088514460161,0,0.0112800729260515,0,0,-0.373433877904856,0,0,0,0.00000000000000000173472347597681
DGB,0.888396308394991,0,-0.256565326084323,-0.55731989901244,-0.117307329041986,0.149951443134212,0,0,-0.0094124963905272,0,0.0474242777764555,0.204136897439685,0,0,0,0,0,0
BV010082.INDEX,0,-0.111309444864641,0.0191963952459004,0,0.0551078620387934,0.00464747232330896,0,-0.036882146219655,-0.013225159548375,0.125148208316169,0,0,-0.0053151231555372,0,-0.0843374663656912,0,0,0.00757741939523473
CVIX.INDEX,-0.0696487115739838,0.125667692997582,0,0.103882976887133,0.0571937702427619,0.0746055503748101,0,-0.0606873044533423,-0.0359698638178295,0,-0.0541403457885355,0.0158090856550314,-0.0726424967719114,-0.00911256113878806,0,0,0,0.0827810280348239
DXY.INDEX,0,0,-0.0309128726179694,0.00998202632502301,0,-0.0104878770693074,0.0240257970078083,0,0.00271766114657574,0.0190343771796158,-0.0120074761585666,-0.00344293939208909,-0.00357247797577,0.0830823401757357,0.0274825667206304,0,0,-0.0230743025636505
SPX.INDEX,0,0,0,0,0.00672532924110587,-0.00876740723739701,0,0.0147331478240491,-0.00069524408550331,0,-0.00516531134351401,0.0170676547294388,0.0103842210899085,0,0,0,0,-0.0525753040637109
VIX.INDEX,0.00000000000000000693889390390723,-0.537962473065682,0.67733379463706,-0.00815119822150294,0.166775999603869,-0.102671228400223,0.153923166204718,-0.150266501966704,0.000000000000000000867361737988404,0,-0.061470401429513,0.121705602832153,0.152143576665744,0,0.141256924716903,0,-3.36072841662692,0
