,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.0860998954857762,0.468747778691442,-0.227886421001242,0.00860861170134068,0.0228171896343555,0,0,0.101317673752853,0.0928013511750501,-0.0478216679269249,0,0,0,0,0,-0.0834451155472689
ETH,0,0,0.0228064982114956,0.111285889602712,0,0.0480727870364354,0.0117872617713736,0.0483197865417097,0.108328907864211,0.144898443939297,0,0.028742447951972,0,0.0580164289906144,-0.00119358410498053,0,0,0,0,0
BCH,0.0367261296341464,0,0,-0.177447386038127,0,0,0.11519986540221,0.265693356254249,0,0.527052041112549,0.0979864356424444,0,0.02224673004832,-0.150494866603775,0,0,-0.102235568842061,0,0,-0.781444384048738
XRP,0,0.411378503635072,-0.0460324450755972,0,-0.0608802808641862,0,0.116909156891872,0.0334493570754726,0.285117176246909,0,0,0.0289693494252774,0,-0.0656169957384382,0,0,0,0,0,-0.16591858865702
DASH,0,0,0.0557208486032375,0,0,0,0.0601700230715209,0.0871752827075346,0.0605595904088765,0,0,0,0.109067859246166,0,0,0,0,0,0,0
LTC,0.218312884561863,0,-0.0834504549758292,0.261826813752908,0,0,0.0264745457742653,0,0.0955290856582234,0.117020957815385,0.199645697818302,-0.000000000000000000216840434497101,0,0,-0.0000583500134744433,0,0,0,0,0
MIOTA,0,0,0,0.146513406874238,0.0970119941100586,0,0,0.0630927447185726,0,0.416648811693198,-0.128864251952902,0.186213993638145,0,0.0640869100905368,0.0811512687574784,0,0,0,0,0.0525153515065516
NEO,-0.070002970707033,0,0.0385238929086617,-0.0404052715125501,0,0,-0.170810541093489,0,0.138042795972503,0,0.194651722011363,-0.0761794207346665,0.504657391071993,0.063585035886024,0.149917497858609,0,0,0,0,0
XMR,0,0.361561444341341,-0.0114424166891075,0,0,0,0.0447960196349407,0.0929342580254576,0,0.164934260622619,0,-0.0497666126442017,0.214249669249286,0.145670452187798,0,0,0,0,0,0
XEM,0,0,0,-0.00906578164983638,0,0,0.146197535198804,0.0784036131216926,0.103697164240985,0,0,0,0.027333575020524,0.1748705823867,0.114527690858354,0,0,0,0,-0.108686870231043
ETC,0,0.309449880743366,0.128722489641405,0,-0.393647908580938,0.202525124655558,0.0610254527939637,0.102968322739963,0,0,0,0.0399513370079022,0,0.0570704656051255,0.0270537531630414,0,0,0,0,0
EOS,0.105285402274205,0.393798161945419,0,0,-0.0432947546862928,0.250290087883365,0,0,-0.389002557063342,0,0.0627826752739298,0,0.653955900708133,0,0.0734859947643526,0,0,0,0,0.0217817224387257
ZEC,0,0,-0.0185972115991964,0,0.278354638693455,0,0.0189257571651182,0,0.152852188438389,0,0,0.104358368901097,0,0.0674474597682934,0.0493517143865339,0,0,0,0,0.0402347415956951
ADA,-0.137557160296016,0.497983093693434,-0.196585271734701,0,-0.163732312281314,0,0.31399402576307,0.171106384157865,0.122567573428547,0.202008311839422,-0.00000000000000000693889390390723,-0.332800584763542,0,0,-0.104900755440976,0,0,0,0,0.299538693831497
XLM,0,1.03541880411356,-0.140984220672131,0,-0.170262862492352,0,0.353211237099023,0.16325277149334,0,0.255771816325341,-0.0509782504557136,0,0,-0.251570658916171,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00725484768702854,0,0,0.00586439790101459,0,0,0,0,0
CVIX.INDEX,0,0,0.0296148480551026,0,-0.0203576059910509,-0.0576854458274011,0,-0.0307015534615768,-0.0111777056818535,0.103876877827893,0,-0.000000000000000000433680868994202,-0.0306105825924876,0.0477053864303805,0.0138764924007409,0,0,0,0,0.077189660380822
DXY.INDEX,-0.002808440488907,0,-0.00232614631452853,0,0,0,-0.0159255483867654,0,0.0186389091054795,0.00676287403679066,0,0,0,-0.0119819742691664,0.00291932680017132,0,0,0,0,0
SPX.INDEX,0,0,-0.00124919704019531,0,0.00716791023661454,0.0000000000000000000542101086242752,0.0060442631752112,0.000976812622110561,0,0.0061231760702601,0,0,-0.0276317390691098,0.0013997221472942,0.0015037865880363,0,-0.0160489380905809,0,0,-0.0331003287265541
VIX.INDEX,-0.17351342575804,0,-0.164907134931161,0.241148608963388,0,0.366158074484282,0.147792924332663,0.0290637926800548,-0.334836310966068,0,0.0378670974691995,0,-0.00352971911313077,0.0496784810026774,0.0189414762199462,0,0,0,0,0
