,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,XMR,XEM,BTG,EOS,ADA,ETC,NEO,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.410846057372514,-0.0891154984786217,-0.0340441171131833,-0.206663393523138,0.132093080030333,-0.0026067228943794,-0.00120108839488032,-0.0314355525135258,0,0.16634067858994,0,0.118942009338399,-0.0228130021105114,0.00931098560857421,0,0,0,0,-0.324875283336333
ETH,-0.19582121698174,0,-0.0324064487081408,0,0.209941776889744,0,0,0.133795690232826,0.00694101596780828,0.0612195671180319,0.0799465139273388,0,0.010277715882446,0.101136352740046,-0.00576505713392176,0,0,0,0,0
BCH,0,0,0,0.209466411694527,0,0,0,0,0,0.0887879985949678,0,-0.0629899525972291,0.0425864038969641,0.0580812463585497,0.0772868831957831,0,0,0,0,0
XRP,0,0.233552826071616,0.0183638815191426,0,0,0.062185361747915,0,0,0,0,0.0159754366823069,0.0655284024427307,0.0912378748107807,0.0774956679312907,0.0187055087376854,0,0,0,0,0
LTC,0,0,-0.0397260609804393,0,0,0,0,0,0.249234722031865,0,0,0.0200360195243302,0.125398805419984,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.289722439271918,0.224614828520732,-0.148714277615194,0,0,0.0952120696974055,0,0.106750846205628,0,0,0,0,0
DASH,-0.166896885306612,0,0,-0.144549528118617,0.0798725259445222,0.0173913624634217,0,0.0249287432025656,0.0296444086920767,0.00442352686938086,-0.0114704679039064,0,0.127657663461347,0.0824859199842986,-0.0229124673038034,0,0,0,0,0
XMR,0.16346501993805,0.0681582794715061,-0.0329077222193234,0.156928623467378,0,0.0674532822585464,0.047318636794648,0,-0.0239656920474445,0,-0.0166777383272501,0.151763931126541,0.0659292413043951,0.207080956204535,0.0307070859142343,0,0,0,0,0
XEM,-0.214701896116904,0.348990495713562,-0.0156019393720947,0,0,0.0992288475258737,0.0737595861005008,0,0,0,0.0173169968123413,0.0978636819219606,0,0.131082273905332,0.146567244588176,0,0,0,0,0
BTG,0.339218272292638,0,0.966883070060138,-0.524105852393868,0.656012636610458,0.221585079684761,-0.399073459769373,0,0,0,-0.660007912114275,0,0.349584113599909,0,0,0,0,0,0,-0.305970072362311
EOS,0,0.222333081474935,0,0.0642224819800278,0.20984366438406,-0.115215555143387,0.168157460082319,0,0.0834795918732247,0.0367015578690507,0,0.0463756901374724,0,0.236672281014393,0.0795054607736513,2.09920031324868,0,0,0,0.247680742836335
ADA,-0.2013386731361,0,-0.149614992797853,0,0.395804484224046,0.0652259001349174,0,0,0,-0.0635827328652453,-0.196960468760399,0,0.517731452379618,0.200188966349018,0.045365878926544,0,0,0,0,0
ETC,0,0,0.262630502612752,0.173088039931893,0.175862621513825,0.0302591301138947,-0.326288433943737,0,0.045813456537277,0,-0.0380778294169379,0.291562308409405,0,0,0,0,0,0,0,0
NEO,0,0.561896814067348,0.0727614224175359,0,0.0323224784212732,-0.0250813800316479,0,0,0.00000000000000000693889390390723,-0.109815878967295,0.0767130633739411,0,0.127124791138152,0,0,0,0,0,0,0
XLM,0,0,0,0.0438885982902574,0.113564308072841,0.35644236769595,0,0.0968325329331847,0,-0.0810061351732465,0.34815214078936,0.0890826145220851,0.107822449193207,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0.000000000000000000433680868994202,0,-0.00635093851822892,0,0.00384059822065848,0.021312056886933,0,0.0323437506680499,0.0000817655360029889,-0.01731710069484,0,0,0.00568841585265751,0.0209106578253175,0,0,0,0,0.115961225573774
DXY.INDEX,-0.014646052723654,0,-0.00409284065776418,0,0,0,0,0,0,-0.00389556550769342,0,0.000855502057474554,0.00287884901140666,-0.00997913108757719,0.00359573171265676,0,-0.0226914509578245,0,0,-0.00782337100241978
SPX.INDEX,-0.0114346877524496,0,0,0,0.00353365412319183,0,0,0,0,0.00142810198806569,0.000231527552051416,0,0,0.0106584533534309,0.000977385541543762,0,0,0,0,-0.0258495487935228
VIX.INDEX,0.0944325359075182,0.246503284708734,-0.0985582385230655,0,-0.101977533522122,0.12146929342071,0.0789894878973165,-0.292364381443298,-0.0560314443635915,0.0453598822407593,0.138379549547983,0.0238232496247179,0.0178864618806609,-0.0220622332024783,0,-0.34462421581499,0.681477196084604,0,0,0
