,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,NEO,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.127002995031903,0,0,-0.124644227411044,0.0364924199704171,0.0839899937121069,-0.0278832702704284,0,0.0316288521668737,0.0909817731605889,0.250010171310529,0.0938375730663983,-0.0294999525635895,0,0,0,0,0
ETH,0,0,0,0,0.228404934013649,0.0463209942236261,0.0357462580401045,0.0431475654155339,0.0162960371467731,0.0830213152640729,0.0526526948241093,0.110989699575275,-0.140207063074708,0.147299170545978,0.0308276214583909,0,0,0,0,0.0849038812864026
BCH,0,0,0,-0.119873768032221,0,0,0,0.0238727882901304,0,0.160589852268083,0.163403823408829,0.0990863050888397,0,0.199985764136359,0.0544968457902421,0,0,0,0,0
XRP,0,0.417889959900835,0.148163687723963,0,0.0153520195028054,0.0463230630392726,0,-0.0809327134123147,0.0709347294111381,0.0731800601172536,-0.0464611873645468,0.00816174018478523,0,0,0.00799135688477243,0,0,0,0,0
LTC,0.0106540863680653,0.63872581252105,-0.0987582434603405,-0.0512458232629671,0,0.0513135661047725,0.135341056875437,0,0,0,0,-0.0672306799485681,0,0.0159683395209003,-0.00931874936943837,0,0,0,0,0
ADA,0,0.266628206328695,0,0.156211030546143,0.0104361997014604,0,-0.00000000000000000693889390390723,0,0.144538857297359,0,0.048975451080762,-0.149199688085285,0.284206425305787,0.181205822926677,0.103356395798319,0,0,0,0,0
MIOTA,0.238942571144049,0.0598034230868176,-0.080002718364625,-0.0606917420231777,0.166759931541563,0,0,0,0.145428414331684,0.470222576513613,-0.0957186990023334,0.0913151201369652,0,0.112226724250212,-0.103325280037094,0,0,0,0,0.0249939064207867
DASH,0,0.0782026997043856,0.0609866284437874,0,0.229575973724128,0.0058811363104688,0.0419835574197123,0,0.00542362360948851,0.115504100678,0.0492489681815836,0,0,0.130554448277412,-0.0103002684775344,0,0,0,0,0
XEM,-0.0192328534494557,0.227115965873682,0,0.1273866687154,0,0.120605167647203,0,0.111356928053614,0,0,0.00209953722031894,0.0242346005665956,0.156755490046819,0.119413471943262,-0.0662268904846067,0,0,0,0,0
XMR,0,0,0,0,0,0.111127354416096,0.144628160547402,0,-0.0132559377560078,0,0,0,0.158003521197527,0.205367365119358,0.00828416985464642,0,0,0,0,0
BTG,0.322698880306856,0,0.739878968799046,0,0.572180433886471,0.0753429389180969,0,-0.192386361193224,0,0,0,-0.49025295211328,0,0,0,0,0,0,0,0
EOS,0,0.131101331760128,0.172497167163571,0,0.217734659435106,-0.11188836336228,0,0,0.0820876942552948,0,0.0308506808152492,0,0.393468533618994,0,0.216750060245429,0,0,0,0,0
XLM,0,0,-0.0543948970620417,0.135386388391935,0.126955327360357,0.370195282590351,0.089199345007785,0,0.00978818565617263,0,0,0.0413173437697209,0,0,0,0,0,0,0,0
NEO,0.0941855901967518,0.428329716591356,0,0,0.166395729791061,0.0196890218801675,0,0.108271908912451,0,0.0692070491715797,-0.0395473781608377,0,0,0,0.040808632997116,0,0,0,0,0
TRX,0,0,-0.037662188386077,0,0,0.2066821396214,0.0125212152668812,0,0.0761038927426165,0,0,0.118035638488742,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,-0.0371141033296761,0.0339144414049457,-0.0254396179821326,0.000000000000000000867361737988404,0.00949095630987037,0.0429595598815118,0.02941382190974,0,-0.000598715077928942,-0.00887634681427173,0,0,-0.0100670545049681,0,0,0,0,0.0430729063362785
DXY.INDEX,-0.0163349657018999,0,-0.00445488937720653,-0.00998571525201144,0,0,0,0,0.00030352747188152,0,-0.00219381574063593,-0.00104188909546566,0.00767220362508888,0,0.00844861455888027,0,0,0,0,0
SPX.INDEX,-0.0095012021934163,0.00323295221735135,0,0.0000000000000000000542101086242752,0,0.00306206586934227,0,0,0.00178882358742134,-0.00174672035987589,0.00053699671472754,0.00180480587150596,0,0,0,0,0,0,0,-0.0228098637371668
VIX.INDEX,0,0,-0.120780358473605,0.0227755991831922,0,0,0.150091463328294,0,-0.0476714742112415,0,0,0.163023479688445,0,-0.0782560973426434,-0.0567055671499965,0,0,0,0,0
