,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,TRX,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.145305721485818,0,-0.12476752507152,0.0368671743637541,-0.0162459472118828,0,0.0711872463299301,0.030419511182236,0,0.109510952678229,0.0627309061112656,-0.039526477856406,0.26578416949299,0,0,0,0,0,0
ETH,0,0,0,0,0.00702474908593438,0.019263833250766,0.18464761478467,0,0.0427369684551119,0.0634065329547877,0,0.138049867705862,0.031944184054891,0,0.0912141993554727,0,0,0,0,0
XRP,0,0,0,0,0.0154198846143093,0.188784317782722,0,0.247391741211006,0.00000000000000000173472347597681,0.0336804878190961,0.323372732366361,0,0.019726314725773,-0.0000000000000000277555756156289,0.119122276967627,0,0,0,0,0
BCH,0,0,-0.0949741272933483,0,0,0.0707607585642509,0,0,0,0.150043932972716,0,0.094375157314216,0.0196944977271683,0.189878605260915,0.181492486694349,0,0,0,0,0
ADA,0,0.252425154521718,0.166438812714485,0,0,0.132246435607296,-0.00000000000000000693889390390723,0.272099382703036,0,0,0,0.105994719545937,0.0383318777467377,0,0.0589482659390391,0,0,0,0,0
XEM,0,0,0.181138854444494,0.0926850622554405,0.098587477906393,0,0,0.101132892299305,0.0905720798235098,0.107718333630478,0.0292586682157828,0.074691590931883,-0.0551543013039663,0,0.00702239485888655,0,0,0,0,0
LTC,0.226123546701929,0.263097131353569,0,-0.0416733074838242,0,0,0,-0.0231472489618367,0.143978478010178,0,0.0831396156436209,0,0.0120885251998042,0,0,0,0,0,0,0
XLM,0,0.0364935008001957,0.0961910798866341,0,0.394982327947237,0.0000000000000000000271050543121376,0.148653285718235,0,0,-0.0813266772611158,0.0248368458177449,0.0631094968357152,-0.102530379320725,0.094613769060646,0.0336539868741798,0,0,0,0,0
MIOTA,0.367354689018871,0,-0.106005356541254,-0.0243799121751899,-0.0632106125640098,0.000000000000000000867361737988404,0,0.273238307814222,0,0,0.218283974384292,0,-0.0807092410524594,0.382150359283941,0,0,0,0,0,0
DASH,0,0,0.0387090066382136,0,0.0236643317747479,0,0.28218443354935,0,0,0,0.115380493234486,0,-0.0300683557882955,0.148100284200865,0.0851162858657712,0,0,0,0,0
EOS,0,0,0.0215783440080555,0.140925785339908,-0.0270322775772253,0.0483510254987453,0.347576749513846,0.208170361586054,0,0,0,0,0.0889112739505614,0,0.214956953996266,0,0,0,0,0
NEO,0,0.716282173864756,0,0,0.0162331803778333,0,0.0360228525634747,0.13701808447555,-0.0911965262706286,0.0336789322896776,0,0,0.0381670901258264,0,-0.103572125896962,0,0,0,0,0
TRX,0.403653647129946,0,-0.000000000000000000216840434497101,0.063844646529184,0.0833043968788531,0,0,-0.0608879207984479,0,0.0854729210240876,0.27997346178263,-0.304854665744582,0,0.158402332525899,0.0646857376210537,0,0,0,0,0
XMR,0.17519712911131,0,-0.0144042000103125,0.107947863419257,0,-0.0248098670372526,0.142876817282823,0.152194805470542,0.103795699695475,0,0.0350226511747018,0.114061116199042,0.0894331646877356,0,0.0821580287331753,0,0,0,0,0
BTG,0,0,0.0642015956699822,0.535284469724366,0,0.055187219473524,0,0,0.056838660058002,0,0.046502733648442,0.101434268506141,0.0689176577624309,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,-0.0325275147766442,0,0.0342828543761058,-0.00466540704297324,-0.0129885660803429,0.0031298432436649,-0.0351905498681187,0.0387886538350547,0,0,0,-0.059074887831852,-0.0158082204139889,0,-0.00813324200072506,0,0,0,0,0.000610715187364217
DXY.INDEX,-0.000321961462772636,0,0,-0.0127236904339629,-0.00823048385938338,0,0,-0.000999359886354317,0,0,0,-0.0054458991490572,0.00710837768560086,0.0191672049818545,-0.000574260090252841,0,0,0,0,0
SPX.INDEX,0,0.0112832206802759,0.000946619142464137,0.000336017064519729,0.00327509814334625,0.00140527505498917,0,-0.00432214706313116,0,0,0.000180671490239382,0.00406138984804375,-0.000371343650639509,0,0,0,0,0,0,-0.029072933933503
VIX.INDEX,0.331430956292187,0.151228643235155,0.0538281792025834,-0.0866283909342565,0.0401346839039437,-0.0340343283278401,0.0174989981730794,-0.148996839778395,0.0332651430768937,-0.000000000000000000433680868994202,0.256069413214741,-0.174101614940724,-0.141936323529732,-0.104753464260499,0,-0.0747850538390675,0,0,0,0
