,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186533759883869,0,0.102983275739065,0,0,0.0375373129237443,0.111992342467386,0.0900323412174592,0,0.069331744833924,0,0.0221946180943786,0,0,0,0,0
ETH,0,0,0.152569667156453,0,0.15186944888234,0.00182923548504359,0,0,0,0,0.0400860876732837,0.0587787927289873,0.306940790444434,0,0.0844579643415472,0,0,0,0,0.0142808169650338
XRP,0,0,0,0,0,0.222451947072353,0.0626981183564397,0,0.0437778782651843,0,0.0162651729400479,0.0677568087618838,0,0.187913022803257,0,0,0,0,0,0
BCH,0,0,0,0,0.0932772652906731,0.118302277551197,0,0,0.148843945168594,0.111261382143463,0,0,0.341545116045959,0,0,0,0,0,0,-0.00743243985856712
LTC,0,0,0.0235182107717787,0.217153731411649,0,0,0.0820302842388065,0,0,0.0520410966584356,0,0,0,0.0410898159256712,0.191107442132682,0,0,0,0,0
EOS,0,0,0.12520362593098,0,0,0,0,0.0129191149631507,0.113551285149567,0.00000000000000000346944695195361,0,0.19387425409406,0,0.120989292176011,0.307149829080204,0,0,0,0,0
ADA,0,0.0103516030330556,0,-0.0542464388570152,0.119005773217699,0.51583358524162,0,0,0.127176757512795,0,0,0.140218111857816,0,0.0673838498706825,0.040961185952226,0,0,0,0,-0.0108429702014796
XLM,0,0,0.0137791641331517,0.01930090089221,0,0,0.176325529477105,0,0,0,0.26483952533567,0,0.0565089226576004,0,0.284232473380422,0,0,0,0,0
NEO,0,0.122019038148406,0,0.111227576214139,0,0,0.125889723469079,0,0,0.0178766675320486,0,0.176293627390851,0,0,0.257589137982049,0,0,0,0,0
MIOTA,0.063224887954334,0,0.0346903589787996,0,0.300103227618302,0.0492664856209575,0,0.223345325419128,0,0,0.151982364006373,0.0831492456100783,0,0.0437548126240206,0.0571722159919916,0,0,0,0,-0.000870900953240228
TRX,0,0,0,0.036244316575387,0,0.323228996978351,0,0,0.0000000000000000138777878078145,0.54606139082996,0,0,0,0.0848498951138126,0,0,0,0,0,0.115358951881699
XMR,0.632593512642982,0,0,0,0.160666973916079,0,0,0.130313564583084,0.0481137181500158,0.0977941876658503,0.0118655138571304,0,0,-0.0521622469081701,0,0,0,0,0,0.048196906651656
DASH,0,0.332532189944086,0,0.111183998120124,0,0,0.139854712082619,0,0,0,0.109455093723911,0.137078210047923,0,0.00981996660526257,-0.000000000000000000433680868994202,0,0,0,0,0
XEM,0,0,0,0,0.245896121882979,-0.0929953650043176,0.378254015121923,0.229549471379995,0,-0.101101748191638,0.3276206566784,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.324756416215839,0,0.302996452548146,0,0.0554238205547126,0.070137441636778,0,0,0,0,0.0923270422245845,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0446272623996958,0,0,0,0,0.0742299117725951,-0.00818876316655165,0,-0.067168869096374,0,0.114257742336642,-0.000470347193626918,0,0,0,0,0,-0.0456591399173591
CVIX.INDEX,0,-0.105162484697239,0.110765382749785,-0.123340062171398,0.0528323524799474,-0.0127939981109408,0.0760889130823434,0,0,0,0,-0.0111117161307743,0.114213708815789,-0.0796052767281111,-0.0140652178369875,0,0,0,0,0.0541831119622293
DXY.INDEX,0,0.02665473889638,0.00861168651646462,-0.000935413965347913,-0.00491775217840229,0,0,-0.00733782122726929,-0.0242879719162796,0,-0.00950619461573492,0,0,-0.00239894697139459,0.0140659897801326,0,0,0,0,0.00979434452156078
SPX.INDEX,0,0,0,-0.00000000000000000173472347597681,0.00686508783436759,0,0,0,0,0,-0.0560373505934607,0.0161129137145754,0,0.0177884139622796,0,0,0,0,0,-0.0553605806623841
VIX.INDEX,-0.775642992375737,0,0,-0.0588954905460979,0,0.257319834148533,0,0,0,0,0.0511299545660674,0.138301160287442,0,0.161909544786952,0,-0.590387213388413,0,0,-4.97677717167575,0
