,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0361446629661619,0.0461492298114116,0.0310760889646737,0,0,0,0.0729260012093367,0.119473071233742,0,0,0,0.00917039037010681,0.131198259951939,0.0478789185853699,0,0,0,0,0
ETH,0,0,0.295335634339251,0.0909040807948129,0.0189145453944737,0,0.050897440790215,0,0.0889151449956925,0.0712056407882966,0,0,0,0.147939470027278,0.160617939644791,0,0,0,0,0
XRP,0,0.296506458353257,0,0,0.0235265395141986,0.205061421707829,0.126545614073985,0.138942661403346,0,0,0.0707077595000047,0.0885562225099617,0,0.00000000000000000173472347597681,0,0,0,0,0,0
BCH,0,0,0.113246797424666,0,0,0,0.183483683615075,0,0.176754177755638,0,0,0,0,0.210248969226441,0,0,0,0,0,0
EOS,0,-0.377562039580109,0,0.287351570292773,0,0,0.0469941602980874,0,0.00000000000000000346944695195361,0.0000000000000000138777878078145,0.580321233743151,0.277289017615283,-0.270801176339224,-0.130572092920566,0.403021127348186,0,0,0,0,0
LTC,0,0,0.227699885178413,0.0498910957692419,0,0,0.0809021612847291,0,0.0537694553978792,0,0.133096186800691,0.0958345875523277,0,0.0549212121927564,0,0,0,0,0,0
ADA,0,0,0,0.0123318283377598,0.0898191159795502,0,0,0,0.234692134824952,0.0858396011022662,0.214363239849585,0.154901473471169,0,0,0,0,0,0,0,0
XLM,0,0,0.112698004929369,0.100627193667712,0.191510512120191,0,0.151117715361939,0,0.0807381045403822,0.0260621313339056,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.391464642995903,0,0,0,0.21434853202983,0.339354171111953,0,-0.127913903617546,0.149840386672761,0,0,0,0,0,0,0,0,0.0555243277114394
TRX,0,0,0,0.292212636605752,-0.0172570788281698,0,0,0.330521105596513,-0.104984800993153,0,0,0.289671537160816,0.0319664102051865,0,0,0,0,0,0,0.0368981223292472
NEO,0,0,0,0.041333440026199,0.0615747184703063,0.145740573365634,0.0204840364073331,0.214954731559489,0.167979797347374,0.0815974382332235,0,0,0.17200175826535,0,0,0,0,0,0,0
XMR,0,0,0.264933405994924,0.0217955193104499,0.0124312852981793,0,0.122682897846429,0,0,0.0169144488249632,0,0,0.297219313478359,0,0.0748194500437549,0,0,0,0,0
DASH,0,0,0.241807673411386,0.119196697778586,0,0,0,0.155365310636706,0.124126190502679,0,0.0647708700494155,0.017340075471312,0,0,0,0,0,0,0,-0.0317085631717508
XEM,0,0.333976367369572,0.0539450924319455,0,0,0,0,0.25568965542492,0.000000000000000000867361737988404,0.154200743107103,0.0416234013214954,0,0,0,0.0623822751517955,0,0,0,0,0
BNB,0,0.345518199606841,-0.0000000000000000277555756156289,0,0.0361004323856113,0.306993255824582,0,0,0.00000000000000000693889390390723,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0272025457029369,0.055569281104624,0,-0.147581091682806,0.0657853380928364,0.0479854495378141,0.0488211422916142,0.0237601792259208,0,0,-0.0217807308306745,0,0,0,0,-0.293183366935648
CVIX.INDEX,0,0,0.119662805168229,0,0,0,-0.133764712935167,-0.0696207735988138,0.0795265868078172,0.0666857797281005,0.0919402033716377,0,-0.248128955143353,0.055965524771245,0,0,0,0,0,0.0213365173845053
DXY.INDEX,0,-0.00668567565700598,0.0279538102259939,0.00275802856773254,0,0,0,-0.0236894415711577,0,0.0160611948866508,0,0,0,0,0,-0.0721176284009261,0.0181922690382926,0,0,0
SPX.INDEX,0,0,0.0182020253185316,0,0,0,-0.0173618266300767,0,-0.00845235911942109,0,0,0,0,0,0.00649541938903865,0,0,0,0,-0.102322819851737
VIX.INDEX,0,0.242085061674149,0.0195170087746414,0,-0.238720954216597,0,0,-0.143605095480165,0,0.0829942464176105,0.380808253690176,-0.026577031441785,0,-0.317742950386191,-0.00839356606216979,-1.23179652532224,-0.299591195580909,0,-1.61696361315338,0
