,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0665047280618857,0,0,0.0377162841342974,0,0,0.02040477879187,0.184945971226235,0.0942535174151588,0,0.0613451669757149,0,0.103566963461469,0,0,0,0,0,0
ETH,0,0,0.0526290350077146,0.276436711962712,0,0,0,0.179786997604357,0.126175764986489,0.0528648692422592,0,0,0,0.090918839693588,0.0455605117073763,0,0,0,0,0
XRP,0,0.130447139556442,0,0.246632558185139,0,0,0.0130001594240008,0,0,0.114080079449222,0,0,0,0.0106949540990785,0.196721784859861,0,0,0,0,0
BCH,0,0.215909946679614,0,0,0.216229137704901,0,0,0.304996003367619,0,0,0,0,0.139755866068263,0.0376642174754401,0,0,0,0,0,-0.0098307617661785
EOS,0.724685922960461,0,0,0.128781976472163,0,0,0.370618144383274,0,0,0.0651367373321486,0.302678647938379,0,-0.633965317694937,0.11423494729662,0.247075245748067,0,0,0,0,-0.0155627678438438
LTC,0,0,0,0.233807034524576,0.0862876662436055,0,0,0.133604256573856,0,0.0781942942443312,0,0,0,0.10407487563158,0.121676697809229,0,0,0,0,0
XLM,0,0,0,0.14686248534171,0.171312513388659,0,0,0.274822595207735,0.103296476031829,0.0653430946775144,0,0.0121445270782543,0,0,0,0,0,0,0,0
ADA,0,0,0,0.236926368658332,0.0423164200456408,0,0.233534257343977,0,0.0199694825303731,0.236389947039718,0,0,0,0,0.0972679227018987,0,0,0,0,0.00697026698994083
MIOTA,0.472782398827265,-0.319644050182403,0,-0.104145224456845,0.0571746346118671,0.647296828766356,0.142807821897436,0,0,0,0.720144428886698,0,0,0.0444236919004052,-0.237858871855209,-0.340081711541371,0,0,0,0.0568703613306771
TRX,0,0.371043820272418,0.260883900786547,0.0852942533005648,0.17471419571784,0,0.165259718870906,0,0,0,0,0,0,0.0197924415383395,0,0,0,0,0,-0.0350135771339949
NEO,0,0,0,0,0.0801608626359234,0,0,0,0.434030348421695,0,0,0,0.0693296461944363,0,0.40757731655256,0,0,0,0,0.0614798553876552
XMR,0,0.327737093085224,0,0,0,0,0,0.131874018766963,0,0,0.201342530323213,0,0,0.0183946374289016,0.221234062727192,0,0,0,0,0
DASH,0,0,0,0.16896485581524,0,0,0,0,0.00983368827974256,0,0.181235063417521,0,0,0,0.253409133843898,0,0,0,0,-0.0580418842187645
ETC,1.15122106682332,0.218378778547842,0,0,0.0751516409085269,0,-0.154907943349017,0,0.09850978188267,0,0,0.027115985141488,-0.0523573878582671,0,0.0345254613644466,0,0.224234297378144,0,0,-0.0207270438606138
XEM,0,0,0.347265351901557,0,0,0,0.314149662487022,0,-0.0848705394060368,0.0205477690835677,0.270219577374057,0,0,0.0707957876230157,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00443862117186917,0,-0.129056276428225,0,0,0,0,0,0,0.147898328760696,0,0,0,0,0,0,0,-0.122794948535827
CVIX.INDEX,0,0,0,0,0,0.00000000000000000173472347597681,0,0,-0.177125491998635,0,0.2242918833932,0.192002423384038,-0.246481434586664,0.0567476077914659,0,0.0816522443923306,0,0,0,0.0829478862266291
DXY.INDEX,0,0,0,0,0.0199686169870518,0.00430709978505136,0.0313230902745041,-0.0561586822248634,-0.00405168224975814,0.0267954646457477,-0.0106823359105245,-0.000000000000000000433680868994202,0,0.0260371659790053,-0.0392510502528002,-0.0109614828313106,0.0163092559804094,0,0,0.0104173702726158
SPX.INDEX,0,0.00711578658690656,0,0.00694193447090397,0,0,0,0.00203634741052765,-0.028027693529987,0.0121321989424495,0.00769682561183979,-0.00579614439867952,0,-0.000000000000000000867361737988404,0,0,0,0,0,-0.0634447221892325
VIX.INDEX,0,0,0,0,-0.418709563074771,0,0,0,-0.11196901307649,0.115617082459904,0,-0.103626136523947,0,0,0.470905338545772,0,0.540852418825385,0,-5.71020314411886,0
