,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0532009263821072,0,0,0,0.24456804581582,0,0.142621196126723,0,0,0.161556888236216,0,0.0123408437028182,-0.0275823794323276,0,0,0,0,-0.022908063051201
ETH,0,0,0,0,0.196321113634126,0,0.067990043406491,0.393818046876075,0.013376683447705,0.0481817018723154,0,0,0,0.228226173711136,0,0,0,0,0,0
XRP,0,0,0,0.252042452209447,0.0514550920334244,0.0231878674035149,0,0,0,0,0.225715048530122,0,0,0.197350230879761,0.0838142855991602,0,0,0,0,0.0313168114858433
BCH,0.261742027631183,0,0.114242194042443,0,0.173623551293786,0,0.181028854534159,0.175310293021464,0,0.0875175751216157,0,0,0,0,0,0,0,0,0,0.0618221416768945
EOS,0,0,0.0684825392667793,0,0,0.14930569716524,0,0.321148399547626,0.0260482457444104,0,0.192163361924487,0.00746943300498547,0.278405728017194,0.0104469333984175,0,0,0,0,0,0
XLM,0,0,0.242583153137756,0,0.11636526916944,0,0,0,0.198832914788225,0,0,0.181295509638872,0.00000000000000000173472347597681,0,0,0,0,0,0,0
LTC,0.0601647058217574,0.19307369893476,0,0.297390335425807,0.0508862966740607,0,0,0,0.0922212511730148,0,0.142474373332569,0,0,0.00784693243746323,0,0,0,0,0,0
ADA,0,0,0.135644364652746,0.2613524892839,0.0414586208173276,0,0,0,0.15971328612275,0.112741860311727,0,0.103813990731383,0,0.0364386307857789,0.0249678809036916,0,0,0,0,0
XMR,0,0.0139813489858919,0,0.135127705008084,0.292838111160112,0.0559776847751306,0,0,0,0.190653019576862,0.0692918692898866,0.00521571097482969,0.00000000000000000173472347597681,0,0,0,0,0,0,0
DASH,0,0.370963211896892,0,0,0,0,0,0.0855550387168017,0,0,0,0,0.319708709188447,0,0.0504148932603241,0,0,0,0,0
MIOTA,0,0,0,0,0,0.311257002555661,0.0972567078943898,-0.065633831696396,0,0,0,0.388178230599447,0.251998452768719,0,0.219172306954973,0,0,0,0,-0.0660487629782823
TRX,0,0,0,0,0.28346756859432,0,0,0,0,0,0,0,0.495035605925219,0,0.0706230369317342,0,0,0,0,0
NEO,0,0.0243204248599921,0.0669462852302914,0.107573161290201,-0.00000000000000000693889390390723,0,0,0.130835362280684,0,0.129817572426828,0.264613319565043,0.196341505899454,0,0,0.129059535271733,0,0,0,0,0
ETC,0,0.221323631381213,0,0,0.319234802391883,0.0859847119398725,0,0,0,-0.137800613209031,0.283454412048061,0,-0.0825244425805491,0,0,0,-0.00503894179546918,0,0,0.0101993536612504
BNB,-0.0686611804183308,0,0,0,0,0,0,0.431881637908625,0,0.293875074246709,0.0692542964737111,0,0,-0.051346730174229,0,0,0,0,0,-0.0427039010712207
BV010082.INDEX,0.0487893219235108,0,0.04966367520398,0,-0.00708670548068307,-0.0488622555670026,-0.15015127084465,0,0,0.0288573213769073,0,0.0447294462062528,-0.0676389245233559,-0.0101962703846075,0.130152355090884,0,-0.0194736538564691,0,0,-0.0774650966086493
CVIX.INDEX,0,-0.0649786964214499,0.0283703650691524,0,-0.111886587223857,0,0,0.144664657439658,-0.0356593863844853,-0.0222408536714939,0.0843144073855198,0,0,0,0.0778860316356701,0,0,0,0,0.0634935717474009
DXY.INDEX,0.0250597317294093,0,-0.0195589732672736,0,0.00485573833637766,0,0,0,0,0.00733769130114535,-0.0113199649319372,-0.019008206302337,0.0152536552013578,0.00669490483791795,-0.00373809009730347,0,0.093053498780947,0,0,0
SPX.INDEX,0,0,0,0,0.0243233798078911,-0.021967205651411,0,0,0,0,0,0,-0.00131855458622147,0,-0.0236747537642012,0,0,0,0,-0.0495590299906176
VIX.INDEX,0.299756257337025,0,-0.144535219442786,0.651082107709437,0,0.0739598825461616,0,0,-0.375506464216947,-0.28316994431012,0,0.274680410347888,-0.601851207187106,-0.236330327864505,0.523739304785207,-0.681134919574042,0.164961200105724,0,0,0
