,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0765935466681776,-0.0478035472858341,0,0.129297564385817,0,0.20389147814398,0,0.0332175949741074,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.20107644283999,0,0.0523423043591201,0.392115938257186,0.0152990427142689,-0.000000000000000000867361737988404,0.00436383955527063,0.0464486028244495,0,0,0.229701869938162,0,0,0,0,0
XRP,0,0,0,0.0481262939925831,0.227555018090252,0,0.297109777627953,0.191996683713603,0,0,0.10161404604088,0,0,0,0.174828855430335,0,0,0,0,0
BCH,0,0.229546695523086,0,0,0.154839616362879,0,0,0.164484543075429,0.0104194702341469,0,0,0.0844484376528138,0,0,0,0,0,0,0,0
EOS,0,0.35315695789264,0,0,0,0,0,0.337198966164425,0.0311991630748546,0.0778579264759471,0,0.20727822792565,0,0,0,0,0,0,0,0
XLM,0,0,0.136186579374788,0,0.0118960947171595,0,0,0.162764994767808,0,0.223217561780948,0,0,0,0,0,0,0,0,0,0
LTC,0,0.225959897575531,0,0.129935549723355,0.0259098278210894,0,0,0.103675746994815,0.0313377793909691,0.0749916135205746,0.137025952824302,0,0,0,0,0,0,0,0,0
ADA,0,0,0.157793704598761,0.1360915798734,0,0,0,0,0.226307376553111,0.209201268824699,0,0.0866999161401943,0.146798247225324,0,0,0,0,0,0,0
XMR,0,0.3211617403256,0,0.16601408655521,0.04306106878675,0,0,0,0,0,0.13904811629369,0.134554401451027,0,0,0,0,0,0,0,0
TRX,0,0.239287876464906,0,0,-0.000000000000000000433680868994202,0,0,0.164639425767112,0,0,0.051496871177072,0,0.37507129484247,0.196283019448337,0,0,0,0,0,0
MIOTA,0,0,0.0480266134121147,0,0.0330550461780545,0.0813959406072735,0,0,0,0.264274491895391,0,0,0.303500274022408,0.299495656945747,0.057268283816594,0,0,0,0,-0.085277316888214
DASH,0,0.337445413702272,-0.0707752359648958,0,0,0,0,0.129021690453184,0,0,0.156314402456127,0,0,0.303275074336968,0,0,0,0,0,0
BNB,0,0,0,0,0,-0.236968806574193,0,0.550083820772209,0.0143423137629349,0.0143324146390923,0.132779266035588,0.164895931010598,0,0.0644037234089058,0,0,0,0,0,-0.0546137926808917
NEO,0,0,0.0824078036773207,0.177427846885003,0.051779589735223,0,0.118275551319336,0,0,0,0.430181003445598,0.100664824063521,0.200047043157431,0,0,0,0,0,0,0
ETC,0,0.286373558418895,0.0426480672918573,0,0,0,0.254701180253536,0.259443772080381,-0.072475277205268,0,0.229286224098185,0,0,-0.255626291530455,0,0,-0.312536131451924,0,0,0.0776256928851563
BV010082.INDEX,0,0,0,0,0,-0.0343585439158949,-0.000000000000000000867361737988404,0,-0.0299337490127616,0,0.0453188025388867,0,0,0,0.0143247885349663,0,0,0,0,-0.0662920922390537
CVIX.INDEX,0,-0.0793885797629255,0.0594965643019552,0,-0.000831258384617258,0,-0.18913932882943,0,0,0,0.0606389919053007,-0.0484894193159498,0.25727365809081,0,0,0,0,0,0,0.0890646566166119
DXY.INDEX,0.0129905040086755,-0.00000000000000000010842021724855,-0.0141374855696862,0,0,0.00786333704056222,0,0,0.000948077841799742,-0.0275332395488282,0,0.00941185835130557,0,0.00933356334878046,0,0,0.0783325564594698,0,0,0
SPX.INDEX,0,0,-0.00479115821610106,0,0.00957206213388646,0,-0.000890796057615238,0,0.00559545491732724,-0.00354997312253103,0,-0.00546927214570674,0,0,-0.00655484913705531,0,0,0,0,-0.0426071660535146
VIX.INDEX,-0.517755237888693,0,-0.266040189128969,0.436483627072067,0,0,-0.114455720777434,0.482261938188583,0,0,0.389406516278649,-0.19268419979081,0,-0.523667866471572,-0.28591582264357,-0.991353111529022,0.897178345725018,0,0,0
