,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.000000000000000000216840434497101,0,0.36029855875993,0.129665954931848,0,0,0,0,0.00889645367501634,0.0759495772405454,0.101167028601816,0,0,0,0,0,0
XRP,0,0,0.213672784759653,0.0234104250168705,0.0743957918888902,0,0.158092481865248,0,-0.013070045538011,0,0.0732073009623179,0,0,0.0409323809571697,0.133168229695593,0,0,0,0,0
ETH,0,0.109771386115293,0,0.109914623771106,0.223110986969556,0,-0.00000000000000000693889390390723,0.0547335406551573,0,0,0,0.157006668354525,0.092331624803009,0.0757637641625617,0.0798423199232359,0,0,0,0,0
BCH,0,0,0,0,0.326686353462814,0,0,0,0.18664014833683,0.398686009712426,0.198381451578008,0.0698717792270687,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.618419868559051,0.159712477511589,0,0,0.159061395590095,0,0,0,0,0,0
XLM,0,0,0,0.147596969896572,0.0266748569722568,0,0,0,-0.00575518519983148,0.0344660099737996,0.136740931527072,0.0635580689141896,0.265469690969282,0,0,0,0,0,0,0
LTC,0,0,0.14839520065304,0,0.288434210521109,0.00435699504756078,0,0,0,0.0140486300953966,0,0.155553095574572,0.0348339481447687,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.0479266339945683,0,0,0.453374013627342,0.136093394491049,0,0,0,0.0920165736210453,0,0,0,0,0
BSV,0,0,0,0.477276234049386,0,0,0,0.094862843696475,0,0.334988942646161,0.317170190551906,0.0645512372147895,0,0,-0.381304975356129,0,0,0,0,-0.122705812614338
ADA,0,0,0.0301225532759007,0.125182998238792,0.273009443473415,0,0,0.151353059556605,0,0,0.0196696013852311,0.12563308745915,0.131735781974512,0,0.0423993594798725,0,0,0,0,-0.0062141434099203
BNB,0,0,0,0.0647658881304472,0.118535576402736,0.497919642846131,0,0,-0.138788798093139,0.321101439629979,0,-0.00553402427395414,0,-0.0429458378198012,0,0,0,0,0,0
MIOTA,0,0,0,0.0661488455223353,0.290321828196882,0.200680749910328,0,0,0.0818213214992108,0,0,0,0.204923290122636,0,0.0705314934188176,0,0,0,0,0
XMR,0,0,0.195715760640944,0,0.0416467113903088,0.310235702885653,0.0692073459867766,0,0,0.126033891232504,0,0.0222418553740161,0,0.0410854674234723,0.0463856372573889,0,0,0,0,-0.0505460995266591
DASH,0,0,0,0,0,0.582379810876308,0.125027629541251,0,-0.0339188104660953,0,0.036000923751963,0.101163047587009,0.276358207507383,0,0,0,0,0,0,0
XEM,0,0.434750781824323,0.00392334688831633,0.0472101703889856,-0.0608301131552278,0.259909192480108,0,0.064752132661083,0.067866523985376,-0.0000000000000000138777878078145,0,0,0.156813479329329,0,0,0,0,0,0,-0.0898842326179013
BV010082.INDEX,0,0,-0.249023300921666,-0.0288328526780831,0.0652909006692324,-0.0191547523939148,0.00282730367647449,0,0.0105808931961298,0,0,0.0608925224755545,0,0,0.194575831134649,0,0,0,0,-0.0697025776620054
CVIX.INDEX,0,0,0.206594198454091,0,-0.145975904930198,0.28412954157128,-0.037091038195308,-0.115601172819786,0.019344280358692,0,-0.231031244969739,0.0855722098356378,-0.15511927005345,0.0637791197948845,0,0.0442355301833831,0,0,0,0
DXY.INDEX,0,0,0,0,0,0.000968984881692042,0,-0.0377926689108453,0.00386884596346986,0.0112306168773778,0.00014902730053776,0,0,0.0011531833324463,0.0258298122523695,0.0347448628775693,0,0,0,0
SPX.INDEX,0,0,0,-0.00884132008243873,0,0,0,0,0.0187617670462991,0,0,0,0,-0.0416355302605367,0.0390215907059115,0.0731110151391025,-0.00381904537943691,0,0,-0.120522729805858
VIX.INDEX,0,0,-0.134823886633902,-0.0736646952551803,0.186202761868821,0,0,0.319737275955937,0.00860787066016379,0,0,0,0,0,-0.126768976820226,-0.00000000000000000346944695195361,0,0,-3.92148107920452,0
