,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159576895708804,0,0.0400413324752359,0.0491748361022101,0.0903469489388696,0.0163399286365294,0.0461217043912216,0,0,0,0,0,0.0375880292091284,0,0,0,0,0,0
ETH,0,0,0,0.141815370404734,0.194655773494528,0.238251194485654,0.0194578871186951,0.0327284663034035,0,0,0.0793405650734806,0,0,0.0123070643153781,0,0,0,0,0,0
XRP,0,0.04850258336608,0,0.0776706866221968,0.0868437415281799,0.120598922430499,0,0.151365598633523,0.0463404787136161,0,0,0,0,0,0.0712909217856891,0,0,0,0,0
EOS,0,0.311721009418013,0,0,0.275523410007583,0.19438047826445,0.120148370877097,0,0,0,0,0,0,0,0.199689132737584,0,0,0,0,0
LTC,0,0.261278062393788,0,0.188165787187511,0,0.0109431083402106,0.104976840220969,0.000000000000000000867361737988404,0.160096065627337,0.155096739286242,0,0,0,0.269259271407261,-0.134883776067122,0,0,0,0,0.0453560570819205
BCH,0,0.333107957595838,0,0.145481633282975,0,0,0,0.0804012605358376,0.194475945896693,0,0.208853859599767,0,0,0.0433826046774399,0,0,0,0,0,0
BNB,0,0,-0.362353722530571,0.0446241431262355,0.327844219514303,0,0,0.0605544843033067,0,0.521598443020529,0,0.19717031508544,0,0,-0.000000000000000000433680868994202,0.0770267668897669,0.000000000000000000867361737988404,0,0,-0.0832404412260714
XLM,0,0,0,0,0.0671015160601023,0.25469658576356,0,0,0.0796119530891681,0,0,0,0.160104251656798,0.0972010742292117,0,0,0,0,0,-0.0338312237263814
ADA,0,0,0,0.0860940104635887,0.188555820104813,0.343074388410546,0,0.0157636456843513,0,0,0,0,0,0.169294943726344,0.0601347766731496,0,0,0,0,0
TRX,0,0,0,0.121807991492869,-0.025731544683293,0.0948895357983756,-0.0457983628223625,0.305547183496699,0,0,0.212212594420323,0,0,0,0.0534856242468028,0.139922708011313,0,0,0,0.065507506497322
BSV,0,0.121904226948216,0,0.0075930410034635,0.0461320239630536,0.289397690796553,0,0,0.111816328177285,0,0,0,0,0,0.102354492492069,0,0,0,0,0
XMR,0,0.0788902200854109,0,0,0,0.137519519272252,0.0461465738786466,0.20303620389616,0.0911111484763417,0,0,0,0.0287688943608218,0,0,0,0,0,0,0
DASH,0,0.187013634158018,0,0.0183725752123167,0.0192301682790288,0,0.0457967715604989,0.160898341826817,0.199941795237454,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0504572360812443,0,0.145475032503032,0,0.348449953831364,0,0,0.0469105485020454,0,0,0,0,0,0.0224093335842349,0,0,0,0,0
MKR,0,0,-0.501623699741565,0.351015345737535,0,0,0,0,0,0,0.58833361467379,0.114996280435478,0,0,0,0,0.0995330738592212,0,0,-0.0163307778562021
BV010082.INDEX,0,0,0.272983131555032,0,0,0,0,0,-0.389164156740419,0,0.0468162063639674,0.161623482661185,0.0247821396580902,-0.198014994589514,0.157200556765343,0,-0.326533210475436,0,0,0.0651282962032423
CVIX.INDEX,0,0,0,0.0723382277242387,0.117066878741657,-0.305452051297086,-0.0495854317285948,0,0,0,-0.100498609541352,0,0,-0.0700659448485873,0.154078600619059,-0.540852918098999,0,0.0278733067258796,-0.499695293187339,-0.100081203491037
DXY.INDEX,0,0,0,-0.000564679995942024,0,0,0.00304520045797135,0,0,0.0339346546552425,0.0131268135491902,0,0.0215053741938853,-0.0596686479583833,-0.00216298757371709,0.0157214451513709,0.0292405498928788,0,0,0.00725081254353587
SPX.INDEX,0,0,0,0.00195239547163077,-0.00735451910826329,0,0,0,-0.0282418447215143,0,0,0.0118368880248379,0,0,0.0125421855659541,0,-0.0297509363892686,0,0,-0.0771062549297297
VIX.INDEX,0,0.160032104971932,0.0752372336746726,-0.309304709908572,0,0,0.0253373077601884,0,0,0,0,0.000740608054933922,-0.132412648452097,0,0,-0.213010581811266,0,0,-4.38495795539733,0
