,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,ADA,XLM,LEO,TRX,HT,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0710474342269975,0.0516360404879974,0,0.253910307477116,0,0.00745092186366319,0.180744049350345,-0.0592790504060121,0,0,0,0,0.335080287105398,0,0,0,0,0
ETH,0.0351008500593382,0,0,0.258929822022942,0.290253309311135,0.0417500496072844,0.051857910316492,0.00540863263287518,0,0,0,0,0.0341135796163152,0,0.194627916301501,0,0,0,0,0
XRP,0,0.0687866209219804,0,0.162835903983422,0,0,0.237651572284403,0.0104839127551408,-0.00000000000000000346944695195361,0.0816831407267692,0,0,0.112965665860508,0,0,0,0,0,0,0.0228991746973048
BCH,0.334243017157281,0.260721429901163,0,0,0.0568746014812694,0,0.212986444842806,0.144893349792999,-0.00000000000000000693889390390723,0,0,0,0,0,0,0,0,0,0,0.0291545036463455
LTC,0,0,0,0.2246436080651,0,0,0.264230857608263,0,-0.00000000000000000173472347597681,0.286302046717695,0.0407779399405042,0,0,0,0,0,0,0,0,0
BNB,0,0.0323373452753757,0,0,0,0,0,0,0.0953558765387336,0,0,0,0.27985771079213,0.1351447911551,0.148215273527034,0,0,0,0,0
EOS,0,0.315130496456967,0,0.114353121127007,0.0939455819620675,0,0,0.134895750915413,0.00728308238794119,0.354393557185989,0,0,0,0,0,0,0,0,0,-0.00347861231157818
BSV,0,0,0,0.437176576825791,0,0,0.155136277949382,0,0,0.150506734629355,0,0,0.192933018421787,0,0.137745402440111,0,0,0,0,0.100003659054345
XMR,0.14069031938211,0,0,0,0,0.257882829316598,0.016424582279046,0,0,0,0,0.25470546519615,0.137034365288715,0,0.409991705064713,0,-0.0772730103044256,0,0,0
ADA,0,0.0741994132387237,0,0,0.178073069310068,0,0.0396078368737161,0.0232478579080359,0,0,0.0815615862065605,0,0.365305858073919,0,0,0,0,0,0,0.0106503526986879
XLM,0,0,0,0.229460277785125,0,0,0.0569365185337062,0,0.0357316376108299,0.235057332737682,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.160915498721521,0,0.210738309095273,0,-0.0499746122082588,0,-0.0758922211291753,0,0,0.271606127053223,0,0,0,0
TRX,0.178504112455303,0,0,0.218207253782137,0,0,0,0.0513175216598775,0.116868634565765,0.427363143041033,0,0,0,0,0,0,0,0,0,0.0635052862259817
HT,0,0,0,0,-0.187174669002598,0.465381313060549,0.101014654350235,0,0,0.0659555834031376,0.0590140315960877,0,0,0,0.0605173370866131,0,0.250451000254643,0,0,0.039515833123051
DASH,0.101380181371359,0.298954103446081,0,0,0.00142292507236537,0.0970112231378019,0,0.0589226050823157,0.202791096075649,0,0,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0
BV010082.INDEX,0.0969404124535589,-0.337606496378887,0.543767954582092,0.110888133290481,0.287991073300751,0.0329624604836459,0,0,-0.545236846436225,0,0,0.343385370910099,0,0.185662644496111,0,0,-0.357118040023089,0,0,-0.0836522338666192
CVIX.INDEX,0,0,0,0,0,-0.113758348127603,-0.199614299873694,-0.116239594298906,-0.324820335880002,0,0.212372971138153,0.262967777826831,0.514491429364636,0.000473764135184382,0,-0.322234989686521,0,0,0,0
DXY.INDEX,0.0175475973840237,0,0,0,0,0,-0.00759078549040831,0.00447798627953879,0,-0.00535691224321465,0,0.0181340622472094,0,0,-0.0234952226764421,0.0550584134468806,0.0320262098023609,0,0,-0.00437153753020838
SPX.INDEX,0.0186235772028921,0,0.046541297322194,0,0,0,-0.0320339062118722,0,-0.0316173722562824,0,0,0,0,0,0,0.0761854874018232,0,0,0,-0.0911553254940572
VIX.INDEX,0,0,0.715877843079968,0,0.230732857317567,-0.0373894137570366,-0.429429928118916,0,-0.152513971228927,0,0.0457876132300156,-0.420713009348328,0,0,0,0,0.139016663123803,0,-5.86275667853215,0
