,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,TRX,ADA,LEO,XMR,HT,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.239824062177672,0,0,0,0.185460005528267,0.0684054670095985,0,-0.0906031072988259,0,0,0,0.141939083857711,0,0.0684968352454445,0,0,0,0,0
ETH,0,0,0,0.101441315284689,0.0274659153447496,0,0.390048604848044,0.0302523171902002,0,0.0847964174897842,0.186873979076068,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.228449490699754,0,0.171721219939495,0.103295995646007,0,0,0.0709862548564358,0,0,0,0,0,0,0.00439517553968688
BCH,0,0,0,0,0.246124227879714,0.0549077904147997,0.298122553711026,0.255662699441957,0,0.062681092243337,0,0,0.0779248839805145,0.0364511596215376,0,0,0,0,0,0
LTC,0,0.282182820668135,0,0.0962239758014892,0,0,0,0,0.0992208021741337,0.0829017362516626,0.13881888179459,0,0.163996484403226,0.00220654732316618,0,0,0,0,0,0.0154068078386154
BNB,0,0.0728352879131495,0,0.123501453330506,0.129660795173808,0,0,0.110201143949437,0.065315283440411,0.142716117633176,0,0,0.0209932422897378,0.148779380907737,0.0213822945224911,-0.190645834301458,-0.141377309561615,0,0,0
EOS,0,0,0,0.547026379464671,0,0,0,0.0869070860709375,-0.0629770963388382,0.153741853981879,0.215281188074695,0,0,0,0,0,0,0,0,0.00413867380020834
BSV,0,0,0,0.807023945579465,0,0.296933025144174,0.0222767176625507,0,0,0,0,0,0,0,-0.0325840769519124,0,0,0,0,-0.0657000938168938
XLM,0,0,0.733890652854744,0,0.146864666754053,0,0,0,0,-0.102660158637317,0,0,0.170683479413275,0.15881673841666,0.0371249019484209,-0.0516169045314013,0,0,0,0.0296642168656654
TRX,0,0,0.504657404857107,0,0,0,0.16085765530832,0,0,0,0.488956884963366,0.0437760886446735,-0.0280234920663891,0,0,0,0,0,0,0
ADA,0,0,0.0411255549724169,0.0408924118926918,0.0993835913990898,0.113313647241235,0.241490531514631,0,0.0335228556034977,0.291365975598706,0,0,0,0,0,0,0,0,0,0
LEO,0,0.0910706798964443,0,0,0,0,0,0,0,0.00734788818056688,0,0,0.081175440070206,0,0,0.233612637707687,0.0469176891276665,0,0,0
XMR,0,0,0,0,0,0.422314574141943,0.101025808359824,0,0.101196576531664,0.000000000000000000867361737988404,0,0,0,0,0.0996727991649803,0,0,0,0,0
HT,0,0.2627950062404,0,0,0.0321561898148823,0.23422933485377,0,0,0,0.14979603476813,0,0,0,0,0.110981136393992,0,0,0,0,0
LINK,0,0.250549149189337,0,0,0,0,0.367158104827421,0,0.10484516065014,0,0,0,0.158536031722884,0.040319198730526,0,-0.141003442666557,0,0,0,0.0638661969082645
BV010082.INDEX,0,0,0,0,0,0,0,0.0747070187575677,0.229750380173162,0,0,0.0549478839991025,-0.39099388046069,0,0,0,0,0,0,-0.16008131198032
CVIX.INDEX,0.664846570681609,0,0,-0.0208241513906462,0,-0.621655795096456,0,0,0.0738928222673808,0.160924467167667,0,0.227048157356399,-0.0563860138944519,0.0283889754533566,0.028867054504553,-0.126159106014815,0,0,0,0
DXY.INDEX,0.0170146986872131,0.041807889773619,0,0,0,-0.0478664197252802,0,0,0.0150511904162059,0,-0.0151385367878704,0.0295384846687436,-0.0185102693302059,0,0.000315845610761245,0,0,0,0,-0.00517152477086174
SPX.INDEX,0.0190672188368107,0,0.046849434069514,0,0,0,-0.0371797229885459,0,-0.00410276082549038,0,0,-0.0154738990344324,-0.000683735946830653,0,0.0142797892297711,0.0357258408935014,0,0,0,-0.110167683246443
VIX.INDEX,0.109121191464024,0,0.509819014076388,0,-0.0000000000000000138777878078145,-0.142591729759486,0,-0.14547808883104,0.0554602860298124,0,0,-0.321669139562925,-0.197855704857878,0,0.0824851108598141,-0.0885283962261904,0.0779973121274187,0,-6.31921567411121,0
