,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,ADA,TRX,XTZ,XMR,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0769401316858117,0,0.133705838140603,0,0.168386304820509,0.0123173711438169,0,0,0,0.0786241740706357,0.193669306242098,0,0,0,0,0,0,0
ETH,0.0223586154296426,0,0,0.1501149857067,0.0656330822459653,0.206492081628124,0.268306345750937,0.000812933649953027,0.0678416340609986,0,-0.000000000000000000433680868994202,0,0.0810837367563681,0,0.011572624636222,0,0,0,0,0.0264972525056129
XRP,0,0,0,0.283483834215388,0.00000000000000000346944695195361,0,0.125224419680456,0.0514950369451951,0.0664678115121001,0.135397395449152,0,0,0,0,-0.104523494904099,0,0,0,0,0
BCH,0,0,0.178707089519796,0,0.00000000000000000173472347597681,0.0279470009939658,0.104998473312256,0.112373913214082,0,0,0.248852917968731,0,0.134668240517468,0,0.0793494869436188,0,0,0,0,0
LTC,0.169058749381132,0,0,0.105750502670063,0,0.374908112957722,0.00130113197366163,0.0483736634318041,0,0.175814401043921,0,0,0,0,0.0624239123672816,0,0,0,0,0
EOS,0.12619132237726,0.280027997950406,0,0,0.30465119395062,0,0,0,0,0.127853326820671,0.225813497156575,0,0,0,0.0551984159884085,0,0,0,0,0
BNB,0,0.41127378203893,0,0.315392893092,0,0,0,0,0,0,0.0118951116855989,0.0455039572019868,0.0182251082263926,0,0.0324151448312372,0,0,0,0,0
BSV,0,0,0,0.448295643602599,0,0.0211173994449765,0.102103401550389,0,0.131782265271953,0.0651203360337636,0.052235378843623,0,0,0,0.11405685509723,0,0.386695258547352,0,0,-0.092433862808219
XLM,0,0,0.135282639870271,0,0,0.176648935852473,0,0.111249490126692,0,0.0447059364645325,0.0141108757135908,-0.0570144809367451,0,0,0.18357776512294,-0.0417205188976245,0,0,0,0
ADA,0,0,0.0621167604578089,0.018272348752171,0,0.437216165959007,0.0665765793485819,0,0,0,0,0.00598950927424216,0,0,0.129857174854909,0,0,0,0,0
TRX,0,0,0,0.205906744363041,0,0.165008333927021,0,0,0.0911636324272474,0.166184669723861,0,0,0.132890908643378,0,0.178490182429576,0,0,0,0,0
XTZ,0,0,0.551608756070042,0,0,0,0,0.149102599381708,0,0.213493113235436,0,0,0,0.298773345911177,0,0,0,0,0,0.016105743970467
XMR,0,0.0491662439538629,0,0.0724574262002817,0,0.265715031302575,0.105479847760155,0,0.0146136186452091,0,0.112462376195403,0.187530299702874,0,0,-0.0696834576847409,0,0,0,0,0
LEO,0.416722719581345,0,-0.0890740836051504,-0.103961857428522,0.374398283319424,-0.319292135597863,0,-0.13279786661913,0.114402724104654,0,-0.00611216676283927,0.139091316350685,0,0,-0.0620370518903291,0,0,0,0,0.0756579287018946
ATOM,0,0,0,0,0,0.362438365160867,0.0937785194159104,0,0.421355474058771,0.344430729672433,0,0,-0.282856466120803,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.242841484825527,0,0,0,0,-0.255288115230775,-0.12136223262898,0.130368911616612,-0.0256112292660979,-0.199003903434351,-0.223977592813021,0.0308431940974965,0,-0.421485094703761,0,0,-0.134090501274636
CVIX.INDEX,0,0,0,0.0702764804377129,0,0,-0.0707573054664663,0,0.00901839667484012,0,0,0.0132170636114039,-0.0592796197117338,0,0.145892399042229,-0.486031915042185,0,0,0,0
DXY.INDEX,-0.000000000000000000433680868994202,0.0765330558656496,-0.000525484489136464,0.030169033404353,0,-0.0398964046046837,-0.0556494905304468,0,0.0135521098891975,0,-0.0115381110334493,0.00810246321055602,0.0102159747796793,-0.00348559646829765,0,0,0,0,0,-0.00275436800748739
SPX.INDEX,0,0,0,0.00944299045438701,0,0.0316380167279841,-0.0396217049662482,-0.0160928053344318,0,0.0258671499149424,-0.005027253354917,0,0,0,0,0.0341040273841274,0,0,0,-0.0769518212315268
VIX.INDEX,-0.0000000000000000138777878078145,0,-0.308294829393497,0,0,0,-0.266759910828963,-0.0899032355622486,0,0.474343820430886,0.309202485271023,0,-0.292261490688006,-0.627397571016686,-0.0941965967418462,-0.489830759803311,-0.24190164158259,0,-2.6402496970235,0
