,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,XTZ,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0588558669556072,0.122218184973274,0,0,0.191296889480168,0,0,0.016286236327678,0,0.139908312804933,0,0.0666077577831093,0,-0.0535379884253913,0,0,0,-0.0044404324659705
ETH,0,0,0,0.0966522647340455,0.337229103869218,0.167475360145747,0.095959732612371,0,0.0211801363501516,0,0.0874369351722877,0,0,0,0.048105332793059,0,0,0,0,0
XRP,0,0,0,0.339242176109795,0,0,0,0.122595188820019,0.0454430361846723,0,0,0.299005281792921,0,0,0,0,0,0,0,0.034615418874138
BCH,0,0.103892227819205,0.194692584312986,0,0,0,0,0,0,0,0.313110802736147,0,0,0.153796229511948,0.125603556761824,0,0,0,0,0
LTC,0,0.219836675292046,0.0696277805584227,0,0,0.479644055775578,0,0,0.00291889815195457,-0.0120914426735502,0.0753435665978283,0.016793932598784,0,0,0.0842899828888396,0,0,0,0,-0.0183410752614381
EOS,0,0.19556717705477,0,0,0.618166060165747,0,0,0.107134971327513,0.038254915999887,0,0.0285489583892433,0,0,0,0.0150418710832205,0,0,0,0,0
BNB,0,0,0.0767724626128983,0.308434041238282,0,0.297009653156414,0,0,0,0.0109232961769472,0.0439943056301921,0,0,0,0.0366081248731679,0,0,0,0,-0.0179624079428033
BSV,0,0,0,0.303557830075342,0,0.205443877080175,0,0,0.227823285378015,0,0,0,0,0,0.168834329523894,0,0.117245146531849,0,0,-0.130376208522147
XLM,0,0,0.254461065577339,0,-0.0000000000000000138777878078145,0,0,0.0587540772150735,0,-0.0186179307350603,0.193667483810961,0,0.0984503997131635,0,0.187562487293729,0,0.0862218437891535,0,0,0
XTZ,0,0,0.591635159329008,0,0,0,1.06850807907267,0,0,0,-0.579939252235752,0,0.0715643527459579,-0.312346745945222,0.0573939493908291,0.276291878883943,0,0,0,-0.165309943932753
TRX,0,0,0.0375983881899264,0.317384017224817,0,-0.00000000000000000346944695195361,0,0,0.162801445544317,-0.0628627164338758,0,0.288712190406583,0,0.0868436652459699,0.0933152791266741,0,0,0,0,0
ADA,0,0.186366667005199,0.0544334900400205,0,0,0.147628149924352,0,0.0152341537533499,0.0968535091011293,0.0105591582965453,0.130971819345265,0,0,0,0.135321412256688,0,0,0,0,0
LEO,0.240102872983233,0,0,0,0,-0.223298587285577,0,0,0.106977253927321,0.0784187122607631,0.297925110233864,0.0940377486692451,0,-0.227507567918182,-0.103616605287888,0,0,0,0,0.0194164925743231
XMR,0,0.097852331707289,0,0.214716741312557,0.189621659917997,0,0.234087984427434,0,0,0.0481936562400487,0,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0.628449374225699,0,0.0186924014502995,0.241823879111827,0.12331469114638,0,0.00565482237926541,0,0,0,0,0,0,0,0.0648215315082744
BV010082.INDEX,0,0,0.129327830326471,0.28110271343173,0,0,-0.149402365834942,-0.18112379132054,0,0.120680415759449,0.230218539771845,0,0,-0.145899523612857,-0.230041181645083,0,0,0,0,-0.105228772851298
CVIX.INDEX,0.24141681777655,0,-0.108500607363903,0,0.336047620808093,-0.0940112908315771,0.123862514582018,0.111841865391803,0,0,-0.514841981694067,-0.193851282063046,0.273640098933802,0.226122086583326,-0.0242952093957864,0,0,0,0,0.000000000000000000216840434497101
DXY.INDEX,0,0.0261002327475311,0,0,-0.0563294791777205,0,0,0.010721535156256,0.0344696112972891,-0.00148477658796227,0,0,-0.0412202272326658,0,-0.0130212486262368,0.0458202829985087,-0.0194596581458801,0,0,-0.0035143456312509
SPX.INDEX,0,0,-0.019229800743154,0,0,0.0358482769702937,0,0,0.0033360138900464,-0.00300833627696917,0,0,0,0,-0.0101259184945856,0.0815732988173097,0,0,0,-0.0404736203455928
VIX.INDEX,0,0,-0.341284817680005,0,0,0,0,-0.163757272076736,0.479771409153023,-0.048061876293724,0,0,0,0,-0.120090573082315,0,0,0,-5.98433731454022,0
