,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XLM,TRX,XMR,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0000000000000000000542101086242752,0,0,0.1705080397187,0.0402019631481221,0,0.0276322035779822,0.0299649830333703,0.0665394212852509,0.0437651966094242,0,0.0190430123447257,0,0,0,0,0,0
ETH,0,0,0.234049358769608,0,0,0.025129758774512,0.103608548163042,0,0.0160007312999886,0.203734376273499,0.0883541083043953,0,0.0149061870295088,0,0,0,0,0,0,0
XRP,0,0.107633882864684,0,0.125383145051416,0.0326089745216489,0,0,0,0.0079545659866029,0,0,0.0451419631347657,0.176879289548174,0.0979011172858728,0.0178760061144245,0,0,0,0,0
BCH,0,0,0,0,0.252214855190096,0.00702059806125479,0,0.0502068047119577,0,0,0,0.237032906417646,0,0.134243631860086,0.155652354723096,0,0,0,0,0
BSV,0,0,0.435582157276941,1.06278865819194,0,0,1.1105081149302,0,-0.0579349495030592,0,0.565985968457663,-1.65593121081764,0,-1.06609153859906,-0.0838521237192036,0,0.391160442231231,0,0,-0.0666666093861796
LTC,0,0.214391314879287,0,0.279139384163459,0.027373300695075,0,0.134011321015327,0,0,0,0.104777561498897,0,0,0.0696302254380494,0.0322175163554679,0,0,0,0,0
EOS,0,0,0.192489000034072,0.0124936599837607,0.132441208895901,0.0840487676809454,0,0.129183141721405,0,-0.00000000000000000346944695195361,0,0,0.13048203413743,0,0.221958402693307,0,0,0,0,0
BNB,0,0,0,0.305573397461454,0,0,0,0,0.0914736226609404,0,0,0.021500848016538,0.0591367051807878,0.184414446804075,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.193421649160864,0.134940303302773,0,0,0.338767665808877,0,0,0,0,0,0,0,0,0
ADA,0,0.224977452763215,0,0,0,0,0.209677571882509,0,0,0,0.06769456389791,0,0.20378014214115,0.214809990810655,0,0,0,0,0,0
LINK,0,0,0,0.159848244206278,0,0.0656812934110834,0,0.10224251955372,0.0577355614045557,0,0,0,0.308747745900819,0.0364811991125932,0.0373077384414962,0,0,0,0,0
XLM,0,0,0.374596110817878,0.0661824962463588,0,0,0,0.0967239310861207,0,0,0,0,0.0873164551203614,0,0,0,0,0,0,0
TRX,0,0.090397064322679,0.272818202245402,0.0552072546142394,0.0216154550602576,-0.000000000000000000433680868994202,0.0245990239810289,0,0.0850688810412939,0.143617014212069,0,0,0,0,0.144213418725682,0,0,0,0,0
XMR,0,0,0.0126072781397745,0.13656362613522,-0.108437607400893,0.415953069259093,0,0,0.0323557812967295,0.266535683720412,0.000434779874247962,0,0.0846550809194658,0,0,0,0,0,0,0
ETC,0,0,-0.0997000494621482,0.632814952761563,0.0368880882437167,0,0.00000000000000000346944695195361,0,0.0434730330124023,0.174719517135589,0,0,0,0.114177553543471,0,0,0,0,0,0.107834768367693
BV010082.INDEX,0,0,0,0,0,-0.0989913527263372,0,0,0,0,-0.0274738845128137,0.107828359707295,0.0781856498329956,-0.117167479372413,0.0264438157010578,0,0,0,0,-0.139768948347451
CVIX.INDEX,0,0,0,0,0.0512462929345722,-0.0783124657512649,0,0,0,0,0,0,-0.303441588678266,0.255808107410166,0.0229738438650645,0,0,0,0,0
DXY.INDEX,0,0,0,0,-0.000215378892097563,-0.0048968315758996,0,0.0122682253189566,0,0,0.000706950242782109,0,0,0,0.00372673572531721,0,-0.010170528412049,0,0,-0.0145932819588803
SPX.INDEX,0,0,0,0.0121625885900418,0,-0.0000000000000000000542101086242752,0,0.028200689448727,-0.00807085974225841,0,-0.00439767896161091,0,0,-0.0067257533830817,-0.00144677686924037,0,0,0,0,-0.0818804478967604
VIX.INDEX,0,0,0,-0.385842850634708,0.018366325447021,0,0,0.470013579849266,0.0948827965530622,0,0.123683666704882,-0.419591251194755,0.0414033368095077,-0.232241143806066,0.223100102094905,-0.142733117702812,0,0,-3.88333738694602,0
