,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,TAGZ5,INNBCL,XMR,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.306623345127591,0.052906057084245,0,0,0,0.162838585562641,0,0,0.00394361946609758,0,0,0.03277933388446,0,0,0,0,0
ETH,0,0,0,0.284382275609969,0,0.304058341002893,0,0.0552734735618202,0.251786023317856,0,0,0.00324784677875547,0.0845336381957698,0,0.0218493665343269,0,0,0,0,0
XRP,0,0.210111111138808,0,0.116946803057367,0,0.113719957922454,0.0744138372743989,0,0.115753928805266,0,0.0176450379005251,-0.0010314845095978,0,0,0.0679540891431927,0,0,0,0,0.00940168559572675
BCH,0,0.222254697008006,0,0,0.190178225784259,0.0458920915190031,0.162187533589093,0.0732481367067127,0.00000000000000000173472347597681,0,0,-0.000506891495926001,0,0,0.223503242772093,0,0,0,0,0
BSV,0,0,0,0.53638488752774,0,0,0.338994306113184,0.233680574569277,0,0,-0.0313192737490354,0,0.0426509712700351,0,0,0.0031789744019525,0.0943216666740535,0,0,-0.0932384273762234
LTC,0,0.323348720122614,0,0.0639415167256771,0,0,0.110769899557149,0,0,0,0,0.000170308641294704,0,0,0.321018757062238,0,0,0,0,0
EOS,0,0.00467224205982524,0.0230162409864949,0.26294272576752,0.24506601566963,0.219912242188154,0,0.0734065660470172,0,0,0,0.00306523089306933,-0.00000000000000000693889390390723,0,0.0868824935125592,0,0,0,0,0
BNB,0,0.200653642718419,0,0.29595695070369,0.0180140750533409,0,0,0,0.0986532063654036,0,0,0,0.278812234498528,0,0,0,0,0,0,0
XTZ,0,0.282061340406578,0,0,0.0457290316252433,0,0,0.541242091909963,0,0.19273333493214,0,-0.00330704807126601,0,0,0.189485835391751,0,0,0,0,-0.00148424547875411
LEO,0,-0.0410299565601024,-0.0181244737402459,0,0.112073696991692,-0.120299028519045,0,0,0.152198677437079,0,-0.0438809623519124,0.00158661134398169,0,-0.0276162344463523,0,-0.0344182933260172,-0.0203551354750987,0,0,-0.0499532022216988
TAGZ5,0,0.0151364609538763,0,0.43660118485005,0,0,0,0.0515760368224415,0.0249671607201065,0,0,0,0,0,0.145993087298247,0,0,0,0,0.0884298725559359
INNBCL,0,19.8734567657205,0,0,-1.33180172125899,0,0,0,0,0,-3.0684288047976,0,-19.3906075903063,0,-2.11926098066544,0,-1.0322444106594,0,0,-1.78251469017708
XMR,0,0.26664828729364,0,0,0,0,0.448316182176536,0,0.166040880742683,0,0,-0.00483227052377084,0,0,-0.00000000000000000693889390390723,0,-0.011797274207531,0,0,0
XLM,0,0,0,0.294628525210805,0,0,0,0.160402142513155,0.0256008201273814,0,0,0.000969126900135974,0.0975880264216655,0,0.107990096207371,0,0,0,0,0
ADA,0,0.0425711309139305,0,0.186718807401881,0,0.292948673562122,0.0382041207671214,0.114435002274877,0.164187414697629,0,0,0,0.0798682313601506,0,0,0,0,0,0,0
BV010082.INDEX,0,0.646278017855588,0,0,0,0,-0.0132442663487741,-1.46063589831031,0,0,0.103673889851573,-0.0196619860082849,0,0.397474810388903,0.320315244611615,0,-0.0104949253495212,0,0.328540910719278,-0.0173732769676379
CVIX.INDEX,0,0,0,0,0.211348125279714,0,0,0,0.327254376821072,0,-0.546221398214339,0,0,0,0,0.287741568229325,0,0,-0.0563597878885967,0.408751137648174
DXY.INDEX,0,0,-0.0756692647968079,0,0.0333419706550314,0,0,0,0.0361789991801742,-0.0685728769679721,0,0.00055181708342488,0,0,0,0.0386675927579189,-0.0178017516457951,0,-0.0396771123963377,-0.00642396101840108
SPX.INDEX,0,0,0,0,-0.185848564366913,0,0,0,0.184929811245336,0,-0.0419194490613489,0.00205812778307383,0,0,0,0.237236659342135,0.000000000000000000433680868994202,0,0,-0.212888297002764
VIX.INDEX,0,0,0,-0.278300045909869,-0.0742030108185428,0,0,0.0510154783565826,0.440960571229896,0,0.394111218897433,0.0085567849920297,-0.638956439953222,0,0,-0.0232159277077816,0,0,-1.68991542838419,0
