,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XLM,XMR,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00852679371452448,0,0,0.069154422743237,0,0.0993956163823334,0.0776621712934633,0.00307080387975894,0.147082126163476,0,0,0,0.0735162456603437,0.084149703238734,0,0,0,0,0
ETH,0,0,0,0.41654983755484,0.0463396995250663,0,0.0599995836571844,0.000000000000000000216840434497101,0.00429919947548096,0.151442882083327,0,0,0,0.16625160291195,0.0538423652518704,0,0,0,0,0
XRP,0,0.101871578831971,0,0.108801510288994,0,0.0762277927718847,0.149951854495639,0.0346309272021705,-0.00029347490772967,0.119922006197962,0,0,0.150156814852229,0,0,0,0,0,0,0
BCH,0,0.365505156248858,0,0,0.162816301618241,0,0.195400178038798,0.127932659446414,-0.00692311074344443,0,0,0,0,0.0376054468121689,0,0,0,0,0,0
BSV,0,0,0,0.513157811334617,0,0,0.319554861357538,0.151523489657951,-0.00000000000000000010842021724855,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.248723354043003,0.107978121364394,0.139724212118722,0,0,0.216940576408297,0,0.00411579382784236,0.00554994808734145,0,0,0,0.128391941908533,0.0149545208962854,0,0.0228171618457446,0,0,0
EOS,0,0,0.0869624467866458,0.262210688819077,0.236917715540365,0.250660243458367,0,0.0962725965481276,0.00256531454525012,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.152970810040588,0,0.311168078808577,0,0,0,0,0,0.144553039253161,0,0,0,0.166684290174203,0.0298598576750075,0,0,0,0,0
INNBCL,0,15.9030234177015,0,0,0,0,-1.65408577976128,0,0,0,-0.451429702247593,0,0,-18.3867235100635,0,0,0.0730916142463096,0,3.26003465778474,-0.883104379597806
XTZ,0,0.107169886152983,0,0.184732505946953,0.208172867238214,0,0,0,-0.00313266698837225,0,0,0,0,0,0.470138226446111,0,0,0,0,0
TAGZ5,0,0,0,0.452331003121325,0,0,0,0,-0.00438753060580857,0,0,0,0.203204275640752,0,0.105003946494353,0,0,0,0,0.108895055309174
LEO,0,0,-0.0157459963305429,0,0.124128186842616,-0.276128723169359,0,0.0687372809306609,0.00143202008886127,0.167641579749836,-0.0320972113224483,0,0,-0.0558696099091969,0,-0.00976203520140861,-0.0153746163173915,0,0,-0.0408264634579094
XLM,0,0.0471397489650881,0,0.188753890936045,0,0,0.258873087845003,0.0801969514916296,-0.00252775397436346,0.0782908817065867,0,0,0,0.0135741137056504,0,0,0,0,0,0
XMR,0.0828846360524181,0.174265950733552,0,0.0152959437930392,0,0,0.322304763538149,0.1362174389444,-0.0000679528439935998,0.124484975076469,0.00449632409346047,0,0,0,0.0206866905629039,0,0,0,0,0
LINK,0.261755401646371,0,0,0,0.164962997123493,0,0,0.260102475010689,0.000347581008852422,0.363671907158066,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,1.07891671743313,0,0,0.260732746480989,0.461785141159963,-1.66143339608038,-0.0381959151756115,-0.0275417987534729,-0.989727034158403,0.301976921772133,0,0.512983640292194,0,0.205305486873451,0,0.0465363867192032,0,0.102719664321312,-0.125921615800818
CVIX.INDEX,0,0,-0.232308521245371,0,0.152718848021551,0,0,0,-0.000000000000000000433680868994202,0.34271664109901,-0.495333326271886,0,0,0,0.133785615046396,0.312160245221286,0,0,-0.147783877674604,0.379434238343511
DXY.INDEX,0,0,-0.0569620979376329,-0.0081072666027293,0.0187967671278411,0,0,0,0.0013277998736333,0.0508344611544127,0.0132721373293305,0,0,0,-0.0257085192324074,0.0204043694110462,-0.0141223927699798,0,-0.0626643501376738,-0.0261543592001124
SPX.INDEX,0,0,0,0,-0.119736759352364,0,0,0,0.00595744664927351,0.00408317379656208,0,0,0,0,0.0962197153771953,0.294311559620448,0,0,0,-0.233176310613775
VIX.INDEX,0,0,-0.357203585450464,0,0,0,0,0,0.0250693995425307,0,0.353059934428474,0,0,0,0,0,0.0379046536329773,0,-1.93395750067929,0
