,BTC,ETH,XRP,BCH,LINK,ADA,BSV,LTC,BNB,CRO,EOS,XTZ,XLM,XMR,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.106912704844136,0,0.00731947773755544,0,0,0,0,0,0.18102394527994,0.218953037724628,0.0728597371417406,0,0,0.0288980467210041,0,0,0,0,5.42101086242752e-20
ETH,0.35657191102795,0,0.134701500816638,0,0.0916788928130034,0,0,0,0.0852382243363588,0.0680303445290813,0,0,0.0275105795381405,0,0.125666744685766,0,0,0,0,0
XRP,0,0,0,0.174357408204536,0,0.0576859439867051,0.147648844923087,0.275168009902843,0,0.0230643892170842,0,0,0,0,0,0,0,0,0,-0.00370963616166885
BCH,0,0,0,0,-0.0182613317156254,0,0.169862168332838,0.397060080233367,0,0.181097632571991,0.369064969601344,0.0332543251717214,-0.0771161437908804,0,0.00584469454760709,0,0,0,0,0.00493217642446834
LINK,0,0,0,0,0,0.259752944564721,0,0,0,0,0,0.421623320260852,0,0,0,0,0,0,0,-0.0599600543402929
ADA,0,0.0736184859957162,0,0,0.103989699824011,0,0,0,0.313463481632964,0,0,0.30137449991355,0.180684449738702,0.0810781902927429,0,0,-0.0922089793894285,0,0,0.0624306868909985
BSV,0,0.118715324317206,0.0906480930779658,0.600692276013461,0,0,0,0,0,0,0.0852592135209664,0,0.00348238622813746,0.150418104215201,0.18515694004074,0,0,0,0,0.0379540529347651
LTC,0,0.135984473670645,0.0714356377213116,0.295195616469378,0,0.0215047758949589,0.017403658020718,0,0.0893832187312537,0,0.189160253217605,0.0456565898367415,0,0,0,0,0,0,0,0
BNB,0,0.391002807687313,0,0,0,-8.67361737988404e-19,0,0.11297946686836,0,0.0638087951204288,0,0,0.0466546654724946,0,0,0,0,0,0,-0.00826268055628853
CRO,1.19472630976029,0.0559676228722766,0,0,0.0477608128855743,0,-0.15178876994128,0,0,0,0,0,0,0,0,0,-0.289425232986144,0,0,-0.0142343881551299
EOS,0,0,0,0.404710340970411,0,0.0446414845164948,0.192859132505127,0,0,0,0,0,0.130957208147268,0,0,0,0,0,0,-0.0306337911601995
XTZ,0,0.186463910366755,0,0,0.416689114359917,0,-6.93889390390723e-18,0,0,0.0708478885051288,0,0,0.179642647229973,0,0,0,-0.040518459236209,0,0,0
XLM,-0.141853114631478,0.0393102393515591,0.222729872147899,0,0,0.181545096148207,0,0,0.167805674432085,0,0,0.256894578499229,0,0,0,0,0,0,0,-0.171603568024296
XMR,0,0,0,0,0,0.0432379298806483,0.0144567138027036,0.188247509548318,0.319062165228495,0.0897910810097415,0,0.0987927013981119,0,0,0,0,0,0,0,-0.0236390455828861
OKB,0.0153986395316111,0,0,0,0,0.0269833458376932,0.187622439635183,0,0,0.0482117719905269,0.31263279672203,0.0338816581136886,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0512525597627082,-0.0310377881200447,0,0,0.046633254752791,-0.0204255608052544,-0.0402554601621156,0,0.0199951364653679,0,0.0166799257430211,-0.0297746599627447,0,0,0,-0.0313108539021771,0,0.0878247996942104,0
CVIX.Index,0.331398418153153,0.122790742425159,-0.225137615797471,0.428090518028879,6.93889390390723e-18,-0.146093170253353,0,0,0,0.211747166506371,-0.720570077825268,0.0257881787692477,0.0337258423410188,0.188766725811322,-0.248858713502145,0,0,0,0,-0.0669529208034698
DXY.Curncy,-0.064314046811374,-0.0278814129041724,0,0,0.0037352781876236,0.00621587332635635,0,0,0,-0.000595771293111037,0.02236478826405,-0.0304646920933806,0,0,0.00957375747041359,0,0,0,0,0
SPX.Index,0,-0.00360375060316839,0,0,0,0,0.0231226917804382,0,0,0.0927088485913055,0,0.0284521256675199,-0.0332703530710243,0.100888012609277,-0.06788828473266,0,0,0,0,-0.123166446932301
VIX.Index,-0.135468510196823,0,0,0,0.0882706314209876,-0.163461703990581,0.600115157745717,0,0,-0.106997434136733,0,0,-0.163188197709109,0,-0.623950473908834,0,-0.277240887649859,0,-3.4435697329086,0
