,BTC,ETH,XRP,LINK,LTC,BCH,DOT,BNB,ADA,BSV,EOS,XMR,WBTC,TRX,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00200049331147495,0,0.0194348979579146,0.0216944215339167,0,0.00103808689290828,0,0,0,0,0.0186936575039342,0.784340846665557,0,0,0,0,0,0,-0.0042650854404931
ETH,0.154522365775509,0,0,0.171973443908792,0.0321673553917731,0.142914177256551,3.46944695195361e-18,0.155043935265683,0.0214259635073343,0.102227311930124,0.0725127459449958,0,0,0,0,0,0,0,0,-0.0271030091226326
XRP,0,0.0775040534796399,0,0.119930362945311,0.0381024463402745,0,0.0734278548360258,0,0,0,0.247140764840121,0.0602643402139352,0,0,0.0811089867547946,0,0,0,0,8.67361737988404e-19
LINK,0,0.555594126457588,0,0,0,0.127258126409298,0,0,0.653113815405929,0,0,0,0,0,0.208877218147046,0,0,0,0,0
LTC,0,0.316492664626543,0,0,0,0,0.0266440458882705,0,0,0.245862029951668,0,0,0,0.0704734409616528,0,0,0,0,0,-0.0180756743403629
BCH,0,0.472685426579281,-0.0659848769763556,0.0640047043366756,0.157711867383167,0,-0.213187444348962,0.0825768388575774,0,0.365699476782874,0,0,0,0,0,0,-0.0453283246669082,0,0,0.14102422465023
DOT,0,0.601426629479894,0,0.171421400911841,0.171418919333194,0,0,-8.67361737988404e-19,0.016017136318804,0.256108723606696,-0.264245822765424,0,0,0.274800847023692,0,0,0,0,0,-0.000566409418158772
BNB,0,0,0,0.145422420897218,0,0.0988857068448905,0.0172184771251805,0,0,0.135030679199673,0.326230138628607,0,0.0517904041270019,0,0.0750852117731323,0,0.128849533706465,0,0,-0.171411370510416
ADA,0,0.378988220830351,0,0.101025117338232,0,0,0.199093853650655,0,0,0.0500035684943853,0,0.244203995672194,-0.026210351433113,0,0.0225124898606783,0,0,0,0,-0.0627235070795879
BSV,0,0.101425385061731,0,0,0.0416669142894821,0.432875879700367,0.0850360868777445,0,8.67361737988404e-19,0,0.25891657978425,0.073445505972047,0,0,0,0,0,0,0,-0.00695546992773305
EOS,0,0,0,0.114262280217523,0.252036463119767,0.0278527958053149,-0.113310494496663,0.154237387107092,0,0,0,0,0,0,0.0755305503933677,0,0,0,0,0
XMR,0.10412238906383,0,0,0.085543782782477,0,0.0873381761971201,0,0.224264119669912,-6.93889390390723e-18,0.655544546789274,0,0,0,0,0,0,-0.120177134489045,0,0,0.0799587333904046
WBTC,0.917342952646259,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.00538791111894881,0,0,0,0,0
TRX,0,0,-0.483936383595387,0,0.188049062978116,0,0.356361516225138,0,0,0,0.387230205994919,0.0978884853066604,0,0,0,0,0,0,0,-0.0366530108129836
XLM,0,0,0.115400599424035,0.038649238516401,0.11807591187376,0,0.068313299131273,0.129273710537126,0.271850269872146,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.00712030686183864,0.0229506962773973,-0.0133095373178122,-0.0226052995452508,-0.0013615105740737,0,0,-0.04837501441094,0.0310687912480579,0,0.0118903677730839,0.0244222019397204,0,0.0550466621909189,0,0,-0.00815962974191986
CVIX.Index,0,0,0.0625026266693922,0,0.0266696108504266,0.0395321327059641,-0.0858722710355814,0,-0.0191938657346034,0.0823719185924848,0,0,-0.146675302565688,0.153708166450134,-0.0147174859422691,0,0,0,0.160101062671013,0.204459771158764
DXY.Curncy,-0.0142544762050795,0,0,0.00945549154364273,0.0226550406353691,0,-0.0160512854787694,0.0018214800802928,0,0,0,0,-0.0520674499929513,0,-0.00500082369204001,0,0.0227255506123241,0,0,0.0223890074814472
SPX.Index,0,0,0,0.0520929612079118,-0.00168764310084357,0,-0.021395829195447,0.0111323235715192,0,0,0,0.0755807972971702,0,-0.0966124428433224,-0.0320883269585556,0,0,0,0,-0.129090332813977
VIX.Index,0,-0.567403036885366,0,0,0,0,-6.20911500913944e-05,0,0,0,0,0.494388013157943,0,-0.493882587810882,0,0,0,0,-1.91013374645226,0
