,BTC,ETH,XRP,LINK,LTC,BCH,DOT,BNB,ADA,BSV,EOS,WBTC,XMR,TRX,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0107935778406685,0.035524598757547,0,0.00890265521722915,0.0110883501762971,0,0,0,0.705100164747627,0.0340851884500914,0,0,0,0,0,0,-0.00124357022967022
ETH,0.154522365775509,0,0,0.171973443908792,0.0321673553917733,0.142914177256551,0,0.155043935265683,0.0214259635073343,0.102227311930124,0.0725127459449958,-2.77555756156289e-17,0,0,0,0,0,0,0,-0.0271030091226326
XRP,0,8.4440769516865e-05,0,0.0732197190182356,0.0778586250371193,0,0.0874521117860935,0,0.130490490701573,0,0.26128896116671,0,0.0428945019300671,0,0.109035766143633,0,0,0,0,0
LINK,0,0.555594126457587,0,0,0,0.127258126409299,0,0,0.65311381540593,0,0,0,0,0,0.208877218147045,0,0,0,0,0
LTC,0.0449359043375039,0.254143204183728,0,0,0,0.141764540996466,0.136828621201769,0.0187813738472003,0,0.199476807129617,0,0,0,0,0.0278904129509252,0,0,0,0,-0.0426008372382378
BCH,0,0,0,0.122260242544628,0.0452253572687534,0,0,0,0.0862436939923976,0.541816945333087,0,0,0,0,0.00896575277417924,0,0,0,0,0.0356824935365373
DOT,0,0.506796341102807,0,0.191798968867684,0.176403152894136,0,0,0,0,0.257870774017358,-0.164351390460956,0,0,0.27226198214485,0,0,0,0,0,-0.013662990834691
BNB,0,0,0,0.208216951389587,0,0.0609957112385672,0.00506149665406697,0,0,0.123351337608295,0.304163449821172,0.104884059282509,0,0,0,0,0,0,0,-0.120401449834218
ADA,0,0.370916721734883,0,0.111689136276178,0,0,0.19295335196078,0,0,0.0339992700183809,0,0,0.23007467870717,0,0.0215120665920873,0,0,0,0,-0.0584729483455293
BSV,0,0.150280951268093,0,0,0.066551198789824,0.422056046487943,0.0632743283156204,0,0,0,0.139756577146791,0,0.0880477564311741,0,0,0,0,0,0,0
EOS,0,0,0.10331758405641,0.0834929227703509,0.216568505909338,0.0285627280666936,-0.153341324230185,0.136332178786656,0,0.0932303367930035,0,0,0,0,0.0926887832426158,0,0,0,0,0
WBTC,0.748078624128721,0,0,0.00763190474246202,0,0,0.0464784937144003,0.0190433663335455,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.135851926828424,0,0,0.0506120972790583,0,0,0.146320969766605,0.314858988532692,-6.93889390390723e-18,0.502031209987349,0,0,0,0,0,0,-0.217720923757027,0,0,0.172790074948682
TRX,0,0,-0.420971403955011,0.133597229651112,0.0686035290578788,0,0.342925119120938,0,-0.0694494224572395,0,0.452794046908266,0,0.0810620330546095,0,0,0,0,0,0,-0.0376435594749532
XLM,0,0,0.121811783827185,0.0373522558348638,0.115216988030653,0,0.0662370359835076,0.127597710650088,0.276724914584206,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0056937194240173,0.0204016771427474,-0.021361424750524,-0.0187904451143457,0,0,0,-0.0216385536704841,0,0.0179880307454258,-0.0156087527357701,0.0364333952273469,0,0.0543898178200481,0,0,-0.00852223519747423
CVIX.Index,0,0,0,0,0.035593701461015,0.0707019073379407,-0.080540442151222,0,0,0,0.01650025318597,-0.0967173890214535,0.02130143472566,0.156762210449241,-0.027254328455138,0,0,0,0.138333796226019,0.205225930774985
DXY.Curncy,-0.00761982780103722,0,0,0.0100945716762501,0.021899715896475,0,-0.0152832295471227,0.00213183632641211,0,-0.00108126674581108,0,-0.0583383715210205,2.16840434497101e-19,0,-0.00533797375585025,0,0.0238302081619455,0,0,0.0231376608887716
SPX.Index,0,0,0,0.0580201365544758,-2.16840434497101e-19,0,-0.0208898757840893,0.0155873771941741,-0.0297915780973748,0,0,0,0.0785056787427714,-0.100672792534092,-0.0243185455287497,0,0,0,0,-0.129014593868635
VIX.Index,0,-0.475642610702455,0,6.93889390390723e-18,-0.33938094932751,0,0,0,0,0,0,0.0991957377479389,0.623521612971035,-0.430294116669629,0.158319586061337,0,0.195228974843554,0,-1.98448864056475,0
