,BTC,ETH,XRP,BCH,LTC,ADA,DOT,LINK,XLM,BNB,BSV,WBTC,XMR,EOS,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.00341623011443228,0,0,0,0,0,-0.0108977323795253,0.952841646563201,0,0,0,0,0,0,0,0
ETH,0,0,0,-8.470329472543e-22,0.164632235730737,0.21850056517066,0.017961888873201,0.221000830205941,0,0,0,0,0,0,0,0,0,0,0,0.0427407081816377
XRP,0,0,0,-0.364950607712902,0.398727087999733,-0.539288246905785,-0.0279860255758825,-0.669257526052026,0,0,-0.224304806873746,0,0,2.93895918212667,0,0,0,0,0,0.414895544622892
BCH,0,0,0.0133364453333027,0,0.191838980114672,0.0662668305681269,0.00410051907601799,0.235171736841344,0.00754423751597431,0.247562413824382,0.425190720484484,0.0302881453009924,0,0,0,0,0,0,0,-4.33680868994202e-19
LTC,0,0.213667937417827,0.0932457136042892,0.0517729843586397,0,0.0338202303348059,0.00726546588549648,0.127560142922015,0,0.023654707512094,0,0.338570793314199,0.130231851269102,0,0,0,0,0,0,0
ADA,0,0,-0.0850162849817553,0.0835651308841292,0.188255943909639,0,0.147369839212996,0,0.285437117186491,0,0.0375718142806368,0,0,0.138113989479951,0,0,0,0,0,0.109082088227698
DOT,0,0,-0.0346344636726089,0,0.217830575064631,0.0277949228854901,0,0.227542188576167,-0.0583209540824488,0,0,0,0.116451732293075,0.138477834914171,0,0,0,0,0,-0.0787077218265943
LINK,0,0,0,0.163785600899918,0.201440218662549,0.0186791344502108,0,0,0.0939375713922059,0,0.082250236071971,0,0,0.143223005577424,0,0,0,0,0,0.0580550310924321
XLM,0,0,0.0750530486695501,-0.160447824968542,0,0.241137420185356,0.0231105563796997,0.131731112418482,0,0,-0.0486013571266134,0,0,0.621108588278442,0,0,0,0,0,0.0215067370567433
BNB,0,0,0.0238187976026292,0.067298240971202,0.166568574414937,0,0.0274034958844123,0,-0.0110327334536932,0,0,0,0,0,0.238436862402318,0,0,0,0,0
BSV,0.17259343887481,0,0,0,0.0401018397296539,-0.109384580031912,0.0463634119222988,0.205030355342608,-0.0143110579122628,0.125998024218111,0,0,0,0.490925609732334,0,0,0,0,0,0
WBTC,0.968313131063307,0,0.000208861818810036,0,0.015264489030863,0,0.000918293377802225,0,-0.00713951199937792,0,0.00870438916384232,0,0,0.00266499794422542,0,0,0,0,0,0
XMR,0,-0.0445643413248191,0.0418220863883261,0,0,0,0.040967576936963,-0.200542915037915,0.0911120062251603,0,0.223178084829168,0.40329092227462,0,0,0,0,0,0,0,0
EOS,0,0,0.144262187311439,0,0.0867874637487494,0.221546292226483,0.0387151193457737,0.243437811399301,0.0743261391058824,0,0.246196319547333,0,0,0,0,0,0,0,0,0
TRX,0,0,0.221241933201987,0.183718009929458,0,0,-0.0456711560313635,0.170982656770158,0.016609972280622,0,0.117920585695587,0,0.0389178474739024,0,0,0,0,0,0,0.095838090366972
BV010082.Index,0,0,-0.0026400553053508,0.0153093910251685,0,0,-0.000765681703446275,0,0,0,0,0.00929049227118468,-0.0202265405385394,0,0,0,-0.00707239331279506,0,0,-0.012930816433754
CVIX.Index,0,0.133320090297653,0.0951349993636788,0.216121529935142,-0.00150474328047363,0,-0.0679347575995473,0,-0.0807161256873691,-0.206295373875139,0,0,-0.127803171949512,0,-0.248927686019159,0,0,0,0,0.0782827860607917
DXY.Curncy,0,0,0,0,0,0,0,0,-0.00404985216716426,0,0,0,0,0,0.0148726319140262,0,0,0,0,0
SPX.Index,-0.0322436542622169,0,0,0.00301836758505807,0,0,0,-0.0235124904129079,0.00401018931249301,0,0.0110267326737532,0,0.00604574067947513,0,0,0,0,0,0,-0.0798111025616398
VIX.Index,0,0,-0.0588177224517561,0,-0.0610133098774919,0.222590183266553,-0.0620890248228746,0.0502048482379541,-0.0113870680997799,0,0,-0.276300789987757,0,-0.244182493901272,0.340340910158034,0,0.805502575428636,0,-3.02690266443041,0
