,BTC,ETH,ADA,DOT,XRP,BNB,LTC,LINK,XLM,BCH,DOGE,UNI,AAVE,WBTC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,9.91457253961244e-05,0,0,0.918718086813682,0,0,0,0,0,-0.00158897431010313
ETH,0,0,0.0465483833438004,0.0226020050417939,0,0,0.25005558385011,0.0621190133263778,0,0.15790099975311,0,0.0552066047283495,0.0604580086239114,0.0902804211413287,0,0,0,0,0,0
ADA,0,0,0,0.0703908722608473,-0.0579353689543889,0.205181219217621,0.0897382031665063,0,0.512221473906203,-1.38777878078145e-17,0.0118764098630828,0.078282912853822,0.111505961010456,0,0,0,0,0,0,-0.0143750192785694
DOT,0,0,0.10285913844912,0,-0.0341372384271262,0,0.0600172565656659,0,0,0.232350151413038,0.021112793253065,0.047555239312288,-0.0260207585751624,0,0,0,0,0,0,-0.229715834449216
XRP,0,0,-0.542035810892416,0,0,0,0,0,0.436568098694428,0,0.0479990144640917,0,0.533178417877497,0,0.880989281166357,0,0,0,0,0.127142348925233
BNB,0,0,0,0,0,0,0.122765807445161,0.0865477116303155,0,0.136138064385759,0,0.0606132765110741,0.0252990941969878,0,0,0,0,0,0,0
LTC,0,0.221299991316802,0.149909960619949,0,0,0,0,0,-1.73472347597681e-18,0.136992010117031,0,0.0618592843979865,0,0.209883939502598,0,0,0,0,0,-0.0685905470259729
LINK,0,0.093705426661129,0,0,0,0,0,0,0.132493816839301,0,0,0.0912565129308925,0.0591532451832941,0,0.1304081087582,0,0,0,0,-0.0435312881066783
XLM,0,0,0.280150925529118,0.0336569212853463,0.0637969520884492,0,0,4.33680868994202e-19,0,0.0196745348128943,0,0.0888723266850455,0,0,0.256289766240376,0,0,0,0,0
BCH,0,0.251076438352177,0,0.0275105618049555,0,0,0.449876528856308,0,0,0,0,0.00975614402809005,0,0,0.259217793005867,0,0,0,0,-0.0383137367682632
DOGE,0,0,0,0.249561560852281,0,-0.167008031403105,0,0,0,0.083303653434071,0,0,0,0,0,0,0,0,0,0.0131788480656002
UNI,0,0,0,0.274872694593128,0,0,0.222205512571505,0.0607158929721527,0,0,-0.0768817464427201,0,0.193239541206355,0,0.165713797571086,0,0,0,0,0.190713621142497
AAVE,0,0.0168510672650632,0.122204191999577,0,0.117696560736159,0,0,0.192664341026195,-0.144102557048972,0,-0.0271881858319698,0.293509192737037,0,0,0,0,0,0,0,0
WBTC,0.947279950032486,0,0.00239640484800867,0.0048728551909775,0,0,0.0395104351400844,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.00428232272238317,0.0226441066425046,0.158684608547398,0,0.0217460222897591,0.145068894028103,0.157562732450089,0.155650666790335,0.0293120824247195,0.110415467326976,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0248005104940822,0,0.00812963873934044,-0.00545589345565289,-0.0067483626384892,4.33680868994202e-19,0,0.00890871839992206,0.0152585581794881,0,0.00376132328251724,-0.00300092809742775,0.00580673312246771,0,0,0,0,0,0
CVIX.Index,-0.110017079013132,0,0,-0.0258832306321749,0.0137285821041973,0,0,0.0869673309945313,0,0,0.0188271797737974,0,0,0,0,0,0,0,0,0.0403698475986655
DXY.Curncy,0,0,-0.00120056216689195,0.00124688060748691,0,-0.0127882768152037,0,0.0103918267687042,-0.00500457288605963,0.00641249337887413,0.00170938201048003,-0.0086244154916585,0.00641133011805945,0,0,0,0,0,0,0.0125582263172606
SPX.Index,0,0,0.0115148283119489,0.00445535029637549,-0.0012385727648355,0.00220930637374135,-0.00603085987747711,0.000308794109573317,0,0.00665597499728262,-0.00596005704603329,0,-0.0161877080284259,0,0,0,0.020957781962824,0,0,-0.0625055877889485
VIX.Index,-0.349234478565262,0,0,-0.05930890856176,-0.00490514661470612,-0.0139363160382022,0,0.205209955562881,-0.0430669685563501,0.0505492585022972,-0.0785092898236235,0,-0.00640981838604283,0,-6.93889390390723e-18,0,0,0,-3.04562125642286,0
