,BTC,ETH,BNB,DOT,ADA,XRP,LTC,LINK,BCH,XLM,UNI,DOGE,WBTC,XEM,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0.00165873777733552,0.897205650976945,0,0,0,0,0,0,-0.00193273902774704
ETH,0,0,0.060786798418638,0,0,0,0.104654213523028,0.0166056564360914,0.22103746659956,0.0439041535357828,0.132800476741128,0.0247965983228234,0.142569885806126,0,0,0,0,0,0,0
BNB,0,0.0763734625910266,0,0.0603108275726323,0,0,0,0,0.0816798011610886,0.0702859714956324,0,0,0,-0.0742042349930749,0.360783441996863,0,0,0,0,0
DOT,0,0,0.0623848833153975,0,0.0785928891696989,-0.0411971070241319,0.0349623364635836,0,0.230717552037353,0,0.035450235647076,0.0228514702728665,0.123112586866066,0.0148912391772466,0,0,0,0,0,-0.174672208366091
ADA,0,0.230174720639355,0,0.0342018547823902,0,-0.0590566289320348,0,0.0229183864158293,0,0.307097850824914,0.127284328018238,0.0505562775959535,0,0.156533178616083,0,0,0,0,0,0
XRP,0,0,0,0,-0.688010432098038,0,0,0,0.166576287467642,0.46044258436858,0.156528127838467,0.0504868023351221,0,0.280766682333116,0,0,0,0,0,0
LTC,0,0.236814190905116,0,0.0498857728799844,0.0830631122894376,0,0,0,0.151874814498179,0.0327175103655074,0,0,0.218649563873475,0.0446834976430199,0.0420908611346461,0,0,0,0,-0.0137900409501348
LINK,0,0.166548948941497,0.0036749451946098,0.0226796383237852,0,0,0,0,0,0.181876371011171,0.136542269893919,0,0,0,0,0,0,0,0,-0.0193814071277555
BCH,0,0.28785173146959,0,0.0450862811258585,4.33680868994202e-19,0.0383724706496576,0.569015321632102,0.0740389754068628,0,0,0.0265722552324754,0.00443223551319078,0,0,0,0,0,0,0,-0.000842011071038331
XLM,0,0,0.0667945334034813,0.0584125650564356,0.232554511436051,0.130104166016277,0.0299590948837427,0.164895422133198,0.0940097945774587,0,0,0.0160370406022981,0,0.0932366454421919,0,0,0,0,0,0
UNI,0,0.299170727263028,-0.0581339363165304,0.248690602619471,0.0846162300250836,0,0,0.356962558597006,0.000421061427243644,-0.0623784250028091,0,0.00211440562026122,0,0,-0.012466174282209,0,0,0,0,0.339306306174672
DOGE,0,0,-0.407933451040961,0.38882794600787,-0.186737677588744,0,0,0,0.426383123442258,0,0,0,0,0.0965935384250295,0.25138615927016,0,0,0,0,0.162248094384512
WBTC,0.909179922446886,0,0.00540890892889878,0.00792116976464239,0,0,0.0193981876590269,0,0.00179184091217009,0,0.00636938422705953,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.200115203032214,0.0654017423069054,0.0424401060739862,0.233543152458547,0,0.0742882839331071,-0.122421484786651,-0.0422078331400692,0,0,0.135028504934212,0,0,0,0,-0.111994316524206
OKB,0,0,0.488311593495258,0,0,0.0413040701833547,0,0,0,0,-0.0256105926602341,-0.0167516704009043,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.022655535285284,-0.0134969199270638,0,0.00439188203671579,0,0,0,0.0174725313962131,0.00571286280734232,0,-0.00103244613902237,0.0277268855288437,0,0,0,0,0,0,0
CVIX.Index,-0.118784109805526,-0.0353799016894031,-0.0215090577199933,-3.46944695195361e-18,0.0103418612709633,0.0187183502767658,0,0.0790856061635694,0.0103800366932117,0,0,0.0154145866688462,0,0,0,0,0,0,0,0.0463534620859181
DXY.Curncy,0,0,-0.00755762729519677,0.00652179595042473,-0.00550262323855496,0,0,0,0.00756217788738364,0,0,0.000641709690015955,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00898085458143655,-0.00153120225882893,0,-0.00850971071637886,0.00977255501696766,0,0,-0.00445508088976314,0,-0.00640239507951798,-0.000677964650828323,0,0.0321226700837941,0,0,-0.0788501078314788
VIX.Index,-0.107851798495916,-0.143837872654452,0,0,0,-0.00426548719724451,-0.378156491031935,0.122912715912291,0.171732548004747,0,0.0397970546505333,-0.0694340762909427,0,0,0.0866540085889873,0,0,0,-2.8265672073535,0
