,BTC,ETH,BNB,ADA,DOT,XRP,UNI,LTC,THETA,LINK,BCH,XLM,WBTC,DOGE,LUNA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0920325995476712,0,0.00548373079888517,0,0,0,0,0,0,0.0726686472383687,0,0.57286858830577,0.0074356769971084,0.0283762986508247,0,0,0,0,0
ETH,0,0,0.0410143189681309,0,0,0,0.0927440702075192,0,0.0402533241244293,0.176543638194349,0,0.0694144381524843,0.232066539477549,0.0030579652057977,0,0,0,0,0,-0.027180313525074
BNB,0,0.442670005771901,0,0,0,0.258808371070051,-0.242060501959706,0,0.0654278513653963,0,0.0799825703415542,0,0,0.037355837228846,-0.0326387995931447,0,0,0,0,0.0839832480568638
ADA,0,0.308365846336214,0.0859733854089531,0,0.220192966416623,-0.104595822354384,0.0434336686353156,0,0,0.140321520326982,0,0,0,0.0710272864619939,-0.00941561623582229,0,0,0,0,0
DOT,0,0.0348237200383079,0,0.0546930871328784,0,0,0.02507292298273,0.0157257295375917,0.0849670643413303,3.46944695195361e-18,0,0.247799899559647,0,0,0.0389595433694936,0,0,0,0,-0.0165619393145074
XRP,0,0,0.0467214974011302,-0.0573475314141446,0,0,0,0.154587147007524,0,0.175926772812679,0.125690722872244,0.287751330670247,0,0,0,0,0,0,0,0
UNI,0,0.122668365589242,-0.148110299491767,0,0.465115156826569,0.126294683253838,0,-0.171501043439021,0,0.177809784396842,0,0.248038280966399,0,-0.11122607551209,0.0336428594048251,0,0,0,0,0.129169557476576
LTC,0,0,0,0,0.132610958850298,0,0,0,0.141933098871384,0.0901080922694593,0.158295465438261,0.235043105509877,0,0,0,0,0,0,0,0
THETA,0,0,0,0,0.367817715787998,0.0742279981128294,0,0,0,0,0.180490433537856,0,0,-0.00922150845280314,0.0781632155401268,0,0,0,0,0
LINK,0,0.285158300309252,0.130045401199143,0,0,0,0,0,0,0,0.279581107340286,0,0,0,0.0165449809614044,0,0,0,0,0
BCH,0,0.277241791567963,0,0,0,0,0,0.233065127495182,0.165372085094226,0.0531988414752327,0,0.184973885630728,0,0.0142150404982571,0,0,0,0,0,-0.0125094489445102
XLM,0,0,0,0.123498521753406,0,0.0950268386259438,0,0.198304285947126,0.11526166434592,0.301534233853374,0,0,0,0.0148171612006465,0.0094691565092331,0,0,0,0,0
WBTC,0.725538234174049,0.0870012290810066,0.0103099605742416,0,0,0,0,0.0351880324327061,0,0,0.0265096355239736,0,0,0,0.00177126310697874,0,0,0,0,0
DOGE,0,0,-0.0620357622103421,0,0,0,0,0,0.257802674390833,0,0,0,0,0,0,0,0,0,0,0
LUNA,0,0,0.126173707597212,0,-0.232295387759469,-0.180585401925757,0.238039629078355,0.314858329684416,-0.110860864592903,0.0359301030281708,0,0,0.0122753496602624,0,0,0,0,0,0,-0.1086056495124
BV010082.Index,0,0,-0.00252260428644173,-0.0121859775580506,0,-0.003941837255642,0,0,0,0,0.0154257607335532,0,0,-0.0025226299771622,-1.0842021724855e-19,0,0,0,0,0
CVIX.Index,0,0,-0.0122787131607923,0.044759476978904,0,0,0,0,-0.13324658787763,-0.0328065861260408,0,0,0,-0.0195130843559802,0,0,0,0,0,-0.0141371270354224
DXY.Curncy,0,0.0172482790302114,-0.0125988032110034,-0.00975522610490033,0.00735283867769862,0,0.0012101447994944,0,-0.011942318918827,-0.00587707268081506,0.0069325890448746,0.0127753066160645,0,-0.00131291572919387,0,0,0,0,0,0.00497414284259431
SPX.Index,-0.011447578627859,0,0.00432711259511932,0.0113787498513344,-0.00103829335448016,-0.00876056062486326,0.000551343902525601,-0.0163442800284994,-0.00980103748622343,0,0.0104438460139933,0,0,-0.0126914399359576,0.00721840339306404,0.198205786834379,-0.020080464349895,0,0,-0.0943098705618082
VIX.Index,0,-0.0297778407525853,0.107385671203488,0.0359058653756151,-0.308073382332876,0,0.146080192578285,-0.0663605146125852,0.0683396312693476,0,0,-0.181110287648209,0,-0.0200855714982761,-0.0312539121047336,0,0,0,-5.76887938075302,0
