,BTC,ETH,BNB,XRP,DOGE,ADA,DOT,BCH,LTC,LINK,UNI,XLM,ETC,VET,SOL,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.130424429532266,0.117460896071654,0,0,0.0671239914213836,0.0761407275496125,0.0763144936108214,0.0392129963597075,0,0,0.0547012405849375,-0.00561862588188257,0,0,0,0,0,0,0
ETH,0.0556128434462696,0,0.125204206380357,0.00606632627540803,-0.0386831726308366,0.122068232235035,0.00880213712214819,0.13240304931379,0,0.107572231942046,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,-0.0490969285332657,0,0,0.165946967282367,0.0142793604187133,0,0,0.18632234579594,0.393758585536807,-0.0564203205973841,0.0790837137834256,0.0825245604729693,0,0,0,0,0
XRP,0.596253117839268,0,0.00969015420753933,0,0,0,0.32906676470612,0,0,0.223450364221513,0,0.251061836842815,-0.105373698658326,0.0135567440626591,0,0,0,0,0,0
DOGE,0,-0.171522584278392,0,0.0554725389212725,0,-0.208317612051887,0,0.874842640508225,0,0,0.268837256225607,-0.174020596715448,-0.105473956004531,0,0.0184965707982877,0,0,0,0,-0.499067745970791
ADA,0.00280971204203225,0,0.256394111302395,0,-0.0473125675828923,0,0.0331376364331656,0.174992899966595,0,0.337467741560168,0,0,0,0.0238353205993632,0.0269202170729996,0,0,0,0,0
DOT,0.268748950998788,0.208851870227701,0,0.0381109127713858,0,0.227868733254043,0,0.00958155814442779,0,0.060692185422201,0.062915955449432,0.142950013207691,0.0825801321186156,0,-0.0425529103195423,0,0,0,0,-0.102355631125488
BCH,0,0.373127888386905,0.0249799407224481,0.127309436469057,0.0184550242211583,0.129227417611088,0,0,0.101913547462352,0,0,0.127902943864302,0.0486787192441435,0.0128204991666386,0,0,0,0,0,0
LTC,0,1.73472347597681e-18,0.00660370041709465,0.0950463703215982,0.0558347783146825,0,0.199391598636881,0.261315932029132,0,0.0745272992735429,0,0,0.0464981661482845,-0.00968777256723372,-0.116264557340175,0,0,0,0,0.117913173635695
LINK,0,0.262750266888219,0.101211093698658,0.0545574541664059,0,0,0.149418388228963,0.0999949830662522,-6.93889390390723e-18,0,0.121870447891638,0,0,0.111450734010808,0,0,0,0,0,-0.0377765739803483
UNI,0,0,0.13711458739857,0.00961500851072659,0,0,0.0233736808958051,0,0,0.294874801948629,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.394394379862316,-0.0167601618480989,0.104510329285159,0.163866612199296,0.0680110124133946,0,0,0,0,0.0139111933707652,0.0819329619576879,0,0,0,0,0,0
ETC,0,0.191224758345954,0.0198546936554123,0.0754289033163793,0.0120385441229853,-0.129754734655965,0,0.806797454803951,0,-0.118062068652274,0.0703988180897892,0,0,0,0,0,0,0,0,-0.152125273705185
VET,0.176831413532686,0,0.0511114006623854,0.228376250023139,0.162131005749559,-0.258996601224207,0.310897440642336,0,0,0,-0.100320276368491,0.331078139621395,0,0,-0.13056400712147,0,0,0,0,-0.142603700167398
SOL,0,0,0.32697342916462,0,0,0,0,0,-0.115156436160702,0,0,-0.0420938786646939,0,-0.0727331376541421,0,0,0,0,0,0
BV010082.Index,0,0,-0.00400814528638249,-0.0169210854010589,0,-0.00794392081764477,0,0,0.0266063978427738,0,-0.000589054805455333,0.00445361479337246,-0.00510541427781504,0.00813125600634754,-0.00318909890060574,0,0,0,0,0
CVIX.Index,0,0,-0.017948437817099,0.020362882455537,-0.00618536412359068,0.0329219006800478,0,0,0,0,-0.107756457436468,-0.0314853202001071,0.0245542252831418,0,-0.0205554260019664,0,0,0,0,0.0375388047319843
DXY.Curncy,-0.000486345612039051,0.00674543199506262,-0.0159981731689997,-0.000756857410587142,-0.00961476947006121,-0.0147712142119616,0.0116469852324856,0.0215792274250902,0,0,0.00556666609427883,-0.0177123072420554,0,0,0,0,0,0,0,0.0135929163205066
SPX.Index,0,0,0,0,0,0.00217384102370624,0,-0.00437703716957022,0,0,0,0.00951812767302823,0,0.011125108435626,0.00945093468699935,0,0,0,0,-0.0880578871320545
VIX.Index,0,0.36639253406473,-0.13266674467088,0,-0.100563501428383,0,-0.136665859496616,0.0641219600804697,0,0,0.0975823859528291,-0.0783859117834807,0.0510739199794158,0.249844137124455,0.0693007993430103,0,0,0,-2.33021923686469,0
