,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.724504147055494,0.0594936109021566,0,0,1.0842021724855e-19,0.00976248355424447,0,0.0339621703007074,0,0,0
XRP,0,0,0,0,0.413385099569614,0.524050659286518,8.67361737988404e-19,-0.142909797253868,0,0.325077135404209,0,0,0
LTC,0.748977251962132,-0.0770847912579889,0,-0.0215696099100147,0.253305782290029,0,0,0.0604184387552449,0,0.194035048922215,0,0,-0.0537300791270342
DASH,0.931228330096423,0,-1.50479418028258,0,0.574315966829247,1.35857830509649,-0.139851813521795,3.46944695195361e-18,1.03972048081321,-0.295407556798177,0,0,0
XLM,-0.799723955048351,0.1836192236001,1.7801933183123,0.215532635321593,0,0.215570367623443,8.67361737988404e-19,-0.383558018480953,-0.486722817337752,-0.256253865876425,0,0,0.0860790073384807
DOGE,0,0.0835402763594708,0.25744837827535,0.102770586641217,0.103897354393235,0,-0.0836800565813748,0.150767804961245,-0.309734951006708,-0.0355486554256501,0,0,0.161015593959502
XMR,0,0,0,0,0.612756916019322,0,0,0.151872036134157,0,-0.216297007345732,0,0,0
DGB,0.287697131970782,-0.203755083372949,0,-0.206132667398388,-0.499515740347307,2.19030358335123,0.227620630225475,0,0,0,0,0,-0.109831502817662
BV010082.Index,-0.275298598692587,-0.00368813225551145,0.24823556727372,0.195260476202111,-0.246077311417721,-0.421844129434358,0.026465523636394,0.0843544515235033,0,0,1.69959866639733,1.88530824506216,0.34338962264039
CVIX.Index,0,0,0,-0.0770632441092957,0,0,0,0,0,0,0,0,0.301399083031069
DXY.Curncy,0.0287353531565705,0,0,-0.0200086159471102,0.00386516226473971,0,-0.00351167647985101,0.00783641710195416,0.123706953420239,0.0506102039171506,0,-0.421316796459958,0
SPX.Index,0,-0.0048602782077973,0,-0.0131071354528467,0,0,0.0109647426118427,0,0,0,0,0,-0.131387308467056
VIX.Index,0.297665360560723,0,-0.182504477934517,-0.23923310193245,0,0.447298330916409,0.037064136110318,-0.120317581121818,0.979385596596975,0,0,-3.88437297622911,0
