,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0489105480128868,0.290893186088597,0,0,0.0565732556414084,0.0464334905693869,0.163488098975539,0,0,0,0,0
XRP,0,0,0.0602858771897204,0.0356986533158065,0,0.156638407558473,-0.0934557887933673,0.12643947793581,0.140850929695442,0,-0.450869838997845,0,0,0
LTC,3.5649388361405,0.13395620335523,0,-1.72877153853007,0.466581508795992,0,0,-0.0628722959359276,-0.013622781885678,-1.61130821990506,4.20457791307783,0,0,0.344830025980809
DASH,1.43704257979436,0,-0.0506412376420859,0,0.0714165669308993,0.11528426617253,-0.209101592596155,-0.150874696347983,0.149887799771824,0,0,1.83875654185815,0,0.229859665656948
DOGE,0,0.290171882712013,0.167025039261958,0.578326225468756,0,-0.0231818090399427,-0.0148949756320082,0,0,0,-0.0460282501114939,-1.63541099244171,0,0.000251042072749566
XLM,0,0,0,0,0.336795607625834,0,0,0,0.252435693149116,0,0,0,0,-0.0548089574161743
XMR,0.88097316273466,0,0.0500945154809544,0.149256518124623,-0.0806950813281902,-0.155578347359258,0,-0.0199871129098593,0,0.918778309760754,0,0,0,-0.0728461736565594
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288484018749124
DGB,-0.821763764111712,0.395347015317406,-0.0108928530645173,0.208897579664907,0,0.373656383986012,0.954370432351726,0.457609453836575,0,-1.57929614790275,0,0,0,0.0826773851590543
BV010082.Index,0,0,-0.0117716787187563,0,0,0,0.0234697029333385,0,0,0,0,0,0,-0.0593083795962574
CVIX.Index,0,0,0.0343227359651584,-0.127041044429797,0,0,0,0,0.0375854846247098,0,0,0,0,0.0924152202102117
DXY.Curncy,-0.183121287313409,0.0345316427263811,0.0181865249012909,0.103379026172101,-0.0704044616737989,0.0245914256310132,0.0258919569513313,0.00331459809243196,0.00169292372359255,0,0.0231790566833611,0,0,-0.035863260566668
SPX.Index,0,0,-0.00656069085234738,0,-0.00576827164123883,0.0173030714776457,0.0340619744387852,0.00567691253993052,-0.0155342077480277,0,0,0,0,-0.0639525945138971
VIX.Index,0,0,0.0310651063918421,0.34353609389889,-0.423064441631652,0.40787474972204,0.0179234588786314,0.0112777025329011,-0.0441070785179466,-0.947252588079508,0,0,-9.16931359986318,0
