,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0332049547042111,0.176642177807546,0.0396479653991337,0.0747907220257882,0,0.109990854576639,0.161057461070726,0,0.140916118227226,-0.145690425963121,0.555725195418919,0,0,-0.142333381964924
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605061150296773
LTC,0.191397762362757,-0.066276519384223,0,-0.0721633755388874,-0.441197851672244,0.694788649205141,0.118367038835547,0,0,0,0.375995060772972,0,0,0,0.0518641294254056
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,-0.0510932426351441,0,0.139542525818003,0,0,0.0429915595366649,0.110228911250784,-0.0465002517328448,-0.105048280701204,0.25263819809233,0,0,0,-0.0831248268205832
DOGE,0,0.106277023548585,0.424707442020594,-0.0646569482500115,0.261154246630337,0,0.0481330329903052,0.0665933340158706,0,0.0860203419180074,-0.201768772778254,0.345739384139392,0,0.671458289344995,0.0362120019855604
XLM,0,-0.0494344881478225,0.69468030072207,0,0.287142454320591,0,0,0.365891314167964,-0.237199052986182,-0.330107192162016,0,-0.777209205092259,0,0,0
XMR,1.51528001574998,-0.183775641169033,0,-0.0862733439620326,0,0.399764122959237,0,0,0,0,-0.383267550269055,-0.192138467211268,0,0,0.14277932062726
XEM,0,0.0964120796600717,0.477857368681175,0.338574222650126,-2.02193042171414,0,-0.69860749233676,0,0,-0.133961324435479,1.16983594893641,0,12.268974323817,0,-0.418089749479902
DGB,0,-0.223938963823927,0.664473409149267,0.118071184928634,-0.188127552143149,0,-0.132983364997721,0.432162280236571,-0.099607274038128,0,0,-1.57068079257683,0,0,0.0949217404283176
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,-0.0275025746424746,0,0,-0.0874713863258582,0,-0.0382515822646123,0,0.00179601992623246,-0.0701131759350449,0,0,0,0,0.183891831099504
DXY.Curncy,0,-0.00790710506796905,0.00202006353084978,0.0269523614986972,-0.0768485201021372,0,0.0138726238879972,0.03206469551287,0,0.0014233006165687,0,-0.0233649551249326,0,0,-0.0175401001068125
SPX.Index,0,0.00411810423550569,0,0.0227226809649636,0.020169502241354,0.0685121365564709,0.000143871941646109,0,0.0371304989630996,0,0.0654476177863043,-0.0626553872807185,0,0,-0.148687325948868
VIX.Index,-0.692363278839216,0.26026920885922,0.315013606229435,0.223254162148111,-0.639970610714429,0,-0.102036076277787,0.662806346842146,0,0,0.509592314051949,0.0312969567290968,0,-4.37442084933689,0
