,BTC,LTC,XRP,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0103855115649785,0.238393915829245,0,0.0914926511155855,0,0,0.289446462037794,-0.062244940832594,0.133308645241941,0,0,0,0,-0.0500375244432196
LTC,0.0360115373734905,0,0.571940631718392,3.46944695195361e-18,0.0729389144427043,0.261983656937992,0,0,-0.0183575174601876,0.132979687000267,0,0,0,0,0
XRP,0.825324223544298,0.34222625771775,0,0,0.0698685340553196,0.164810757905733,0.520727148023677,-0.564445956637935,0.0783861545137776,-0.377676353092879,-1.61138226407082,0.0737967043418755,0,0,0.115985649768825
ETH,0,0,0,0,0,0.727816732532525,0,-0.278951697923836,0.281434080475618,0,0,0,0,0,0
DASH,0,0.577137255525468,-0.391158260001262,0,0,0.371538291131975,-0.12733229724693,0,-0.0656709195028479,0,0,0,0,0,-0.0386793516947653
DOGE,0,0.461607058471887,0,0.0516067806284023,0,0,0.0750187226921109,0.254930291842139,0.00600690875996142,0.162516564951934,0,0,0,0,0.0146756565234496
XLM,-0.714316465042342,0.736759981760572,0.542413600268883,-0.0245532831887251,-0.516188988951408,-0.476487615087269,0,0.436099984961598,0.0669368013415629,0.109368446131372,0.544476365588655,-1.43979060501001,6.24205583011332,-1.56248514561775,0
XMR,0.644848864461412,-0.044218697125889,-0.297578671477705,0.114342385687195,0.239983028746314,0,0.918674208949214,0,0,0,-1.31276042189996,0,0,0,0
DGB,0,0,0.379693757422071,0.407047461853971,0,0,0,0,0,0.801332392393197,0,0,0,0,0
XEM,1.2990334277454,0,-1.31750054576847,-0.193612955023572,0.553011132916765,1.02000307575987,1.23912955294372,-1.16299017849415,0.30259224986678,0,-2.33669141667202,0,2.68289821734919,-1.0372828501095,-6.93889390390723e-18
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.138697156789699,0.0201780569342108,0,-0.0705505811381291,-0.27606078731088,0,0.0159156209607523,-0.0666593547812657,0,0,0,0,-0.121531937660047
DXY.Curncy,0,0,-0.00577456983660175,0.00550734739217137,0.00108046098390656,0,0,0.00776027597240122,-0.00530544104884657,0.00793221778171576,0,0.10261396638187,0,0,-0.0144083942544613
SPX.Index,-0.00741364746067927,0.022405932576916,0,-0.00155475993143154,0,0,0,0,0,0,0,0,0,0,-0.0860303836603525
VIX.Index,0,0.207715272181097,0,0.048079925033055,-0.208058002497635,0,0,-0.0743910302484943,-0.0123827095328687,0,0,-0.330950349695629,0,-6.337202387372,0
