,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0381632770255843,-0.0434246128284791,0.678448531895709,-0.0542142204193522,0.0815366065480376,-0.0364359522598058,0.0754231362248278,0,0,0,0,0,0,0
ETH,0,0,0,-0.45597461359933,0,-0.826982515992018,-1.22426529824167,0.46199739799403,0.526421191541294,0.129007930452109,0,2.32449322793878,0,0,0.361433728138681
XRP,0,0.0242706404803193,0,0,0,0.305252813412996,0,0.136434944419258,0,-0.0629730667411114,0,0.178884002376494,0,0,0
LTC,0.616013943633719,-0.00903635003840966,0.0248021730773633,0,0,0,0.00487273572320937,-0.00505039555906486,-4.33680868994202e-19,0.00405027814347152,0,0.0315944659586697,0,0,9.20173755092205e-05
DOGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.71375615695665,-0.312822638905423,0,0,0.159468150049812,0,-0.508197784441821,0,0.331154467172075,0.232671694544216,0,0,0,0,0.575349628816617
XLM,0,-0.283257197471911,-0.269256634288773,0.273849020288629,0.546287372677525,-0.689589389728171,0,0.413304297895172,0.2238485752132,0.235946531823948,0,0.163419915367201,0,0,0.565943328486153
XMR,1.18345937612664,0.175255859981325,0.232524146201707,0,-0.019374407987118,-0.228909580558073,1.03650959965053,0,3.46944695195361e-18,0.052047321668972,0,0,0,0,-0.435445443440181
XEM,0,0,0.3237439031332,0,0,0.105694744099027,0,0.160314575538388,0,0.284693319856312,0,0,0,0,0
DGB,0,0,0,0,0,0,0.939558597182096,-0.697050018354332,0,0,0,0,0,0,-0.223153890796695
BV010082.Index,0,-0.00659813178734696,0,0,-0.0482428841495008,0,0,0.013662679433493,0.00761857438748837,-0.0216422780141192,0,0,0,0,-0.188697639141578
CVIX.Index,0,0.0741332237265296,0.0737838122943131,0.132663116040489,0.244272067700341,0.119552211015227,0.176440461821076,-0.0646529297174173,-0.086062032549577,0.019233861607984,0,0,0,-1.66681511621718,-0.384395785124588
DXY.Curncy,-0.11676142743473,-0.0225696637685831,-0.0414402431068307,0,-0.0901538801687997,-0.0128212219010691,-0.0483118812531373,0.019234475871985,-0.00595971596232044,0,0,0,0,0,0.0231728090880138
SPX.Index,0.311008922515132,0.00382870866543045,-0.0307207967604645,-0.252870506414081,-0.0285357511413554,0,-0.0164675890801412,0,-0.0126124125389419,0.00987857231807824,0,-0.0196394960206321,0,0,-0.134383185454561
VIX.Index,0.603746249342732,0,0.103727594599263,-0.806070067235515,0.0936960416297705,-0.0174165458968359,0.0257537832996504,-0.0577830297777399,-0.0532440002506733,0.032700568327659,-0.677388487499,-0.108293818093059,0.176383439730794,-3.7479581682914,0
