,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0414768155086172,0,0.725975909802642,-0.0523271163147424,0.0830578526340775,0.0696580598044712,0.0836741620858957,0,-0.0432136837143227,0,0,0,0,0.0320648093873357
ETH,-0.802828517678083,0,-1.95548145714583,-1.85632796520555,0,-0.134767437100117,0.547529486945132,-1.01076786978558,1.12541277711182,-0.347886638973589,0,2.16600899755776,0,0,0.997166911641106
XRP,0.133893205229752,-0.0307590449175063,0,0,0.277010249950592,0.138869418137251,0.158639814309639,-0.136124763679739,0,-0.035882403686394,0,0.414166734362074,0,0,0
LTC,0.436757131529,-0.0196884350688219,0.0107337646361314,0,0,0,0,0,0.00813484342142006,0.00391742320775515,0,0,0,0,0
DOGE,0,0,0,0,0,0.0463951127598169,0.0981281866270381,-0.0301743396275858,0.0419363678810333,0.0443414588550683,0,0,0,0,0.0992492728736736
DASH,1.25913459126326,-0.195048399664303,0.457094315985161,-0.983966781141519,-0.970197104407413,0,-0.0358678115226565,-0.484263802394154,0.392820355550214,0.272779284519369,0.414367566248404,-0.913854256555307,0,-6.42034817689214,-2.77555756156289e-17
XMR,0.542105850730268,0.0459041442093425,1.21492528212408,0,0,-0.347441125600874,0,0.921434802008235,0,0.0195694058913898,0,0,0,0,-0.228876480172134
XLM,0,-0.233453421068044,0,0,0,-0.617872672376609,0.411987635443894,0,0.309291936207029,0.20296798123328,0,0,0,0,0.838669477428475
XEM,0,0.373032657418608,0.249519876173749,0,0.195693583812297,0.789456987585684,-0.144970643839328,0.559181614090718,0,0.123083596997677,0,0,0,0,-0.825027070163225
DGB,0,0,0,0,0,0,-0.58227298120133,0.946066463322991,0.3406313361114,0,0,0,0,0,0
BV010082.Index,0,-0.015991687478674,0,0,-0.259157414528234,0,0.0421626375932342,-0.0307220538380342,0.0429634662993968,-0.0279062166699921,0,0,0,0,-0.0721061383265391
CVIX.Index,0,0,0,0,0.183345975943542,0.0722709253846441,0.000930730352677506,0.0879540600294048,0.0242292470469903,0.000406443247755961,0.297142338943976,0,0,0,0.179508299276935
DXY.Curncy,0,-0.0108938029417009,0,-0.105773400449246,0,0.0135162342883515,0.00848094439562656,-0.0264455734392779,0.00614642812051292,-0.00418631655603101,0.0228038070556154,0.0325423820878062,0,0,8.67361737988404e-19
SPX.Index,0,-0.00339672370928958,0,-0.0621950623511511,-0.0520146009226479,-0.0353232694138065,0,-0.0175316850331345,0,0.0161619014006692,0,-0.0684959836488455,0,0,-0.1107440555263
VIX.Index,1.20322874160541,0.116980581718833,0.226733837466025,-1.27238158042893,-0.175213945442625,0,-0.119766080869909,0.129512840367439,-0.156043411850002,0.0898840182104146,0.593656755877266,-0.484156355287502,-0.415682951681845,-4.73778570807228,0
