,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0755851177729426,0,0.165958703773733,0,0.0804054764117534,0.378673224239868,0.154177257605289,0.0118337909159253,0,-0.184424438963973,0,0.0575399419239084,0,0.0646888126481562,0,0,0
ETH,0,0,0,0,0,0.0821830720859067,0.258554775370864,0.0490072717961902,0,0,-0.290902342215035,0,0,0,-0.0908360999592645,0,0,-0.0199786641689803
XRP,0,0.0742677523650199,0,0,0,-0.223258655249398,0,0.0274323704056534,0.396920622643075,0.180851168420716,0,-0.174688785616739,0,0,0,0,0,0.179739569272586
LTC,0.366563133774481,0.0527066651179949,0,0,0.0927663459352669,0,0.0773913500784507,0.00621965466596427,0.060459341649418,0,0,0,0.0644867343766419,0,0.026871849836718,0,0,0
XMR,-0.66584247369728,0.407668116981631,-0.284240895135784,1.84790764845864,0,-0.111162388056016,0.0344601944908254,-0.136743523806841,0,0,0,-0.113941507635629,-0.112626973261263,-0.50067027097388,0.260867607421753,0,0,0
DASH,0,0.455160870366131,0,0,0.102161043487074,0,0,0.0945742410377738,0,0.14445778670276,0,0,0,0,0,0,0,0
ETC,1.24630786804408,0.263306083000181,0,0,0.00981748291184737,0.194748702405306,0,-0.185445403636054,0.10370537431201,0,0.357414259422753,0,0.0215327594959877,0,0,0,0,-0.0332247229815387
XEM,1.08632870971307,0,0,0,0,0,-0.642756860014269,0,1.73472347597681e-18,0.791830374109768,0,0.0168534076789609,0,0,-0.0395001985922408,0,0,0
DOGE,0,0,0.776571284641769,0,-6.93889390390723e-18,0.0727300956114418,0.113246468222257,1.73472347597681e-18,0,-0.219475838517911,0.208263824383501,-0.0767511739533234,0.131020041242416,0.638938072171431,0,0,0,0.0783834321480468
ZEC,0,0.332373631292945,0.305592956387443,0,0.348182549525834,0.201066910388853,0.0506131741455043,0.0461807995069812,0,0,0,0,0.121287412499489,0.238326348090359,-0.0963352042780296,0,0,0.0203895801300277
XLM,0,0,0.0560088531040862,0,0,0,0.0217498594310433,0,0,0.353582613600787,0,-0.0811932372328956,0,0,-0.14837273310176,0,0,-0.0331011371918314
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.105281152272148,-0.0468251493745577,0,0,-0.21195440421958,0,0.277107962691406,0,0.40513261848444,0,0,0.134292503295652,0,0,0,0,0,0.187286617670923
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0.190174972736167,0,0,0,0,0,-0.0376918306494309,0,-0.25375609783792,0,-0.0523904687739194,0,0,0,0,0,0.134695785411543
DXY.Curncy,-0.0198069118491388,0.0234295993653036,-0.0645225117205194,0,-0.0311663709934188,0.0171439851275754,0,-5.42101086242752e-20,0,-0.0155471580187769,0.0398707190482197,-0.00241154597087936,0,0.0899978614668865,0.049959724032081,0,0,-0.017925999492487
SPX.Index,0,0.000395277336442402,-0.00852960392068224,0,0,0.00554949229433875,0,0,0,0,0,0,0,0.0567250351228018,-0.00328310226246312,0,0,-0.0116390811467261
VIX.Index,0,0,0,0,0,-0.158985399783416,0,0,0,0,0,0,0,0,0,0,0,0
