,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0758722326523807,0.125377614603093,-0.00746520488058915,-0.0294331449816484,0,0,0,-0.162347805477832,0,0,0.0620393889492163,0,-0.160176998257146,0,0,0
ETH,0.14148216679808,0,-0.281454891923318,-0.0225849536784879,0.480028016827918,-0.148061487725597,0.169745640061746,1.10699557375726,0,0,0.0440352102184741,-0.218719218001943,-0.0552612815626978,0,-0.38274920597275,0,0,-0.123717993351011
XRP,0,0.306797111633552,0,0.183672185252439,0.231339625859124,0,-0.369056314329405,0,0,0.0426995109833465,0,-0.282656636025953,-0.0233981931655913,0,-0.321026786077847,0,0,-0.262267533663811
LTC,0.765229380792169,-0.804055284843625,0,0,0.881404921065081,0,0.505311987758899,2.41277413084025,-0.585252250281835,0.595105570815763,0.264222104065698,0,-0.380490128371408,0,0.0726873355618535,0,0,0.0164582151020478
DASH,-0.00753048023838325,0.886719741458139,0.203753639466638,0.0755878849861788,0,0,-0.130535519060018,-0.664940685092371,0,-0.217754431431025,0.458079624537611,0.0363952550337126,-0.062044431274301,0,0.139374799483848,0,0,0
XEM,0,-0.915821332469483,-0.919665208829287,-0.225193802112201,1.33848957607534,0,0.217993447191167,1.64541931265392,0.678236447624829,0,-0.300026862506097,-0.241756004184251,0,0,-1.25279157153358,0,0,-0.633813602219686
ETC,0,0.427744596340807,-0.44742129873211,0.195340936704015,0.13790775594856,0,0,-4.33680868994202e-19,0,0,-0.0419749443730976,-0.0232003767043832,-0.0160615932982149,0,-0.645732363610002,0,0,-0.188949361382059
XMR,0,0.426392618618934,0.346448592025763,0.0397126358053619,-0.398402907431264,0.125991752219616,0,0,-0.141410399170763,0.037748620204016,0,0.349011349992881,0.0656747993910326,0,0.257446741488439,0,0,0.121685695111077
ZEC,0,0.162988877841663,0.177937156556453,0,-0.22019792883135,0.172338969441292,0.105300076774657,0.26982005435823,0,-0.0932110212842833,0.23146121299063,0.249819039788553,0,0,0.0716073705728659,0,0,4.33680868994202e-19
DOGE,-0.546753716730099,0,-0.415840646272298,0.661948870226075,0,0,-0.102284294726111,0,0,0,0,0,0.223332145317168,0,-0.505374842464251,0,0,-0.396222756870127
XLM,0,0,0.00766819942163169,0.226210170187295,0.390333716002523,0.0713963819815971,0,0,0.521024155332375,0,0,0,0.0450925308167486,0,0,0,0,-8.67361737988404e-19
NEO,0.414779071683938,-0.48462853963147,-0.350303081944699,0,0.799433639400674,0,1.73472347597681e-18,0.0613680838363871,0.215351741218013,0.0371197968083244,-0.3043992321847,0,-0.0411025235984856,0.741120126595796,0,0,0,-0.128564122992482
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-1.0842021724855e-19,0.0857712080366616,-0.0104011791725331,-0.0516435062423157,-0.0460808969594789,0,0,0,0,0,0,0.015231559622759,0,0,0,0,-0.114372901467897
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0204801462954956,0.0396701058427741,0,-0.0389300945649735,-0.00988891199213322,0,0,0.00357072024363946,0,0,-0.00115516860453938,0.00534783059421212,0,0,0,0,0.023091609515975
SPX.Index,0,0.0204380282327537,0.0291026798957549,0,-0.0180325038182407,0.0110241552102802,0,0.0174765071090303,-0.0384173538405659,0,0.0116565335432622,0,0,0,-0.00946528582576907,0,0,-0.0376555240550516
VIX.Index,0,0,0,0.129690512395379,0.519900126587544,-0.496755552338164,-0.401641415832923,0,0.532334517630545,-0.257933142732664,-0.11091357157146,-0.0240244182644626,0.208675114395468,-3.84380950553939,-1.20921761829465,0,0,0
