,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.189924037296745,0,0,0,0,0,0,0,0.06039285675047,0,0,0,0,0
ETH,0,0,-0.0303266791395046,0,0,0.00551600746881881,0.367069634270444,0,-0.0598867679196985,0.0147565120518253,0.048046306751311,0,0.0351611349127424,0,0,0,0,0.116117434122619
XRP,0,-0.201204771505294,0,0.0873682746005976,0,0,0,0.127041475984616,0.166994403287403,0,0,0.18463465459983,0.103434932929915,0,0,0,0,0
XEM,0,0.269477298617713,0.0454652663584248,0,0.224189585944373,0,0.0836057523865989,0.198235757361435,-0.0985552191598804,0.149771546025567,0,-0.019273902417387,0.0409740786047562,0,0,0,0,1.30497505019549
LTC,0.6850764898072,-0.273108972875583,-0.0568655207601544,0.0768446777659521,0,0.350088700787727,0,0.315658851869077,3.46944695195361e-18,0,-0.0710943203486041,0.00614809515902323,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,-0.0809558131661163,0.236680351049899,0,0,0,0,0
DASH,0.386282494490104,0.213641721583598,0.00432702926237972,0.111700354125855,0.076026374896901,0.170971555294237,0,0.130227191807844,0.0998855095687908,-0.115539532632848,0.172044406433982,0,0.0273441618058207,0,0,0,0,0
XMR,0,0.259151713368885,0,0.191161716089497,0.175966027070625,-0.116357397216425,0.599663293861322,0,0.0728195536504834,-0.0899218250338053,0,0.034551509482551,-0.216139253811926,0,0,0,0,0
XLM,0,0.246482304870994,0.507014296509382,0,-0.886548829014321,0.26019143157478,3.46944695195361e-18,0.720472248858346,0,0.170667542573831,-0.405738478521456,0.0299945922060647,0.148439039590419,0,0,0,0,0
DOGE,0,0,0,0.296484107581808,0,0,0,0,0.111232245762845,0,0.26327810110228,0,0.1025997638016,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0.155652176033306,0,0,0.0108100982534211,0,0,0,0,0
DGB,0,0,0.129857960802133,-0.208188647903543,-0.500092892072364,-0.0713659320828304,-0.773539992785494,0,-0.0257068822459005,0.907683695271477,-0.20340419887804,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.721098521411322,0,0,0,0,0.0551165381879209,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0280704752835175,0,0,0,0,0.0120453432225357,0,0,0,0.0301639601479005,0,0,0,0,-0.036232557972764
CVIX.Index,0.0741391224126344,0,0,0.0783158992958748,-0.115823173004162,0.0152318811247245,0.053881601501227,0.0326185188411113,0.00979503190779614,-0.0139256914763626,0,0.0336808174652854,0.0536430166720375,0,0,0,0,0.0936516709277512
DXY.Curncy,0,0,0.00272653483678012,-0.00206095696002638,-0.0130369061977915,0.0248180638808113,-0.00376295451419749,-0.000899091382773663,0.00597639089670504,-0.0086344227212844,0.00661106138479764,-0.00292099148253413,-0.00494952392423829,0,-0.0264467421570591,0,0,0
SPX.Index,0,0,0,-0.00539616088282442,-0.00246160144898419,0.00697879024094495,0,0,0.00302860560685319,-0.00549176200683349,0.00523774191677218,0.00410634976533244,0,0,0,0,0,-0.0349891222119568
VIX.Index,0,0,0.122121287177189,0,0,0,0,-0.135174016813089,0.0331986381814264,0,0,0,0.0151340930091141,0,0,0,0,0
