,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.193392890096537,0.374653329780057,0,8.67361737988404e-19,0,0,0,0,0.184515856437078,-0.130450111703693,0,0,0,0,0,0
ETH,0,0,0.307958365744212,0,0.129166071666828,0,0.253548221283381,0.111066976372027,0,0.108015517158744,0,0,0,0,0.0269287254260574,0,0,0,0,0
XRP,0,0.350314761769171,0,-0.267800262920197,0.328456935533202,0,0.208202381329401,0.0524654341700975,0,0,-0.144142301927115,-0.0551067121341565,0.146641521618111,0.040182203041659,0.0151815532668186,0,0,0,0,0
LTC,0,0,0,0,0,0,0.195680257703826,0,0,0.0874482335038331,0,0,0.189975616974264,0,0,0,0,0,0,0
XEM,0.31952246014277,0,0.392109229248497,-0.551739971427121,0,0.578224764228111,0,0.11185432411736,0.0110361084655173,0,0,0,-0.150918975348431,0.411660397890165,-0.18718364675878,0,0,0,0,0
DASH,0.161214633303902,0,0.247724361794007,0.435583045670738,0,0,0.0793583685475871,0.0333623879308008,0.197930396076989,0.0033187987999033,0.0822053217020788,-0.19626710689936,0,-0.0640847561333206,0.0964184821756443,0,0,0,0,0
ETC,0,0.395446566423183,0.0800115156626765,0.499783130733576,0.0876690407514385,0,0,-0.100608192276107,0.189296610988559,0.0529775001069863,-0.0337222317264729,0,-0.191922414831398,-0.0857371555482534,0,0,0,0,0,0
MIOTA,0.699901715795685,0,0,0.168743547580833,0,0,-0.0837460999913842,0,0,0.399536339590028,0,1.13676313704785,-0.648377009616601,0,0.128935069833055,0,0,0,0,0.520879365637315
XMR,0.011252113256515,0,0,0,0.116203007524132,0.420810216966025,0,0.0347468638165649,0,0,0,0,0.21511508457421,0.104232990458674,0.00282482702059613,0,0,0,0,0
EOS,-0.0885202117321712,0,-0.917004460843418,0,0.280033300538092,0,0.640012931637744,0.197387527851803,0,0,0,0.0462679262066872,0.71367285276567,0,0.129702560420813,0,0,0,0,0.0587544116309904
NEO,0,0,0,0,0,0.27026504802961,0,0.0534770049056829,0,0.0187363717171849,0,0.560622866041343,0,0.206448499590129,0,0,0,0,0,0
ZEC,-0.294356661836774,0,0,0,0,0,0.157078473301301,0.207308495276352,0,0,0.459325566024074,0,0,0,0.108776933280317,0,0,0,0,0
DOGE,0.302455654288776,0.0590470465040771,0.202657485723482,0,0,0,0,-0.0653309742047952,0.428218772599251,0,-0.0974279371546608,0.199087704863031,0,0.167906986362639,0,0,0,0,0,0
XLM,-0.172009045531732,0,0,0,0.157431690925367,0,0.163296170075014,-0.066408952307383,0.291418530261519,0.25090179000164,0,0,0,0,0.384090002132548,0,0,0,0,-0.70240596819116
DGB,0,-0.14314918359544,0.37116251605249,0,0,0,-0.29625494291963,-0.0209795208921824,0,0.124514011953736,0,0.876424791293763,0,0.468243440491812,0,0,0,0,0,0
BV010082.Index,-0.0526266821900521,0,-0.011484575728432,0,0,0,4.33680868994202e-19,0,0.0977491302038596,0,-0.0781166641209662,0.0602280732656127,0,-0.0163642220051298,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,-0.0236805259881571,0,0.0534366236943939,0,0.0870288448991678,0.0101816464943813,0,-0.0665223145613633,0,0,0,0,0
DXY.Curncy,0.0278579265216202,0.00426822829544991,0,0,-0.00671829747600064,0,0.015360273676208,0.00589993200045412,0.0101243327919158,0,-0.0401355077153511,0,0,-0.00376267168172724,0,0,0,0,0,0
SPX.Index,0.0151185334608189,0,0,0,-0.00421899049807308,0,-0.00247092651699429,0,0,-0.00225824511506785,0,0,0,0,0.00039162548294847,0,0,0,0,-0.0350517428140102
VIX.Index,0,0,-0.153336573559248,0,0.142938606456328,0,0.0940669232088544,0,0.0785750055836583,0.141064294327373,-0.105730458591506,0,0,-0.303517620349805,0.087405478036649,0,0,0,0,0
