,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.209306160263648,0,0.355729525025871,-0.296770974323364,0.561968340321045,0.00132087930446415,-0.162366654327977,0,0,0,-0.189131222135028,0.363620191064816,0,0,0,0,0
ETH,0,0,0.746999509776633,0,0,0,0.228042824648785,0,0.118972519968531,0,-0.00641135364629577,0.0477830992415793,0.0297917160812419,0,0,0,0,0,0,0
XRP,0,0.544639299832084,0,-0.146971608104498,-0.132628008389146,0.264812474525851,0,0.175899099892194,0,0,-0.0801547139764738,0,-0.122733308551461,0.101213278675782,0,0,0,0,0,0
BCH,0,0,-1.62147051582228,0,-1.49606132837432,0.519666842594022,0,1.1664548585208,0,-1.52538581018999,-0.561683029085574,0.76204280221346,1.3495897228962,0.318641895770312,0.523308024462432,0,0,0,0,-0.617200129070005
LTC,0,0,0,0,0,0,0.132679882524848,0,0,0,0.137794033515903,0.0059140446883037,0,0,0.247584445434712,0,0,0,0,0
XEM,0.633317998307273,0,0.146261572335688,0,0,0,0,0,0,0.0880111521911782,0,0,-0.14085024924948,0.558468644916196,0,0,0,0,0,0
ETC,0,0.32782497043943,0,0,0.305654480760327,0.0745899655655038,0,0,0,0.0158628640987943,0,0,0,0,0,0,0,0,0,0
DASH,0.213436977191835,0,0.366459032630625,0.0242411108802091,0.226585977933644,0,0.246689181803825,0,0.042629565775979,0.154251974851234,0.0398905675343357,0,0,-0.0470662810608591,-0.0920675910024963,0,0,0,0,-0.288752955676865
MIOTA,0.439583883840799,0.395080907027819,0,0.176187924994786,0.444547084952934,0,0,0,0,0,0.432970132529873,0,0.667865758198746,0,-0.768146015660981,0,0,0,0,0.927272762286649
XMR,-0.15313774970554,0,0,0.00684948989027454,0,-0.0161926750179659,0,0.752201832182708,0.00733476744108394,0,-0.0624965362580077,0.197868370551291,0,0.336047723263233,0,0,0,0,0,0
NEO,-0.155639168411389,-0.917264779768683,0.254985885150174,-0.0332837137989148,0.314732489840502,0.100583615563426,0,0.759387460186168,-6.93889390390723e-18,-0.820753544840679,0,0.284260256838864,0.883625799995425,0.323544893059743,0.492409585218045,0,0,0,0,0
EOS,0.0352055548234614,0,0,0,0,0,0.365729879840848,0,0.0972984564977387,0.038184347608666,0.0325963752466325,0,0,0,0.50037136476542,0,0,0,0,0
ZEC,0,0.325786098595041,0,0.0939128512433798,0,-0.095261297656397,0,0,0,0.257396990128371,0.08916535369092,0,0,0.0889812094560531,0.059751336984943,0,0,0,0,0
XLM,0,0,0.390833578995564,0.0469094997724649,0.354402042115789,0.22921439867155,0,-0.72792763565712,-0.39518818382412,0.89577329354752,0.486827406112286,-0.28798190941529,0.488693454432131,0,-0.255044297404476,0,0,0,0,-0.159455007776738
DOGE,0.154775807260888,0.368783610614817,0,0,0,0.0425991511495374,0.0623802556657257,0,-0.181432134712756,0.335504858168325,0.116585716067449,0.247691126588236,-0.0272497160729764,0,0,0,0,0,0,0
BV010082.Index,-0.0160020267720355,0,0,-5.68478671756166e-05,-0.0463915261292677,-0.0137081248221688,0.117020528266284,0,0.0569938687009737,0.0331475320664666,0,-0.143533263581918,-0.0175327981720276,-0.051238444505927,0.0819921609776542,0,0,0,0,-0.124225699955648
CVIX.Index,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.0217267831754962,0,0,0,-0.0468603483714872,0.0280566399991057,0,0,0,0,0.014099915346721
DXY.Curncy,0.030217614948546,0,0,0,0,-0.0143370986955734,0.0351041972887036,0,0.015690055610832,0,-0.016917546663419,-0.0190065153017208,-0.0167431097677174,-0.00619541182593716,0.00895919554135013,0.0102652304908647,-0.0363542926839805,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0.124118550649096,0,-0.00335653701749098,0,0,0,0,0.017632621073222,0,0,0,0,-0.137115269810223,0,0,0,0,0,0
