,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.124732162422845,0,0.0039993762033031,0.179689748556303,0,0,0,0,0,0,0.0709534222411782,0,0,0,0,0
ETH,0,0,-0.00344443688605315,-0.0118732481592689,0.123246696581699,0.0528810509943,0,0.208822770858797,0.0526242716671704,0,0,-3.46944695195361e-18,-0.19429481221623,0.108885201045454,0.159305577779931,0,0,0,0,0.117729355079614
BCH,0,0,0,0,0,0,0,0.166822742654063,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0213447866823715,0,0.172822767662277,0,0,0,0.289204716762546,-0.24004719975422,0,-0.499701976263986,0,0.965270849347985,-0.0112745100590162,0,0,0,0,0.0498717021725109
LTC,0,0,0,0,0,0,-0.0859946700166584,0,0,0.672568572676829,0,0,0,0,0.0577237338483989,0,0,0,0,0.165083573345952
XEM,0.328462135462046,0,-0.0870562599924677,0,0,0,0.0340768122717299,0,-0.29508291915566,-0.280370876409505,0.353668539949817,0.262631751946574,0,0.559089095025322,0.189751894984371,0,0,0,0,0.239066984678472
DASH,0,0,0.00328914527164957,0.080598056526381,-0.338494000881459,0,0,0.126033048871343,-0.0834940616128575,0.194992228876319,0,0.931381085832598,-0.309439471697027,-0.273591871633301,0,0,0,0,0,0
MIOTA,0,0.299712551076667,-0.124104545960679,-0.16081590005055,0,0,0.289384846043581,0,0.171364111487619,0,0.44531100497558,0,0,0,0.177049793862972,0,0,0,0,0.0438178631427884
XMR,0,-0.626915695707975,0,0.796077898157807,-0.100995430455459,-0.355252135423323,0.382126621757445,0,0,0,0,0.573703608920289,0,0,0,0,0,0,0,0.0737443231629792
ETC,0,0.19189733376793,-0.00411451023643604,0,0.380875778817983,0,0.0586648372096914,0.0209724566168128,0,0,0,0,0,0,0.0384586432681487,0,0,0,0,0
NEO,0,-0.184462505314308,0,0,0.405413288789154,0.520006041457246,0,0.139710524135328,0.110616955300165,0,0,-0.151611110255187,0,-0.399443787389142,-0.321593570693098,0,0,0,0,-0.24987440613625
ZEC,0,0,0,-0.218814214500404,0.199024083518595,0.0273424564456084,0.599395548091754,0,0.112897012930791,0,-0.0315228551540043,0,0.370461351995869,0.410059133670673,0,0,0,0,0,0
EOS,0,0,-0.0393753466824883,-0.0268221849725239,0,0,-0.193018636168201,0,0.0191165258064076,0,0.0897000910046132,0.20616489563212,0,-0.0201647076611633,0.156284548918519,0,0,0,0,-0.0767589527015202
XLM,0,0,0,0.258526158864228,0,0.190903061080561,0,0,0.260450379910001,0,-0.306129731562485,0,0,0,0.0173185999586545,0,0,0,0,0
BAT,0.280467508129915,0.121525591820391,0,0,0.484467998015821,0.541109910345786,0,-1.73472347597681e-18,0.0174472834664208,-1.38777878078145e-17,-0.199119769380866,0,0,0.0208552469589502,0,0,0,0,0,-0.454706424888766
BV010082.Index,0,0,-0.024138421656552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00509593696688153
CVIX.Index,0,0,0,0.050942555431504,0.0334714676059492,0,0,0,-0.0252118866629306,0,0,0,0,0,0.0306276492737375,0,0,0,0,0.0387308428157693
DXY.Curncy,-0.0260757428766335,0,0.00182238239389991,0,0.00276891230931148,0,-0.0201268237447611,0.0133424202358443,0,0.007025114746706,0.00239949010638243,0,0,0,-0.0123101675128205,0,0,0,0,0
SPX.Index,0,0,-0.00361350036978967,0.0045855855645314,0,-0.0181021015283425,-0.0039747983228345,-0.000777820161644465,-0.0136676047301641,0.00199825655688893,2.71050543121376e-20,0,0.0350429324456602,0.0131850870824357,0.00281139297498703,0,0,0,0,-0.0401483618473019
VIX.Index,0,0,0,-0.041400055008962,0.0576931708784798,0.338014886193684,-0.347840481007537,0.297819331025281,0.0268516969958066,0,-0.571655478052348,0,-0.314749009796059,0,-0.159831615266704,0,0,0,0,0
