,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,8.67361737988404e-19,0.0829200655980465,0,0.0205403035945583,0,0,0.327487630057066,0,0.327645942077337,0,0.113387038128875,0,0,0,0,0,0
ETH,0.028791094667293,0,0.105447918163792,0.0436609245159401,0.0810198909701701,0,0.105400199970396,0.140282180644181,0,0,0.174665387199391,-1.73472347597681e-18,0.0820086227699747,0,-0.0199480829212843,0,0,0,0,0
XRP,0.178300826671028,0,0,0.00302476199856803,0.205626752990624,0,0.102408679682081,0.182927546924429,0,0,0.0495345143859346,0.0531186860942368,0,0,0.0307429946295187,0,0,0,0,0
BCH,0.23919532458283,0,0,0,0.156535926242519,0,0,0.355530361867473,-0.302039949307172,0,0,0.19658252767864,0,0.44760728818597,-0.0446939043940804,0,0,0,0,-0.000299507319783264
LTC,0,0,0.107016668268105,0.347084395204355,0,0,-0.118001557204937,0,-1.38777878078145e-17,0,0.366255185168189,0,0,0,0.195673714406944,0,0,0,0,-0.1095558853991
ADA,0,0,0.291095491355379,-0.0407383064506191,0.0361579423438223,0,-1.38777878078145e-17,0.323489832506348,0.0954457593437336,0,0,0,0.102643076837364,0,-0.1661926657765,0,-0.510643484554738,0,0,-0.0871501393889958
NEO,0,0.64404459388838,-0.195896514245986,0,0.189350071698438,0,0,0.257696554546963,0,0,0.010930229403069,0,-1.38777878078145e-17,0,0.073185669945368,0,-0.740678231751542,0,0,-0.00487079604554294
XLM,-0.485239130219857,0.869510967021752,0.0290946326277649,0.631808564336487,-0.167978310722093,0.119295077196643,0,0,0.31210238276779,0,0,0.241342681910574,0,-0.395824023834616,-0.00521356357825272,0,0,0,0,0
XMR,0.249094670919686,0,0,-0.127635965790028,0.113244626404935,0.188663994544715,-0.0513996852861813,0,0,0,0.189621919606844,0.700483829988435,0,0,-0.110971554431773,0,0,0,0,0
EOS,0.530519123035913,0,0,0.319685120391181,0,-0.0947082672899544,0,0,-0.0690424647103678,0,0.421183193208728,0,0.0299832321779458,-0.232343668373049,0.0589143429565367,0,0,0,0,-0.0025622303090179
MIOTA,0,0.987663295926184,0.109937138975929,-0.10031232725984,-0.0122793225089114,0,0,0,0.12460978205559,0.233615988288808,0,0,0,0.115261210886797,0.045358252179349,-0.227709554864835,0,0,0,0
DASH,0.0851693364329823,0,0,0.147106688021708,0,0,0,0.119509649120042,0.321638004236016,0,0.0503283721113899,0,0.196315608784834,-0.106000211702561,-0.00970171557802325,0,0.225829815308263,0,0,0
XEM,0,0.28690973576683,-0.281905385412344,-0.211784640956785,0.047586402474983,0.0417182672021279,0,0.186387992617017,-0.363937175650528,0.183631283508345,0.361863575897068,0.400151236306553,0,0.407669405801458,-0.172777559189196,1.00627479275469,0,0,0,0.13903928209817
TRX,0,0,0.0464564188717025,0.309363377853562,-0.140123173197838,0,0,-0.148196441287069,0.0399593186348552,0,0.258657313918167,0,0.603604577553092,0,0.146445395478563,0,0,0,0,0.182532586373684
ETC,0,0,0.221469955269103,0,0,0,0.142583780465283,0,0,0.49343401711859,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0.0500383465384311,0,0,0.111792334060799,0,0,-0.171306270070358,0,-0.134170532338905,-0.109464443373912,-0.0316623585511697,0.395599593321608,-0.0586707170471281,-0.0151868139862418,-0.0205180056798761,0,0,0,0,0.0326655495186909
DXY.Curncy,-0.0269960057069709,0,0,-0.0254521697590274,-0.0173518995992417,0,0.0154439185373166,-0.0225491683453838,-0.000543973374919618,0,0.00510420725800657,0.0274417954597769,0.0411196384725397,-0.031190984710526,0.00814056040594125,0,0,0,0,0.0160307269514365
SPX.Index,0,0,0,0,0,0,0.0321856003292191,0,0,0,0,0,0,-0.0279457178850657,0,0,0,0,0,-0.0461384370861492
VIX.Index,0,0,0,0,0,0,0.095091011107337,-0.75487106609867,0.350773013531224,0,-0.62837020394203,0,0.898979629610207,0.2992462742196,-0.0419770298359491,0,0,0,-3.12993383603912,0
