,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.369208180125158,0,0,0.09264861899768,0,0.260993094230968,0.0159753921114403,0.00460701152119205,0,0.128225619292912,0,-0.0580095520832796,0,0,0,0,0.0228993850139484
ETH,0,0,0,0.173268331822034,0,0.157234281098101,0.0857873814858764,0,0,0,0.0149697506068211,0,0.225623307455722,0.0549308897638716,0,0,0,0,0,0
XRP,0,0,0,0.232700675287698,0.222150768702334,0,0.0934525957211619,0.171905912974309,0,0.013842257740323,0,0,0,0,0.0658383323376898,0,0,0,0,0
BCH,0.144229948557613,0.387722712825917,0.029948020047846,0,0.282624450351206,-0.221459810437748,0,0.117677726092327,0.133011931520694,-0.0750380062749536,-0.206976157014526,0.653740821473623,-0.0129980181467591,0.155272649506437,-0.0812273321775744,0,0,0,0,0.0662171925304725
LTC,0,0,0.1845379351051,0.35315504195579,0,0,-0.108870792894235,0,0,0.0475429432275445,-3.46944695195361e-18,0,0.326200109958282,0,0.0906294303413225,0,0,0,0,-0.0618097429758653
ADA,0,1.19420676323929,0,0,-0.234458783968321,0,-0.297075542199603,0,0,0,0.147185845131304,0.480596326949704,0.133318211607375,-0.347671103494507,0,0,-0.728028982306061,0,0,0
NEO,0,0.812186456546447,-0.13870532575103,0,0,1.38777878078145e-17,0,0,0,-0.0740617657827541,0.075589692610328,0,0,0,0.156181757185458,0,-0.461447121438054,0,0,-0.0647562732349193
XLM,0,0,0.318356279811229,-6.93889390390723e-18,0,0.0806095905929874,0.133556557397307,0,0.0336811949305023,0.0995346625665149,0.147778753052495,0.438291193572093,0,-0.317662604384554,0,0,0,0,0,0
EOS,-1.38777878078145e-17,0,0,0.248861876517162,-0.14925422595671,0,0.086975002731049,0.264639290005408,0,0.0873619658795217,0,0.0176525970950478,0.311507361182884,0,0.185132661437887,0,0,0,0,0
XEM,0.602297852148431,-2.7187887527339,-0.333825541915768,0,0,0.822370742813817,0,0.988575734514295,0,0,-0.932731306574555,0.00992663868016071,0.41468966103265,0.791160560156255,0.474611630863244,0,-0.219369942193386,0,0,0.334967386024277
XMR,0.833194227249871,0,0,6.93889390390723e-18,0,0.655487868915208,0,0,0,-0.386552877384368,0,0,0,0,0,0,0,0,0,0.154986839733658
DASH,0.177523646998271,0,0,0.482774851836569,0,0.191490159790537,0,-0.00129915499269796,0.089053184184638,0.0429989802952357,0,0,0,0.111123719377567,-0.109449294162121,0,0.399345677818943,0,0,-0.088096999673909
MIOTA,0.00346338918001531,0,0,-0.19187631282257,0.466887659111659,0.26039576418781,0.238209632835257,-0.262431978283502,0.571006413969707,-0.0412252175158129,0.0223596741905863,0,0,0,0,-0.228395673604428,0,0,0,-0.0316052482638747
TRX,0,0,-0.103704636067035,0.588612367979992,0.0299420798247163,0,0.0982821335184138,-0.5904930200772,0,0.166673165973598,0.340941958214845,0.153320779351827,0,0,0.183958803461883,0,0.276553253074186,0,0,0.0704970716734194
ETC,0,0,0.790423068098265,0,0,-0.0319544032146644,0.157600667560528,0,0,0.182306020520456,-0.181234304012152,0,0,0.148836853184962,0,0,0,0,0,-0.134167783820254
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0101088142765156,0.0253485559343195,0,-0.126062770965004,0,-0.129639455683363,-0.166173545871908,-0.0922184161377331,0.379667847072621,0,0,0,0,0,0,0,0
DXY.Curncy,-0.081628628756077,0.0553427510802341,-0.0231437904616034,-0.00999083447342966,-0.0513089837128279,0,0,-0.00359003257666651,0.0425232695432042,-0.00602722610557843,0,0.0625627667736007,0.00128895542462837,0,0.00576108651696026,0,0.0284966678854884,0,0,0.0216966511885785
SPX.Index,0,0,0,0,0,0,0.032735414462908,0,0,0.0109995420531373,0,0,0,-0.0351292841480205,0,0,0,0,0,-0.0462054156383026
VIX.Index,0,0,0,0.371029856959492,-0.67974024267123,-0.0524553812142813,-1.38777878078145e-17,-0.459089342084147,0,0.379981204051699,0.603911021412901,-0.696274291663731,-0.179992656094549,0.382874346888157,0,0,-0.24049897258963,0,-4.32924314353954,0
