,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.248572200830115,-4.33680868994202e-19,0,0,0.0384582873135999,0.0260827890668829,0,0.0408638151228443,0.117642815161274,0.0147894298879091,0,0,0.132016253869455,0,0,0,0,0,0
ETH,0.752565958842708,0,0.0527795847620327,0,0,0.132584765936456,0.00806994773035343,0,0.0574940211408043,0,0.0066562500686397,0,0,0,0.163688321677307,0,0,0,0,0
XRP,0,0.171712622657617,0,0,0.0395711413515447,0.180336914858252,0.0870257287547466,0.0883911323049696,0,-0.0807049478739992,0.0700628100955887,0,0.175772923723094,0.240710062720687,0,0,0,0,0,0
BCH,0,0,0.59876274819141,0,0.00559106301160102,0,0.00765721800569371,-0.0844670100878036,0.0693026131395879,-0.292469451091424,-1.38777878078145e-17,0,0.532013582673991,0,0,0,0,0,0,0
EOS,0,0,0,0.237378432879923,0,0,0,0,-0.21870526922706,0,0,0,0.421671290385784,0,0,0,0,0,0,0
LTC,0,0.181664365866824,0.162036446863328,0.0239259961626486,0,0,0.0547352556424068,0,0,0,0.0771825477358926,0,0,0.0467788000892879,0.250064379518025,0,0,0,0,0
ADA,0,0,0.311122153948022,0,0.131919388038611,0,0,0.182689178933823,0.047442382119294,0.0416175016774129,0,0,0,0,0.151894108382647,0,0,0,0,0
XLM,0,0,0.154717499449142,0,0.0414024542144944,0,0.18797726313002,0,0,0.0228519520268017,0.409585006613369,0,0,0.0373638446006924,0.084954112399389,0,0,0,0,-0.120092186605191
MIOTA,0,0,0,0,-0.1254209277125,-0.173242510228005,0.0488887274253207,0.172109067735257,0,-0.32243074089822,0.133943544899123,0.0899572085574846,0,0.618373148599183,0.621340957721245,0,0,0,0,0.443730317615367
TRX,0,-0.105416321601457,0.0225110568773443,0,0.276964124627668,0,0,0,-0.388847226038451,0,0.254386823803907,-0.17115322547232,0.107699087830634,0.671084428536807,0.341260775808428,0,0,0,0,0.143839804815886
NEO,0,0,-8.67361737988404e-19,0.0499927511891362,0.0538494091868532,0.0714696952838908,0,0.244290582540551,0.110952203910769,0.13960941348569,0,0.196465157911568,0,0.230627279926404,0,0,0.0443870870529101,0,0,0.0587936356342101
DASH,0,0.313477201516122,-0.402192672507395,0.169811101123393,-0.0723148408131665,0,0.0320386125176855,0.269946270692974,-0.0177974689099943,0.0883789315490919,0.0662539295941001,0,0.430933890132936,0,0.243515668264326,0,0,0,0,0.111875322997718
XMR,0,0,0.418981666117628,0.106396198377651,3.46944695195361e-18,0,0.0711445696707653,0,0.124860255779902,0,0,0.0720322779968343,0,0,-6.93889390390723e-18,0,0,0,0,0
XEM,0,0,0.0313219487045559,0,0,0,0,0.165611928957259,0.201416138302872,0,0.0891523360038638,0,0,0,0.214710826294639,0,0,0,0,0
ETC,0,0.478046717208265,0.072306642893159,0,0.0517905906458162,0,0.0280415833626636,0.107593921384826,0,0,0,0.0560628189599331,0.065061857072989,0,0,0,0,0,0,-0.0858640640614189
BV010082.Index,0,0,0,0,0.0242218491603428,0,0.00301604678161838,0.0516499252786424,0,0,-0.0281446003672992,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,-0.0100288045627268,0,0.0149553827465781,0,0,-0.0187351969556925,0,0,0.00196395447471959,0,0,0,0,0,0,0,0,0,-0.138372642732361
VIX.Index,0,0,0,0,0,-0.00392713702675107,-0.111286840671549,-0.0819747269316316,0.0687973189755724,0.0244536805780174,0.117810766515137,0.0219934551324511,0,-0.238047902467552,0,0,0,0,-4.81710840520017,0
