,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,NEO,ETC,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0653366142171506,0.179660759864592,0,0.0177848264987305,0,0,0.284955754259261,0,0,-0.116487072275678,0.0199549294358608,0,0,0.0765014984222738,0,0,0.0573054266033996
ETH,0,0,0,0.255417891681752,0.166814222043717,-0.27188839531403,0.0480112496325095,0,0,0,0.0152860388455179,-0.00747647203172051,0.14739902776063,0.268640836480459,0.126251809743215,0,0,0,0,0.0687943607667269
XRP,0,0,0,0,0.246634746610925,0,0.273346267502325,0,0.102857855765973,0,0,0,0,0.314330901219144,0,0,0,0,0,0
BCH,0,0,0.054078439597397,0,0.467305051607824,-0.0497574248634115,0.168721255848776,0.528826957476323,-0.0986097245175461,0,-0.136645286326371,-0.027482257208952,0,0.0755650600992073,-0.035824788931008,0,0,0,0,0
EOS,0,0,0.299922738852201,0.37412138443629,0,0.17557956836015,0,0,0.0627897002183419,0.104387550020615,0,0.0768741242934497,0.333139293567681,0,-0.380780444075865,0,0,0,0,0
XLM,0,-0.792218097397997,0,0.161405911031163,0.387059630516873,0,0,0.209014486239727,0.00781670048860369,0.12168596267,0,0,0.174025987883602,0.163518650089423,0,0,0,0,0,0.0179658308191808
LTC,0,0.186195505062006,0.00371971602099343,0.365915520216235,0,0,0,0,0.179435244044064,0.0492591251622943,0,0.00300857583818263,0,0,0.0151399862702453,0,0,0,0,0
ADA,0,0,-0.0327846336479866,0.806028818107396,-0.0998140409260076,0.186831763562062,-0.223638803882274,0,0.149104902526243,0.0245061408060543,0,0,0,-0.0527795590094388,0.316587180812013,0,0.139674925966901,0,0,-0.0818085935679478
MIOTA,0,0,0,-0.061361011269633,0,0.249542275819907,0.0763739748866367,0,0,0,0,0,0.60169605057778,0.28281874481424,0.307445794434994,0,-0.393330259684493,0,0,0.146358221351917
XMR,0.804012999387447,0,0.0882297444821446,0,0,0.182736132171512,0,0,0,0,0,0.290340797825761,0,0,0,0,0.111386028713543,0,0,0.000370413904538307
TRX,0,0,0,0,0.107695774183457,0.0483139306789678,0,0,0.140657232876705,0,0,0,0.449373370034655,0.098360915493667,0,0,0,0,0,-0.101744306949188
DASH,0,0.28982731400772,-0.236260439872883,0,0.327306377846366,0,0,0,0,-0.113082221987982,0.122654371596988,0,0,0,0.582329153163926,0,0,0,0,0
NEO,0,0.456799001118433,0,0.0393380801511853,0.136874520763405,0,0,0,0.437613214713098,0,0.10288782910338,0,0,0,0,0,0,0,0,0.0592065963289277
ETC,0,0,1.38777878078145e-17,-3.46944695195361e-18,0,0.0930673871732994,0,0,0.518085049159569,0,0,-0.178640317285362,0,0,0,0,0,0,0,0.0616120631475267
BNB,-0.0142016510664511,0,-0.161776206896941,0,-0.180564166006994,-0.18543988179457,0,0.852554028995298,0.175070666665898,0,0.207607301990951,0.112674543670697,0,0.00977317480971636,0,0,0,0,0,0
BV010082.Index,0,0,0.131640025332542,-0.093466224474075,0,-0.0768028333106122,-0.117320821491636,0,0,0,0,0.0346392745840982,0,0,0.0476821067372775,0,0,0,0,-0.0608714385737945
CVIX.Index,0,0,0,0,0,0.101464109744066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588854531429908
DXY.Curncy,0,0,0,-0.00717871281776587,0,0,0,0,0,0,0,0,0,0,0,0,0.0881419550956144,0,0,0
SPX.Index,-0.0222085868975192,0,0.0101401193858861,0,0.0153098948113316,-0.0012587453792316,-0.00622070342698233,0,0,0,0.00405697356592176,0,0,-0.0327429924093455,0,0,0,0,0,-0.04503209441996
VIX.Index,0,0,0,0,0,0,0,0,0.462672226047513,0,-0.341264498912601,0,-0.33423522868382,0,0,0,0.406451782447776,0,0,0
