,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0306502360557478,-8.67361737988404e-19,0.300048053612317,-0.0392512503126422,0.131482110541669,0,0,0.0238976240000895,0,0.0522110489366798,0.00507388239941983,0,0,0,0,0,0,0.0264003385169229
ETH,0,0,0,0,0.307892442528574,0.032732020904055,0,0.0402607241670356,0.0845274996877753,0.0450144049286041,0,0.421506964643418,0.0733387099493611,0.189706237808117,0,0,0,0,0,0.0876339604261515
XRP,0,1.52504694703404,0,0.0506381670109499,0.782958001201449,-0.439035633227722,0,0.542985421139535,0,-0.0033444088936526,-0.457463927043111,0,-1.01600295511752,0,0.799006037743852,0,3.72025542687509,0,0,-0.234456444072761
BCH,0,0.244623242332648,0.0708380192221794,0,0,0.0647199304598388,0,0,0,0.286504815002276,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.08592031081811,0.291554042875505,0,0,0,0.285066798906729,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0256395007106481,0.12109297457586,0,0,0,0,0.466726128539816,0,0.110707170381574,0,0.136001478034544,0,0,0,0,0,0,0,0
LTC,0,0,0.00656047671676119,0.113303080562791,0,0,0,0.165559976023149,0,0,0.318214179302858,0,0,0,0,0,0,0,0,0
ADA,0,0,-3.46944695195361e-18,0,0.183425406990347,0.464372147290586,0,0,0,0.0230018092328908,0.280943944299315,0,0,0,0,0,0,0,0,0.0532517771053127
XMR,0,-0.0493557686215557,0.18332072582641,0.0788100415733359,0,0.13958882592304,0.171034398104246,-0.173113297996694,0,0,0.186252255097278,0,0,0,0,0,0,0,0,0.0554707917237078
TRX,0,0.0960890987855659,0.0312522384454028,0,0.276108948452856,0,0,0.416763383649553,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0712270534403682,-0.0357618260875086,0,0,0.350520494516403,0,0.199469006137388,0.210127058225928,0,0,0,0.185583060497624,0,0,0,0,0,0
DASH,0,0.434998958871971,-0.0344158228566857,-0.167979073565163,0.338871144780133,0.0235319812820905,0.451414155814976,0.0927221245732409,-0.084794939649311,0.0439529173523584,0.0383582895073713,0,0,-0.459338176641971,0,0,0,0,0,0.0408580742867163
BNB,0,0.112725400631223,0.0490236038992315,0.0461394725196638,0,0,0,0.0752805955110228,0,0.0435244080805649,0,0,0,0,0,0,0,0,0,-0.0421663051348725
NEO,0,0,0,0.0496806511482364,0.156982067961093,0,0,0.209516605435522,0,0.0288576079073749,0.427619694126714,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0297567057849285,0.0470290323633553,0,0.0555869614034439,0,0.103105187064539,0,0,0.132176923883917,0,0,0.0428528783277385,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0.0231072990940551,0.0843804299343887,-0.118595923783944,0.207494664429458,0.129239713635334,-1.38777878078145e-17,-0.227075493547718,-0.213783497203484,0.0337386376394609,0.133675531601127,-0.369489037737766,0.233878498543296,0,-0.217939286574198,-0.181213795444486,0,0,0,0.0764940689524934
DXY.Curncy,0,0,-0.00661774826611786,-0.0031759674320562,0,0,0,0,0,-0.0200016741219344,0,0,0.021504711780924,0,0,0,0,0,0,-0.0217425907708224
SPX.Index,0,0,-0.00367897387925326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371824132653626
VIX.Index,0,0.0495489317256154,-0.153042443242549,0.426031193529596,-0.798717528551925,0.0749332072405481,0,0,0.462562210580864,0.0813363770353535,0.273661271298762,0,-0.7883025312351,0,0,-0.940106146709041,0,0,0,0
