,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,ADA,XMR,TRX,DASH,MIOTA,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.119987392469085,0.143956629986147,0.226348711409826,0.34219634837227,0.0232055285740205,0,0.0250970443832516,0.164567512882297,0,0.0787830264355614,0.04985938482757,0,0,0,0,0,-0.0424974199097519
XRP,0,0,0,0.0858182676111544,0.379000620046132,0,0,-0.00555716893139888,0,0,0.277554210386459,-0.189883783049925,-0.262846135140773,0.344788766011618,0,-0.0907530598627351,0,0,0,0.163862720512043
ETH,0.154006445509457,0.128483441166742,0,0,0.138568379470188,0.069916423751192,0.190191406925964,0.00552263964234208,0,0.104172358489485,0.0415507482281504,-3.46944695195361e-18,0,0.0727574761108376,0.228849300080634,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0285103551707102,0.17202235224453,-0.375936612475563,0,-0.544700309161982,1.05316765274307,0,0.739760185030516,0,0,0,0,-0.068476944275278
XLM,0.853113248168072,0.390388373941986,0,0.0819773589426424,0,0.0789662109038776,0,-0.0281088372613134,0,0,0,0,0,-0.0770557018229322,0,0,0,0,0,0
EOS,0,0,0,6.93889390390723e-18,0.254481805462497,0,0,0,0,0,0,0.139904998333551,0.22423413828636,0,0,0,0,0,0,0
LTC,0,0,0.212735960808812,0.166586270258454,0,0,0,-0.00798883332311086,0,0.156530009320523,0.232808487070177,0.137741800111659,0,0,0,0,0,0,0,0.0145987897100549
BSV,8.49475187670868,0,0,3.05924308376451,-4.53814640246587,0,-2.0225594713715,0,-3.94924014954424,0,2.22044604925031e-16,4.75259450319674,1.85101377488999,-1.42130219052386,-4.27563919098018,0,3.37106161469927,0,0,-0.827444918080615
ADA,0,0,0,0.221705699159004,0.0511674917960533,0,-0.0166455752967123,-0.02491387251394,0,0.267102380453399,0.0079192512583928,0.275862076357831,0.170022677556695,0,0,0,0,0,0,-0.0359211511525613
XMR,0.500680972578412,0,0.296019176562689,0,0.0130586860957132,0,0,-0.0162341498839412,0,0,0.0661732773397877,0.191452216278541,0,0.0642916033817983,0,0,0,0,0,0
TRX,0,0,0.0669512941095992,0.0975862072368891,0,0,0,0,0.253987201698932,0.302005203584378,0,0.157386131950078,0,0,0,0,0,0,0,0
DASH,0,0,0,-0.0651772055281168,0,0,0,0.0244369464007443,0.276708882686553,1.38777878078145e-17,0.184219280709614,0,0,0.243634091721076,0.362941017412371,0,0,0,0,0.0693876085415798
MIOTA,0.365615614326767,0,0,0.153063004156531,0.124126329844212,0.186371716854723,-0.0989456441659857,0.0246291627383697,0,0,0.147930830732111,0,0,0.151165413010716,0,0,0,0,0,0.0462239788030035
XEM,0,0.235782509161305,0,0,0.00108181804242533,-0.00583820532032292,1.35525271560688e-20,-0.00859662183397902,0,0,-0.0873029947232885,0.618371546623869,0.192783436272961,0,0,0,0,0,0,0
BNB,0,0,0.669383854188994,0.0672319226841129,0,0,0,0.00920916445204465,0,0,0.00888594677240019,0.135617090788787,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.313638580750771,0,0,0,-0.0154896232015403,0.0523708438967387,-0.00484369070659787,0,0,0.0298275306830242,-8.67361737988404e-19,0,0.078299155537865,0.157413043673595,0,0,0,0,0
CVIX.Index,0,0,0,0.0146340640808881,0,0,0,0.00845682451552614,0,-0.0582911165339913,0,0,0,0,0,0,0,0,0,0.106077876932536
DXY.Curncy,0,0,0,-0.00157404475825504,0,-0.0566757731139537,0.000527421265466921,0.00450635956460969,0,0,0.0210032990859439,0,0.0265224355944152,0,0.0051800008099713,0.0845180134084055,0,0,0,0.0187873946804836
SPX.Index,0,-0.0338827446903429,0,0,0,0,0.0543606620695162,0,0,0,0,-0.017643804075164,0,0.025729862597961,-0.0285730888570235,0,0.160179893263138,0,0,-0.136319538386665
VIX.Index,0,0.111139702317061,0,-0.225859759305987,-0.246326182103926,0,0.694839644435882,-0.027389378830039,0,-0.405615421732806,0,0,0.316494939184193,0.0679661381420103,0,0,1.25398948952318,0,-5.79807097061873,0
