,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.315806393583028,0,0,0.00697500053534586,0.171056345840334,0,0.0212990758524963,0,0,0,0,0,0.0177346298863301,0,0,0,0,0,0
ETH,0,0,0.106565581805072,0,0.272041245070533,0.284677057060644,0,0.0437150970898426,0,0,0.0597781197675683,0,0.110162540227908,0.141673323827292,0.0484605313163039,0,0,0,0,0.0610641480426161
XRP,0,0.414585495733258,0,0,1.38777878078145e-17,0,0,0.107577897969084,0,0.091565977950757,0,0,0,0,0.00920846184898629,0,0.186147827415276,0,0,-0.035323851131902
LTC,0,0,0,0,0.36761762706577,0.348922678142012,0.34164588051219,-0.0821814469357999,0,0.0167294202761688,0.265649089192411,0,-0.104490610997785,0.10438502392333,-0.181843625430011,0,0.117230351560237,0,0,0
EOS,0,0,0,0.55341510553627,0,0,0,0.233653321755146,0,0,-0.0859900224797019,0,0.110824466530679,0,0.375390175676243,0,0,0,0,-0.0189474212038764
BCH,0,0.365227129578281,0.120559031898451,0.117085802668049,0.0125148559833056,0,-0.0448779152975505,0.077301201354765,0,0.0751707739870733,0.105792098797397,0,0.324120185298678,0,0,0,0,0,0,0
BNB,0,-0.443169382099909,0,1.62590012324794,0,-1.00242203245473,0,-0.175517023356543,0.924544963813467,-0.0699746698080192,-0.508023799282154,0,0.414216730716488,0.0662713737179536,0.27851802236132,0.687222693644916,0,0,0,0.0978755579145835
XLM,0,0,0,0,0.110538797668877,0,-0.0450283941768065,0,0,0.156999399209938,0,0,0.33501391146195,0.264642239145745,0,0,0,0,0,0
TRX,0,0,0.0753374217669082,-0.453342142987848,0.538384000959028,0,0.207957511905426,0,0,-0.0263516514583383,0.486369970191742,0,0.0460301208794664,0.0915448826761385,-0.398999725812682,-0.350512901936753,0,0,0,0.0156948313958219
ADA,0,0,0,0,0.108597227761927,0.636648679094626,-0.0861474271173501,-0.158977877297785,0,0,0,0,0.172791565913393,0.135854728612273,0.0322185574685678,0,0.304550241859538,0,0,0.0566464577258803
BSV,0,0,0,0.0495243272335148,0,0.552664594748847,0,0,0,0,0,0,0,0,0.0825065690857855,0,0,0,0,0
XMR,0,0,0,0.154227940338316,0.01342242965502,0.292343234333642,0.020924815653696,0.12557389045075,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.442941239614022,0,-1.73472347597681e-18,0,0.276108077641369,0,0,0,0,0,0,0,0,0,-0.0420911611369244
DASH,0,0.550348436699713,0,0,0.0206781941540269,0,0.0672404995662748,0,0,0,0,0,0,0,0,0,0,0,0,0
MKR,0,1.23601357233905,-0.316982870575656,-0.98419572510454,0.855792529740289,0,0.227054448753534,-0.391227967624104,-0.978383609774188,-0.352171662637316,0.833301219152509,0,0,-0.0682499507544812,0,0,0.58596322309811,0,0,-0.110104097838382
BV010082.Index,0,-0.406903787028466,0,-0.163818146481302,-0.0659420923444501,0.377982410922344,0.303779996741961,0.0479665358788871,0.125649059034725,0.0933804212594305,0.144721246889883,-0.0138135544791866,-0.169820282987681,-0.115826136976565,0,0,-0.450144072551252,1.29086563373314,0,-0.110302810737124
CVIX.Index,0,0,0.415167767967646,0,0,-0.669096277829173,0.363509757992934,0.17939636184715,0.222601610110711,0.309672690363198,0.136146873549923,-0.026016141540717,-0.162460842325814,-0.43613984575927,0.00800371237323022,-0.472620859685686,0,0,0,-0.193609955359367
DXY.Curncy,0,0,0.0184253359914804,0.0411559752217141,-0.0139429894983728,0,1.73472347597681e-18,0.0172038700047134,-0.0372263095147946,-0.0100873485179075,0.00110354793211896,0,-0.0720300774082101,0.000628967574460493,0.0327048255719333,0,0,0,0,-0.00646202794584649
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867456710155876
VIX.Index,0,0,-0.243469675244216,0,0,0,0.657054039233499,0.184562093714501,0.0827159892583463,0,0.882773030023914,0,-0.424041899091423,-1.01654199250771,-0.189211332748584,-1.20521016465658,0,0,-1.85779001933833,0
