,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0624510974746814,0,0.108570974436859,0.0306813306522153,0.021057234910127,0,0,0,0.198630093266799,0.0733204930942814,-0.0403546211581963,-0.0585884573194152,0,0,0,0,0.0021709907354938
ETH,0,0,0,0.0968057758768109,0.208399459046842,0.176414171948401,0,0,0.0513937176655107,0,0,0.189149092975103,-0.0132176101576008,0,0,0,0,0,0,-0.0242229657780309
XRP,0,0,0,0,0.0795490655823822,0.0864422277515848,0.00635947266538835,0.0630742872502874,0.04888998715293,0,0,0.127708659822837,-0.0283689520501753,0,0,0,-0.0312177971680211,0,0,0
LTC,0,0,0,0,0.194420686097964,0.18180694748585,0,-0.084857487529224,0,0.0069068417977538,0.639648433786272,0,0,0.293869791500358,0,0,0,0,0,0.0225936384578919
EOS,0,0.686015021639997,0,0,0,0,0.099864393463765,-0.0249970149626077,-0.138621637371855,0.376970773917254,0,0,0,0.0564500370030333,0.0741367645685934,0,-0.0252574620427757,0,0,-0.0266363180156639
BCH,0,1.40444172625641,0,0,-0.0815081847109556,0,0.0934839117899414,0.10871605956155,0.153179452590036,0.159168451582704,0,-0.530645026667773,0,-0.0328566192836629,0,0,0,0,0,0.0329596546949933
BNB,0,0,0,0,0,0.296940695011991,0,0,0,0,0,0,0,0.491524219964952,0,0,0,0,0,-0.167918889884605
XLM,0,0,0,0,0,0.144284328114613,0,0,0.160269865802657,0,0,0,0,0.303238788831557,0,0,0,0,0,-0.0860551009236742
ADA,0,0.503809966511872,0,0,0,0.633192013499061,-0.0832816508121973,-0.0712161531033673,0,0.163111791257698,0,0,0.38512183298195,0.44333747711921,-0.405444446033526,0,0.753444101984527,0,0,0.26705706500442
TRX,0,0,0,0,0.206460120735995,0.247214882959442,-0.161381537965887,0.000577088295802108,0,0,0.321895632653687,0,0,0.228846482865253,0,0.0290330334088715,0.198167943617606,0,0,0
BSV,0,0,0,0.181772123275642,0.129077856464313,0,0,0,0.0772181274000133,0.101051109752601,0,0,0.174579753666773,0.0493482025208985,0,0,0,0,0,-0.0119821913010773
XMR,0,0,0,0.206517841153133,0.109126101312922,0,0.158308510153764,0.188665003744187,0.0715055639705882,0,0,0,0,0,0,0.0864578356617563,-0.0428789015896405,0,0,0
MIOTA,0,0,0,0,0,0,0.0573533377786291,0.0539271495462302,0.161465770116071,0,0,0.445576366095717,0,0,0,0,-0.145344987973082,0,0,0
DASH,0,0,0,0,0,0,0.15188550612593,0.0336776125888106,0.217448714283074,0,0,0,0,0,0,0,-0.100139722595554,0,0,0
MKR,0,0,-0.268851642217542,-0.0410618750724975,0.232838204669787,0.231413657730408,0.075596958586139,0,0.0270159106862245,0,0,0.133759907251609,0,0.0250351343545457,0,0,0,0,3.18281807353301,0.362006603369576
BV010082.Index,0,0,0,0,0,0,0.0800758985253206,0,0,0,0,0,-0.251675546898939,0,0,0,0.0601732171537957,0,0,-0.117540053598141
CVIX.Index,0,0,-0.269633203866245,-0.158106003831774,0,0,-0.0166086934217406,0,0,0,0,0,0,0,0,0,0,0,0,0.0149358497700443
DXY.Curncy,0,0,0,0,0,0.00429276052899025,0.00831857953390531,0.00996680163880604,0.0019931745304811,0,0,0.0164386987854276,-0.0803577161452585,0,0.0165331308791509,0.00529155937385443,0,0,0,0.0165943738850527
SPX.Index,0,0,0,0,-0.0226393464313285,0,0.00508367576850506,0,-0.0122172871894705,0.0135665486099174,0,0,0,0,0.0382001804243853,0,0,0,0,-0.0984622237008866
VIX.Index,0,0,-0.827590293883641,0.372225451148802,-0.454969358788189,-0.09846952789715,0.139691769495219,0,0,0.421471445177902,0,0,-0.193922116131354,-0.521746796757253,0.382558204618764,-0.240878702662123,0.0911818064678881,0,-4.75957403879243,0
