,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,XLM,LEO,TRX,HT,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.682614669108482,0,0,0,-0.106668147552917,0.106531891930091,0,0.0601910691413064,-0.219070138526569,0.0550148877455203,0.423063038999659,-0.0947979345421378,0,0,-0.0479455430501968,0,0,0,0
ETH,0,0,0,0.283979455886741,0,0.184095439718435,0.0422687670994619,0.22909987963442,0,0,-0.0784630040095417,0,0.220266075293908,0.0476146444330549,0,0,0,0,0,0.0253044205539357
XRP,0,0,0,0.227968684926159,0,0.111154833554661,0,0,0.00243145836315714,0.166798366562008,0,0.0546841575515623,0.0326617688247045,0,0,0,0.059630589559122,0,0,-0.0130902640619024
BCH,0.0895271543054195,0.228417750666709,0,0,0.0913063589920527,0,0,0,0.128179773487112,0,0.0919694924863092,0,0.130621762162716,0,0.203416833798512,0,0.041463220727943,0,0,-0.0570927140323637
LTC,0,0,0,0,0,0,0,0,0,0,0.0208595079966094,0,0.268735647627451,0.0877786791986547,0.502209611254466,0.0678778596767978,0.0225996534257937,0,0,0
EOS,0,0.336872969752398,0,0,0,0,-0.110048157213322,0,0,0.337413155559306,-0.11999327550281,0,0.208862318958682,0,0.175321003335633,0,0,0,0,-0.0724547768112892
BNB,0.508211973705183,0,-0.628528857144686,0,0,-0.443822129990633,0,0,0.194854262382357,0,-0.0617254885857862,0,0.777616980085977,0.160590529330649,0.202279758403659,-0.166399563998073,-0.427827302797701,0,0,-0.0421783486854851
BSV,0,0.126664468068245,0,0,0,0,0,0,0.164431558989633,0.160855898092495,0,0.120112503115502,0,0,0.279483529772827,0,0,0,0,-0.00335837181130738
XMR,0,0,0,0,0,0,0.514920723515752,0,0,0,0,0.200530729268438,0,0,0.265583108338026,0,0,0,0,0
ADA,-0.354795280558416,0,0.811295011643926,0,0.112940035182484,0.0149482328765977,0,0.0590206398408887,0.0840283631227524,0,0,0.0696909966032429,0,0.316395789171764,0,0.131732563454785,0,0,0,-0.0397789328484167
XLM,0.0789002673075019,0,0,0,0,0,0.127545434448268,0,0,0,0,0,0,0.30154117884616,0,0,0.121737914353334,0,0,0
LEO,0,0,0,0,0,0.191320981771952,0,0.106082357326576,0,0,0,0,0,0,0,0.182236072133802,0.0627748187389952,0,0,0
TRX,0,0,0,0,0.166473626914879,0.505617004925755,0.311141274529428,0.0277447252361862,0,0,0,0,0,0,0,0,0.417133073147664,0,0,0
HT,0,0,0,0,0,0,0.265668905793443,0.143223931087617,0,0.653872045520254,0.349440404747856,-0.178163967135706,-0.0228013433607941,0,0,0,0,0,0,0
DASH,0,0,0,0.356068130024981,0.435082755676769,0.0329921418052893,0.110800224888211,0,0,0.226878527028975,0.112674041060955,0,-8.67361737988404e-19,-0.164979560835582,0,-0.0554472084975829,-0.192541838457919,0,0,0.0529373383204386
BV010082.Index,-0.118538174213959,0,0,0,0.448636757421179,-0.29604237148915,0,0.105875013477273,-0.276610013210348,0,0.0524142736827801,0.15784366394276,0.180430030864572,0.116481936262315,0,0,-6.93889390390723e-18,0,2.35629322301009,0.128246662966512
CVIX.Index,0.472771158558124,0,0,0.586800403701276,0,-0.670246578197713,-0.985549138092744,0,0,0,-0.0798501719404228,0.097577531069919,0.857838451389139,0.342732023105109,-0.41386689722327,-0.396304649892339,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,-0.0259671266540261,0,0,0,0,0,0.0431675576567676,0.0692296054379318,0,0,-0.0107457576874632
SPX.Index,0.0547145993422994,0,0,0,0,-0.00265047202456875,0,0,0,0,0,0,-0.0682077381151551,0,0,0.0953044537061629,0,0,0,-0.10293456201627
VIX.Index,0.0552601299843653,0,0,-0.531461472757459,0,-0.117877399570678,0,-0.0420653076823184,-0.0778248412351872,-0.31437760873682,0,0.175240580780362,-0.720678882658138,0,1.10287442238834,0.517057718371084,0.655404396552521,0,-6.42003287934049,0
