,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,XLM,TRX,LEO,HT,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.247329579234564,0,-1.38777878078145e-17,0,0,0,0,0.175517277722442,-0.128949233867782,0.0569213648950302,0,0.420513334862201,0,0,-0.0883255854680632,0,0,0,-0.0237070519450122
ETH,0,0,0,0.275388645016746,0,0.187127325792577,0.0333322428433614,0.215354888174485,0,0.029729877050794,-0.0698483262840168,0.216913269788308,0,0.0363483807728673,0,0,0,0,0,0.022524399746538
XRP,0,0,0,0.118251891343522,0,0.0819269284362217,0,0.271905863313371,0,0,0.0376245199531488,0.102513067177329,0,-0.0187896290262132,0.0245642800215408,-0.0290145933796168,0,0,0,0.00398129901873477
BCH,0.135732476753802,0.191488955495342,0,0,0.280262831636131,0,0.0267184285358955,0,0.03215659110449,0,0.09114074288828,0,0,0,0.231096083968478,-0.0795628948356924,0.0782897771139202,0,0,-0.071266786064104
LTC,0,0,0,0,0,0.195868846809542,0,0,0,0,0.0818775752397886,0.0981818929269993,0,0.164694413627947,0.34917582937808,0.11632390417684,0.0143076822860276,0,0,0
EOS,0,0.429996237320699,0,0,0,0,-0.162228785894184,0,0,0.368436404906166,-0.0998891418311616,0.135080812997212,0,0,0.181230203320015,0,0,0,0,-0.0409226377917767
BNB,0.245135172281753,0,-0.967194529122491,0,0.0248508216700975,-0.315716428310442,0,0,0,0,-8.67361737988404e-19,0.743147047805145,0,0.202394051507451,0.491276892968353,-0.0122501751811697,-0.178921213218464,0,0,-0.0363964354246691
BSV,0,0,0.0778061996512396,0,0,0,0,0,0.210770458032213,0.23759206459992,0.142537314027125,0,0.0852591841186526,0,0.145266174245134,0,0,0,0,0
XMR,0.271579052951087,0,0,0,0,0,0.299085205208325,0,0,0,0,0,0,0,0.343007100255633,0,0,0,0,0
ADA,-0.0720476016655384,0,0.271552366761165,0,0.195809368660876,0.131778393368263,0,0.254044789030662,0,0,0,0,0,0.243641056882101,0,0.0976837668463587,0,0,0,-0.0244107104868619
XLM,0.0755471178502564,0,0,0,0,0,0.121959003906603,0,0,0,0,0,0,0.279701672423172,0,0,0.120197856406143,0,0,0
TRX,-0.176637945895464,0,0.291870794448968,0,0.26117740621702,0.275270313346894,0.387190255048671,0,0,0,0.137202594547256,0,0,0,8.67361737988404e-19,0,0.394178996978024,0,-0.119192412419108,0
LEO,0,0,-0.0641039136219862,0,-0.121467199359752,0.293854951633108,0,0.266915630307614,0.184620702799344,-0.126946303571883,0,0,0,-0.0965089481647279,0,0.292543293737061,0.169784568413504,0,0,0
HT,0,0,-0.189055068365824,-0.228886538788857,0,0.125081163727141,0.304889333526143,0,0.162446407550812,0.857675367314807,0.403943947694251,-0.132387642507075,-0.562427971864205,0,0,-0.0758055730652933,0.368365925069628,0,0,-0.0560888240935514
DASH,0,0,0,0.175066566087864,0.26089301586936,0.119140269003304,0.121710850637094,0,0,0.230676934586256,0.145833530321822,0,-0.0191644883292081,0,0,0,-0.18977419376456,0,0,0.0371129979623921
BV010082.Index,-0.218710848014529,0,0,0,0.580056165491516,-0.265693267919966,8.67361737988404e-19,0,-0.355103758519627,0,0,0,0.419148981434678,0.234198797284564,-0.0289086227129216,0,0,0,1.76298642556557,0.0361051929701339
CVIX.Index,0.335905349228459,0,0,0.636699796372335,0,-0.56246957031983,-0.87879531328123,0.0803536171325474,0,0,0,0.828496565524922,0,0.289262173383328,-0.573504792708879,-0.324326208134597,0,0,0,0.0259314441065562
DXY.Curncy,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0154937117651002,-0.0274645935274631,0,0,0,0.0153772661224357,0,0.0474470983150993,0.058993983438127,0,0,-0.0106366028760335
SPX.Index,0.0531900842616908,0,0,0,0,-0.00156939882653523,0,0,0,0,0.0152930381225748,-0.0738949316450987,0,0,0,0.0953665034671049,0,0,0,-0.104001162019386
VIX.Index,0,0.730943382635015,0,0,0,-0.373268099964697,0,-0.172424691738933,-0.191643732193064,-0.689470922673397,0.0722734230103427,-0.734424430990712,2.77555756156289e-17,0,0.901330625135037,0.518640686460185,0.795134240244194,0,-5.65743819183964,0
