,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,LEO,XMR,LINK,HT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.282108554981541,0,0,0,0,0.161081756128485,0.0568242500958662,-0.105539556001276,-1.73472347597681e-18,-0.0609975401531742,0,0,0.0395671082971234,0.249357057127435,0.0198180442358023,0,0,0,0
ETH,0.40065100646333,0,0,0,0,0,0.123717146366539,0.151507191466531,0.05808198557803,0.230282578713399,0,0,0,0.0183823164954787,0,-0.125256384553727,-0.0201537924619354,0,0,0.0350250440296647
XRP,0,0,0,0,0,0.26442910632603,0,0.00550267997999325,0.21415705325412,0.165692535390276,0,0,0,0.100058251255362,-0.102958131485058,0,0,0,0,0
BCH,0,-0.224686363370822,-0.105615382667041,0,0.291639422959822,0.10692902720007,-0.0863717440661078,0.499669025290711,-0.27076365470537,0.100569307238676,0.449929467232317,-0.373042352038396,0,0.0119125456982217,0.177313621075148,0.0710917161474155,-0.0607911925847132,0,0,0.0270520182506479
LTC,0,0,0,0,0,0.0879050861781416,0.303311353080131,0,0.17459140354753,0.113266613361365,0,0,0.235677535619752,-0.00523449626075282,0.0348484527550141,-0.0221319420499199,0,0,0,0
EOS,0,0,0,0.336785836068476,0,0,0,0.32925351329566,0,0.268135739234615,0,0,0,0,0,0,0,0,0,0
BNB,0.579816800817566,0.0745061862095915,0,0.204607207380767,0.140765998599999,0,0,0.125357947185435,0,0,0,0,0,-0.0600715486256298,0,-0.0555288213954031,-0.0939655290310586,0,0,0
BSV,0,0.317109835290825,0,0.400882291132883,0,0.437058233815322,-6.93889390390723e-18,0,0.404553117932882,-0.214393244581113,0,0,0,-0.0540721671943143,0,0,-0.224701752234686,0,0,0
XLM,0,0,0,0,0,0,0,0,0,0.364948592997729,0.208896686655408,0,0,0,0,0,0,0,0,0.0304750713517375
TRX,0,0.146364201628997,0.642005733730291,0.136507948574685,0,0.653218271453511,0,-0.310589771951916,0,0,0,0,0,-0.13835429090319,3.46944695195361e-18,-0.0316107332434366,0.108371773779698,0,0,0.0198064687690282
ADA,-0.385870482797898,0,0,0,0,0.263460477429007,0.454821342385079,0,0.0403913350779694,0.200596592113014,0,0,0.155805210823596,0.104418513449003,0.0860099996879996,-0.132106859732491,0,0,0,-0.111029249057894
LEO,0,0,-0.289102525270753,0,0,0,0,0,0.151758679768489,0,0,0,0,0,0.140371649155754,-0.0119296733926805,0,0,0,0.0195554558193454
XMR,0,0,0,0.122978294678435,0.322270912939966,0,0.0776526605203593,6.93889390390723e-18,0.0497421734012167,0,1.38777878078145e-17,0,0,0.0130164508173391,0.135766850729983,0,0,0,0,0.0382583648787261
LINK,2.52412413719772,0,0.0690975745595643,0,0,0.0633352607462534,-1.09219733284958,-0.735876506610997,0,-0.320713911066262,1.08239613587003,-1.91632333049997,0,0,0,0,-0.315863203266327,0,0,0.239428380521857
HT,0.34656550167166,0,0,0,0.389950779112952,0,0,0,0,0.0878901653317389,0,0,0.0580168695521241,0.000114092335435004,0,0,0,0,0,0.0326996641028108
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785857783639551
CVIX.Index,0,0,0,-0.605060622495534,-0.325221455774918,0.514293798980732,0.157068322326985,0,0.150437091205189,0,-0.59296381642841,-0.415046348553284,0.857244379047258,-0.0998528547409645,0.0569780027806808,0,0,0,0,0.0545742139249495
DXY.Curncy,0,0.109048512681405,-0.0620706773820362,-0.0217150879481676,0,0.0308850031310781,0,-0.0126119089359862,0.0252967487129363,0,-0.0335474830068705,0,0,-0.0148388290079933,-0.0508544821688142,0,0,0,0,0.0024272734375365
SPX.Index,0,0,0.0198642822630448,0,0,0.00589596061507299,-0.0152870728890147,0,0,0,0,0,0,0,0,0,-0.024113615908098,0,0,-0.105924795246006
VIX.Index,0,0.140298100566716,0,-0.0455170355268181,-0.199320773667242,-0.0662110864139886,0,0,0.259686181713508,0,0,0.121511440304461,0,0.199144645272478,0,0,-0.263300832291705,0,-7.52546789542678,0
