,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,TRX,ADA,LEO,XMR,LINK,HT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.371333475572217,0,0,0.143064182553024,0,0,0.0670683289648602,0,-8.67361737988404e-19,0,0.0477673345307657,0,0,0.014737144676516,0,0,0,0,0.0193155696395027
ETH,0.197739488283905,0,0,0,0,0.117484349227953,0,0.256004514178121,0.026453698470493,0,0.278275316284981,0,0,0.109668527489711,0.312884095068556,-0.112501552088095,-0.191440344966222,0,0,0.0166026230759435
XRP,-0.0716715109336192,0,0,0,0,0,0.195494049793173,0,0.612453981392078,0.162117988955774,0,0,0,0.103356329189367,0,0,0.342795268696791,0,0,-0.0920241603230884
BCH,0.202992015235339,0,0.257991566743798,0,0.0903945921256309,0,0,0.231169046327875,0,0,0.173688800363821,-0.144709473414793,0,0.0416286733564205,0,-0.0136065535491311,0,0,0,0
LTC,0.173154452962415,0,0,0.0665813272368348,0,0.254058551045866,0,0,0,0.153110403485352,0.246560829533059,0,0,0,0.0185277552137106,-0.0536838007546518,0,0,0,0.0105641832821599
BNB,0,0.464558202482016,0,0,0.182595994564602,0,0,0.251847031543728,0,0,0,0,-0.166037497088157,-0.106168514136632,0,-0.0935858315971553,0,0,0,0.0237708009189278
EOS,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.170848923672197,0.533759236050434,-0.0836679264997097,0.269220311161758,0.0686616238378036,0.143299569116974,-0.00469799745848564,0,0,0,0
BSV,0,0.423102442756089,0,0.628328725505987,0,0.0122336584652076,-0.253996984286239,0,-2.16840434497101e-19,0,0,0.197899032868611,0.302166124674115,-1.73472347597681e-18,-0.058876825800929,0.1759030370967,0,0,0,0.0428651193097566
XLM,0,0,0.644793609585356,0,0,0,0,0.149616537199921,0,0,0,0,0,-0.00495078137442439,0,0,0,0,0,0.107751196958868
TRX,0,0,0.399503532745637,0,0,-0.174462255851811,1.00781303432341,0,0,0,0,-0.182709685636321,-0.138153154106193,-0.319252007639343,-0.0350404265986007,0,0,0,0,0.152191459587301
ADA,0,0.0460688348434102,0.102343200887516,0.086631329286293,0.181210911860567,0.172878709273246,0.212873775841461,0,0,0.109166944655058,0,0,0,0.120338836792628,0,-0.0777001298812957,0.145291052532027,0,0,-0.0616376509263071
LEO,0,0,-0.139142580849042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307006276974667
XMR,0,0,0,0,0,0.0942829461908313,0.127315123837629,0.201063433091665,0,0,0,0,0,0,0,-0.0989983448954626,0,0,0,0.0478110322855875
LINK,0.0117541439748976,1.19324096524653,2.10089028842002,0.080590657511866,0,-0.863440775083543,1.43246046592236,0,-1.68542833757307,-1.58537501986219,0,-0.727032634296614,-0.306486891800823,0,-6.93889390390723e-18,-0.130346153576932,-1.34108446758929,0,0,0.506621795731175
HT,0.445870664824701,-2.77555756156289e-17,0,0,0,0.0555443837800026,0.304940981250694,0,0.339638904486377,0.104727029028614,-0.347637362975821,0.177070466772549,-0.195974582121547,0,0,0,0,0,0,0.052965345796371
BV010082.Index,0,0,0,0,0,0,0,0.307510997087051,0,0,0,0,-0.0483168706184385,0,0,0,0,0,0,-0.229822386142503
CVIX.Index,0,0,0.442478991861856,0,0,-0.192181381129122,0.139219993293619,-0.120165071098053,-0.131899232812076,-0.381225953010719,0.391591982537029,0,0.187251177397465,-0.0434585804328366,0,0.10505892775185,0,0,0,0.144792616668549
DXY.Curncy,0,0.0705380048870468,-0.00653445211832972,0,0,0,0,0,0,-0.0174409621032451,0,0,0,0.018814366569954,0,0,-0.0482611779386944,0,0,-0.0106901273796254
SPX.Index,0,0,0,0,0,-0.0196621378275753,0,0,0,0.0142577265822701,0,0,0,0.00142224488350299,0,0,0,0,0,-0.103455371337991
VIX.Index,0,0.0164958830785424,0,0,0,0,0,0,0.333783791576529,0,0,0.0542228687002019,0,0.320140850600994,0,0,0,0,-5.84317723533013,0
