,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,XTZ,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0597626388702336,0,0,0.242417697260925,0,0,0,0.155147511649738,0.0970385606188779,0,0,0,0,0,0,0,-0.0106318130566039
ETH,0,0,0,0.428882660991716,0,0.253627326727166,0,0,0,0,0,0.152609745757279,0,-0.0481376428555216,0.0860438606801972,0,0,0,0,0.0204467750928976
XRP,0.315056617267974,-0.0237332724837548,0,0,0,0.0480146090338392,0,-0.223039794182956,0.155334684193434,0.272392139158508,0,0,0.464032459931381,0.0827833801104592,0.115373148662485,0.270268611842216,0.382554606451825,0,0,-0.0484475029532035
BCH,0.0942494785316912,0.39712958449784,0.288507515709176,0,0,0.0296971608756694,0.53558589631196,0.0908492263993468,0,0,-0.0296491928605415,0,0,-0.0494634806760558,-0.240420703432922,0,0,0,0,0
LTC,0,0.128662281831823,0,0,0,0.555630448548671,-0.161606087684269,0,0.0950980975108464,0.162892649913799,0.074288271757693,0,0,-0.0039085350841668,0.0475625892762184,0,0,0,0,-0.0821871979583307
EOS,0,0.287369203149484,0,0,0.543857992631755,0,0,0.102357311568212,0,0.176744507219282,0.0455437629402903,0,0,0,0,0,0,0,0,0.0676787403357767
BNB,0,1.38777878078145e-17,0,0.180325710206632,0,0.0219439278370377,0,0.0337647225418732,0,0.080264722250023,0,0.433952150489913,0,0.203025552623166,0.159953624968514,0,0,0,0,-0.114828184994775
BSV,0,0,0,0,0,0.172663360058316,0.319129945223719,0,0.466771461106269,0,0.257788648834387,-0.344488669756064,0,0.0808000960275144,0.134991712777156,0,0,0,0,-0.189010528489006
XLM,0,0,0.0793945803634324,0.119934696780373,0.18055201583368,0,-0.435903667854866,0.232182321758475,0,0.0885277834524316,0.165359665492439,0.266470481895293,0,0,0,0,0.141327860871974,0,0,-0.0614841103871471
TRX,0,0,0.262700839165331,0.3243940408304,0,0,0.51830580339643,0.19682939752039,0,0,0,0,0,-0.206454271895675,0.079087291154673,0,-0.178643606667354,0,0,-0.00286885592085056
ADA,1.09253134622195,0,0,-0.356444043572821,0.188741170597336,0.139586119195939,0.213399743451764,0.0829720493534407,0.123755505758699,0,0,-0.191265917637003,0,0.0328724269859619,0,0,0,0,0,0.0483026678923323
XMR,0,0.574894032247582,0,0,0,0.00914277010423103,0.229877679793185,-0.120209546517642,0.241650058847117,0.256976027746744,0,0,-0.989336689420001,0.130826845354103,0,0,0,0,0,0
LEO,-0.260443184563305,0.223532105351266,0,0,0,8.67361737988404e-19,0.0956903233261966,0,0,0.223305635239128,0,-0.183569923880214,0,0.139250999057068,-0.107627502155073,0,0,0,0,0
XTZ,0,-0.973277318319796,1.52010867970255,0,-0.214258047968719,-0.466141599810154,0.531889134828568,0.772156899257867,0.300818232344896,-0.81806673011641,0,0.493713630326687,0.990651386104514,0,-0.181444985380415,0,-0.743821690928983,0,0,0.159416268294724
LINK,0,0,0,0,0,0.638584518662734,0.870193082836003,0.175929260102216,-0.422514150199765,-0.35516918410206,0,-0.364971623759779,-0.235400978653506,0.0708807512467564,0,0,0,0,0,0
BV010082.Index,0,0,0,0.216601371397534,0.0338311372329578,0,0,0.0524293920862466,0,0,-0.143351912663524,-0.0817011440949009,0.0330718257349544,-4.33680868994202e-19,0,0,-0.0783711517059852,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0.118578444165503,0.175496243322667,-0.252002528703798,-0.0485080735682096,0,0,0,0,-0.487239810163735,0,0,0,-0.0663950871210893
DXY.Curncy,0,-0.0217973118088207,-0.0330147044811622,0.0021445955042545,0.0498358551453283,-0.0564390437446854,0,0,0.00813657911967231,0.0350613051443394,0,0,-0.0364460220928785,0.0218899174584731,0.0146824542817617,0.0429715054856941,0.0593531486448136,0,0,-0.00178297197845406
SPX.Index,0,0.0064441750921826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354745380192031
VIX.Index,-0.488943125500186,0,-0.354951877988301,0,0,0.466104319765839,0,-0.488993914792385,0.627488880893322,-0.210340210800467,0,0,0,-0.0243893408869735,0.17822141755851,0,-0.543028282242389,0,-4.22157238463828,0
