,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XLM,XMR,TRX,HT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.117284499132424,0.132262152297978,0,0,0,0.0734865400984547,0,0.165208721817033,0,-0.0303246572452097,0,0,0,0,0
ETH,0,0,0,0,0,0.193285759785732,0.074222314767581,0,0,0.231448546185199,0.113212370511545,0,0.0424780921100365,0.279077198645737,0,0,0,0,0,-0.0489717337962893
XRP,0,0.190052660392157,0,0,0,0.190204560642372,0.0231603410461454,0,0.0562310967795492,0,-0.127598476418822,0.392144460141773,0.04183184158205,0.106667438243369,-0.00252394126654304,0,0,0,0,0.0353098080550589
BCH,0,0,0.225358839091383,0,0.17758368852637,0,0.138893333513168,0,0,0.142707326097277,0.0504129139913845,0,0,0.107632225669402,0.112531096446415,0,0,0,0,0
BSV,0,0,0,0.832414043203599,0,-0.332646918898894,0.192721602376893,0.344740849550293,0,0.133179835976926,-0.0882491206463782,0,0,-0.0684027577168291,0,0,0,0,0,0.193710392288864
LTC,0.428261505433677,0.390106800541132,0.0689034099717935,0.114574637620645,0,0,-0.150614123146108,0,-0.00153459986285286,0.169533590185096,0.0359955098604551,0,0,0.0335986756017369,-0.0042177829042622,0,0,0,0,0.0120661394150308
EOS,0,0,0,0,0.380836692831272,0,0,0.187143343324246,-0.0650602716323282,0,0,0.24927941577115,0.241370527443733,0.0767519837838107,0,0,0,0,0,-0.133162207915205
BNB,0,0.0153269899877838,0,0.154878906254569,0,0,0.186837521239271,0,0.085451364073456,0,0,0,0,0.134635458460793,0.293629750951713,0,0,0,0,0
XTZ,0,0,-0.245462617160113,0,0.0937901371501823,0,0,0,0,0,0,0,1.54255599944651,0,0.137806449829785,0,0,0,0,0.0454854407201111
ADA,0,0.103322854854776,0.217201487830351,0.160611242829366,0,0.211043019074043,0.0269837005435673,0,0.0848751779961851,0,0,0,0.185468792694744,-1.38777878078145e-17,0.0601297411313343,0,-0.0545912654434265,0,0,0.0725807825520905
LINK,0.840696383375945,0,0,0,-0.0507320573367305,0,0,0,0.117832960745789,-0.18490476896546,0,0,0,0.20624206010132,0.0615052253500242,0,0,0,0,0.0802752509430432
XLM,0,0,0.711416672134565,-0.10250901506355,0,0,0,0,0.17203848234319,0,0.120458891124405,0,0,0,0.0266897498358115,0,0,0,0,-0.100696915925773
XMR,0,0,0.208934416645422,0,-0.211322395557481,0.033341175666196,0.348889339048083,0.243555962927655,0.19672558226922,0.263991390862812,0.115968016157341,0,0,-0.139644288784465,0.0446361352441456,0,0,0,0,0
TRX,0,0,0.0931913019351369,0.420876745003601,0,0,0.084333255888641,0,0,0.298122548800612,0,0,0,0,0,0,0,0,0,0
HT,0,0,0,0,-0.11630748641789,0,0,0.325439507389226,0,0,0.105769432638008,0,0,0.160393493706899,0,0,0,0,0,0.0479351684182411
BV010082.Index,0,0.155136698228905,0.11908341272899,0.090915481962041,0.0521289461820347,-0.163368625622432,-0.222161972628848,0.0437787068537313,0.023561420308339,0,0,0,0,0,0.0166019978520748,0,-0.251636795581391,0,0,-0.09703814294274
CVIX.Index,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0656451526607611,0,0,0,0,0,0.227751730258518
DXY.Curncy,0,0,0,0,0.00588254072768626,-0.0186050216654157,0,0,0,0,0.0113575569575165,0,0,0,-0.000241824525377939,0,0,0,0,-0.0197550803312288
SPX.Index,0,0,0,0,0,0,0,0,0.0038971907529104,0,0.005885015567685,0,0,0,0,0,0,0,0,-0.0889475344923561
VIX.Index,0,0,0,-1.02166286617086,0.710398826408932,0,-0.537247419944665,0,0.35011749716152,0,0.122643979019616,0,0,0.164965335601517,0.264051973370716,0,0.310485783725784,0,0,0
