,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,LEO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.000614242670914168,0.106496755191092,0,-6.93889390390723e-18,-0.0696943818340713,0.102530977557044,0.197773748380543,0,0,0.0127220309557099,0.227551401520474,0,0,0.142764113685563,0.294040670934355,0.133844556233168,0,-0.302246899905829,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,-3.49589092879811,0,0,0,0,0,0,1.15077781698797
ETH,0.529289662617317,0.00365770908218891,0,0,0.136616088070006,0.0186566631114655,0,0.0777562097173117,0.322570082737777,0.0362857083665293,0.00743859168672977,0,0,0,0,0,0,0,0,0
XRP,0,0.000215743783045039,0.0914008942343214,0,0.215826755417741,0.175452068024405,0,0.0232792634902685,0.0867448340791437,0,-0.0190063748101387,0.00345352307229656,0,0,0,0,0,0,0,0
BCH,0,-0.00236869658642887,0.145435767444726,0,0,0.182650412540358,0.220920128388086,-0.253415755147274,0.432781375285366,0.321313714462444,0.00230949088618168,0.00732318721561817,-0.292322239419057,0,0,0,0.0763928909535549,0,-0.451278891357025,0.00876223497687508
BSV,0,-0.0106100342460622,-0.129754255560107,0,0.269803132847402,0,0.0200355990340537,0.312664865390813,0,0.225164806982299,0,0,0,0,0.424480714934333,0,0,0,0,0
LTC,0,0.000821688128417966,-0.0751435495541382,0,0.32620373961106,4.33680868994202e-19,0,0.260662197761578,0.00327436943827834,0.0213480220274286,0.0116481037162989,0,0.299058455998581,-0.00884416670997406,0.125835953640083,0,0,0,0.599893604243599,0.0802339995465861
BNB,0.343923479301421,0,0,0.425338227140281,-0.101875422799438,-8.67361737988404e-19,0.339518914330072,0,0,0,-0.124972804192957,0.113487612836961,-0.114154292102061,0,0.400805370421489,0,0.286686532960827,0,0,0
EOS,0,-0.00241540917298371,0.259107638695531,0.217459250453037,0,0,0.294682199405199,0.0777562760640268,0,-0.10599369160574,0.0136753532456098,-0.0153208553467558,0.223648262299164,0,0.0898802217341514,-0.427188541986628,-0.0889714111548186,0,0,0
XTZ,0,0,0.502575901833293,0,0,0.409690312512549,0,0,0.0267641212607989,0,0.00299510209443294,0.0302730186486925,0,0,0,0,0,0,0,0
TAGZ5,0,0.0161833584660017,0.459439073219977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.00983452874267019,0,0,0,0,0,0,-3.46944695195361e-18,0.886544383676074,-0.0354524662495384,0,0.0692671628882978,0,0,0,0,0,0.142921526722973,0
XLM,0,0.00273832332966819,0,0,0,0.231405429894508,0,0,0.356808254444751,0.0301694840721363,4.33680868994202e-19,0,0,0,0,0,0,0,0,0
LEO,0,0.00133716924071244,0.0655497858189837,0,0,0.0478152463520695,0,-0.0433807545775582,0.0968969928006817,-0.165333200374973,-0.00928344374783359,-3.46944695195361e-18,0,0,0,-0.177354645130712,0,0,0.150873513276875,0.0439350192331166
XMR,0,0.00155249406859903,0,0,0,0.148318514805624,0,0.265622008792838,0.425487625678698,0,0.017101122450276,-0.0797070029620197,0,0,0,0,0.0644260274708579,0,0,0
BV010082.Index,0,-0.00284622297377641,0,0,-0.249385527909443,0,0,0.147184662076291,-0.00626357392790797,0.0889049382085475,0.0135373052170446,0.0484660752675003,0.11544830087692,0,-0.3182734200988,0,0,0,0,0.0201482730396815
CVIX.Index,0,-0.0098505288198685,0.221115953406127,0,0,0,0,0,0,0,-0.033941675859564,-0.206816463268232,0,0,0,0,0,0,0,-0.0151908167846583
DXY.Curncy,0,-0.00043042784277795,0,0,0,0,0,0.0134605366002344,0,0,0.00127868082054168,-0.0236848905696313,0.00500708155287238,0,0,0,0.0712571472034861,0,0,0.0253112340424463
SPX.Index,-0.460445664344596,-0.00389312232885631,0,0,-0.335068388503563,-0.143659185142794,0.343177033708025,0,0.0792118166821967,0.320764548824014,-0.00824555034106877,0.0384969634889654,0,0.684291815317525,0,-0.168633929668632,-0.330435781319995,0,0,-0.190860299075707
VIX.Index,0,0,-0.127500607739393,0,0,0.184041512308149,0,-1.73472347597681e-18,0,0.245178397699712,-0.0309479938176004,0,0.315079843380474,0.811452956933297,-0.581462333731221,1.78983119676072,-0.180803134210309,0,-1.5041233285993,0
