,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,ADA,XTZ,LINK,OKB,XLM,CRO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.488960581236168,0,0.0298630209824943,0.00893672156324573,0,0.165784102908161,0,0,0.196052612242956,0,0,0,0,0
ETH,0,0,0,0,0.0650715684022851,0.430820105513453,0,0.311082764487285,0.300345269078322,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0
XRP,0,0.131527317525011,0,0,0,0.27748157375846,0,0.0768599417934202,0,0.035988759112915,0.222643308446266,0,0,0,0,0,-0.0696737377036798,0,0,0.0324163778165623
BCH,0,0.153204309844725,0,0,0,0.591569776103734,0,0.196302333972464,0,0.0717906418551572,0,0,0,0,0,0,0,0,0,-0.0487605572767199
BSV,0,0.0427571110506267,0,0.248236743629084,0,0.416141155313258,0,0,0.200465293736236,-0.457791473055134,0,0,0,0.0610165105874448,0.202103528199423,0,0,0,0,-0.034422686837408
LTC,-8.67361737988404e-19,0,0.240769249299577,0.373415496304642,0.169474780344886,0,0.0570321563767568,0.264305674499788,0.0154162081271547,0.0211911607207648,0,-0.128519701059554,0,0.0266746031869049,0,0,0,0,0,0
BNB,0.0810877909809266,0.241355563969465,0,0.227264277823009,0,0,0,0,0.016245788723218,0.168523093764192,0,0.0829661930001899,0.0220772144532579,0,0,0,0,0,0,0
EOS,0,-1.38777878078145e-17,0.544512752794222,0,0,0.245104885362179,0,0,-0.0895371871098262,0,-1.73472347597681e-18,0.401640562181226,0,-0.119461252273903,0.246175891399058,0,0,0,0,-0.0310404228937451
ADA,0.388187209278498,0,0,0,0,0,0,0,0,0,0.216709888497138,0,0.181582147902685,0.256339391138634,0.191718340082623,0,0,0,0,0
XTZ,0,0,0.0936006764701916,0,0,0,0.382562960422666,0,-0.245222499350203,0,0.649879913026237,0,0,0.0737907718411989,0.267490164571257,0,0,0,0,0.0179718753029171
LINK,0,0,0.599716092613867,-0.249169988875246,0,0,0.0900773224746005,0,0.205888878525904,0.318650956107547,0,0,0.0498278161973882,0.0221717119171942,0,0,0,0,0,0
OKB,0.404388327636034,0.107609900540735,0,0.0876177532367822,-0.382132406407493,0,0.0844636300143217,0.285347495862486,0.106251149911105,0,0,0,0,0,0,0,0.0198364927913484,0,0,0
XLM,0,0.5227781502616,0,0.103937191669487,0,0,0,0,0.221026928047182,0.0149868364266623,6.93889390390723e-18,0,0,0,0,0,-0.174798641058986,0,0,0
CRO,-0.592204507716004,0.221912956490568,0,0,0.0324083787885485,0,0,0,0,0.213295998334327,0,0,0.123933361132125,0,0.372343319677866,0,0,0,0,0
XMR,0.48128974293901,0.117525112200605,0,0,0.066608351866316,0,0,0.0700878510962299,0.0237614530998828,0.175290199964647,0,0,0,0,0,1.07239035800736,0,0,0,0.0915104476415763
BV010082.Index,-0.1651583185499,0,0,0.0794784341960552,0,0,0,-0.11559461508337,0,0,-0.172251167762986,-0.0444422396747534,0.142433475882621,0.00171149397557922,0.223428373933338,0,-0.0423328349458807,0,0,-0.0859964217985779
CVIX.Index,-0.0839706580529078,1.46438557369811,-0.603516724442295,0,0,-1.01686133737691,-0.191702706171994,0,0.131426694635854,0.489920077539888,-0.567863395835739,0,0,0,-0.38732677988917,0,0,0,-0.778738591061403,-0.216919085890264
DXY.Curncy,0.00686605823058483,0,0,0,0,0,0,0.0797204736758284,-0.0255822717028575,-0.0773505991856421,0,0.0174444028551196,-0.0247035614278926,0.0510265410592478,0,0,0,0,-0.103962948547749,-4.33680868994202e-19
SPX.Index,0,0,0,-0.0312184597957293,0,0,-0.0281965723861331,-0.0272139666555352,0,0,0,0,0.085106004711773,-0.0464335350040282,0,0,0,0,0,-0.154162933729572
VIX.Index,0.311632171816358,0.757531975825536,0,0,-0.299023393686454,0,0.0146511161007996,-0.689889860230366,0.0726144433620834,0.196017468084532,-0.406606780063547,-0.91044182263272,0.328944582708893,-0.358327669868241,0.345872972415144,0,-0.56874275234473,0,-3.19992048092513,0
